wl,addr_bits,decoder_output,wl_driver,status
0,A[0..3],WL0,wl_driver_0,PASS
1,A[0..3],WL1,wl_driver_1,PASS
2,A[0..3],WL2,wl_driver_2,PASS
3,A[0..3],WL3,wl_driver_3,PASS
4,A[0..3],WL4,wl_driver_4,PASS
5,A[0..3],WL5,wl_driver_5,PASS
6,A[0..3],WL6,wl_driver_6,PASS
7,A[0..3],WL7,wl_driver_7,PASS
8,A[0..3],WL8,wl_driver_8,PASS
9,A[0..3],WL9,wl_driver_9,PASS
10,A[0..3],WL10,wl_driver_10,PASS
11,A[0..3],WL11,wl_driver_11,PASS
12,A[0..3],WL12,wl_driver_12,PASS
13,A[0..3],WL13,wl_driver_13,PASS
14,A[0..3],WL14,wl_driver_14,PASS
15,A[0..3],WL15,wl_driver_15,PASS
