rule,count
GRID: vertexes on layer metal1 not on grid of 0.0025,747
GRID: vertexes on layer cont not on grid of 0.0025,525
GRID: vertexes on layer poly not on grid of 0.0025,331
GRID: vertexes on layer active not on grid of 0.0025,256
CONTACT.1,224
GRID: vertexes on layer nplus not on grid of 0.0025,136
GRID: vertexes on layer pplus not on grid of 0.0025,117
CONTACT.3,82
GRID: vertexes on layer well not on grid of 0.0025,71
GRID: vertexes on layer vtg not on grid of 0.0025,60
CONTACT.2,48
METAL1.2,30
METAL1.1,12
POLY.1,8
WELL.4,5
IMPLANT.2,4
WELL.1,3
CONTACT.6,2
POLY.6,2
