left_gate,left_orientation,right_gate,right_orientation,gap,power_rail_compatibility,boundary_DRC,Pin_obstruction,same_net_rail_stitching,foreign_net_risk,legal,reason,trial_gds_path,trial_gds_sha256,trial_lyrdb_path
PINV,R0,PINV,R0,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p0.gds,1edeb660f0b6fa9a7803e18140d3f2ba205a054273c55b7332434128c1a287b5,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p0_drc/PAIR__PINV_R0__PINV_R0__g0p0.lyrdb
PINV,R0,PINV,R0,0.0025,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p0025.gds,4b2ea538952abfad1e71a4eeaaef5afa9b4d08e8d6bdb84d2c85bb881b86b5a5,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p0025_drc/PAIR__PINV_R0__PINV_R0__g0p0025.lyrdb
PINV,R0,PINV,R0,0.07,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p07.gds,16537403e2505bcaee86667c09b988890a16d551a5b1d9a9925de55ba8a734da,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p07_drc/PAIR__PINV_R0__PINV_R0__g0p07.lyrdb
PINV,R0,PINV,R0,0.14,True,1,False,True,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p14.gds,9b09b05dd73fce1536ee1fb80edbaf9ee24c18c754bd8403f7df55a28293a31f,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R0__g0p14_drc/PAIR__PINV_R0__PINV_R0__g0p14.lyrdb
PINV,R0,PINV,R180,0.0,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p0.gds,88ded58446fcafb881539da38e0002ad7fac82661769b1a2ad74d65f482c956e,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p0_drc/PAIR__PINV_R0__PINV_R180__g0p0.lyrdb
PINV,R0,PINV,R180,0.0025,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p0025.gds,dfa468260e513ff7ec81c2a7cf3b33b02bd8d67fc2259a4615c6bf7048d0f155,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p0025_drc/PAIR__PINV_R0__PINV_R180__g0p0025.lyrdb
PINV,R0,PINV,R180,0.07,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p07.gds,62993451e9cd0361eda7769767973c6a32925a2dad2b5f64ece97e1772df03e7,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p07_drc/PAIR__PINV_R0__PINV_R180__g0p07.lyrdb
PINV,R0,PINV,R180,0.14,True,0,False,True,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p14.gds,15adaa385b24af7a12ec6b5b35435abc7a80aaaa8377eb66a16d600d0b7827b9,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_R180__g0p14_drc/PAIR__PINV_R0__PINV_R180__g0p14.lyrdb
PINV,R0,PINV,MX,0.0,False,0,False,False,False,True,,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MX__g0p0.gds,fac3fb446c35c8c8831c8107006d0bd809da3a2404de8543a1397d7b0e693954,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MX__g0p0_drc/PAIR__PINV_R0__PINV_MX__g0p0.lyrdb
PINV,R0,PINV,MX,0.0025,False,1,False,False,True,False,drc_marker_count=1,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MX__g0p0025.gds,28d89ad8bcd76bdf11060eb0f53e497272876be573bdddfcb47ea1e96a296698,outputs/PROJECT_decoder_gate_abutment_matrix/_pair_trials/PAIR__PINV_R0__PINV_MX__g0p0025_drc/PAIR__PINV_R0__PINV_MX__g0p0025.lyrdb
