instance_name,logical_child_type,resolved_physical_cell_name,child_pin_order,parent_net_connections,source_line_or_role,pin_map_pin_names,binding_status
inv_a0,PINV,PINV_NW90_PW270_L50,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A0"", ""A0b""]",DECODER3_8.inv_A0,"[""A"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
inv_a1,PINV,PINV_NW90_PW270_L50,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A1"", ""A1b""]",DECODER3_8.inv_A1,"[""A"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
inv_a2,PINV,PINV_NW90_PW270_L50,"[""VDD"", ""VSS"", ""A"", ""Z""]","[""VDD"", ""VSS"", ""A2"", ""A2b""]",DECODER3_8.inv_A2,"[""A"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_0,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0b"", ""A1b"", ""A2b"", ""WL0_pre""]",DECODER3_8.AND0,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and2_en_0,AND2,AND2_PNAND2_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""WL0_pre"", ""EN"", ""WL0""]",DECODER3_8.AND_EN0,"[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_1,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0b"", ""A1b"", ""A2"", ""WL1_pre""]",DECODER3_8.AND1,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and2_en_1,AND2,AND2_PNAND2_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""WL1_pre"", ""EN"", ""WL1""]",DECODER3_8.AND_EN1,"[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_2,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0b"", ""A1"", ""A2b"", ""WL2_pre""]",DECODER3_8.AND2,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and2_en_2,AND2,AND2_PNAND2_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""WL2_pre"", ""EN"", ""WL2""]",DECODER3_8.AND_EN2,"[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_3,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0b"", ""A1"", ""A2"", ""WL3_pre""]",DECODER3_8.AND3,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and2_en_3,AND2,AND2_PNAND2_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""WL3_pre"", ""EN"", ""WL3""]",DECODER3_8.AND_EN3,"[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_4,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0"", ""A1b"", ""A2b"", ""WL4_pre""]",DECODER3_8.AND4,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and2_en_4,AND2,AND2_PNAND2_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""Z""]","[""VDD"", ""VSS"", ""WL4_pre"", ""EN"", ""WL4""]",DECODER3_8.AND_EN4,"[""A"", ""B"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
and3_pre_5,AND3,AND3_PNAND3_PINV_FPDK45,"[""VDD"", ""VSS"", ""A"", ""B"", ""C"", ""Z""]","[""VDD"", ""VSS"", ""A0"", ""A1b"", ""A2"", ""WL5_pre""]",DECODER3_8.AND5,"[""A"", ""B"", ""C"", ""VDD"", ""VSS"", ""Z""]",APPROVED_EXACT_BINDING
