logical_name,physical_name,kind,orientation,gds_path,gds_sha256,width,height,top_rail_net,bottom_rail_net,vdd_interval,vss_interval,left_boundary_signature,right_boundary_signature,top_boundary_signature,bottom_boundary_signature,orientation_legal,reason
PINV,PINV_NW90_PW270_L50,primitive_gate,R0,outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.7975,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""A""]","[""Z""]","[""VDD""]","[""VSS""]",True,
PINV,PINV_NW90_PW270_L50,primitive_gate,R180,outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.7975,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""Z""]","[""A""]","[""VSS""]","[""VDD""]",True,
PINV,PINV_NW90_PW270_L50,primitive_gate,MX,outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.7975,1.8875,gnd,vdd,"[0.03499999999999992, 0.09999999999999987]","[1.855, 1.92]","[""A""]","[""Z""]","[""VSS""]","[""VDD""]",True,
PINV,PINV_NW90_PW270_L50,primitive_gate,MY,outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0.7975,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""Z""]","[""A""]","[""VDD""]","[""VSS""]",True,
PNAND2,PNAND2_NW180_PW270_L50_FPDK45,primitive_gate,R0,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_PNAND2_reference_demo/current_supported_config/PNAND2_NW180_PW270_L50_FPDK45.gds,60563fd88e67acd2dffcf08c44e6555573f081668275e42ecb164c925bf846cf,1.0125,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""A"", ""B""]","[""Z""]","[""VDD""]","[""VSS""]",True,
PNAND2,PNAND2_NW180_PW270_L50_FPDK45,primitive_gate,R180,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_PNAND2_reference_demo/current_supported_config/PNAND2_NW180_PW270_L50_FPDK45.gds,60563fd88e67acd2dffcf08c44e6555573f081668275e42ecb164c925bf846cf,1.0125,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""Z""]","[""A"", ""B""]","[""VSS""]","[""VDD""]",True,
PNAND2,PNAND2_NW180_PW270_L50_FPDK45,primitive_gate,MX,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_PNAND2_reference_demo/current_supported_config/PNAND2_NW180_PW270_L50_FPDK45.gds,60563fd88e67acd2dffcf08c44e6555573f081668275e42ecb164c925bf846cf,1.0125,1.8875,gnd,vdd,"[0.03499999999999992, 0.09999999999999987]","[1.855, 1.92]","[""A"", ""B""]","[""Z""]","[""VSS""]","[""VDD""]",True,
PNAND2,PNAND2_NW180_PW270_L50_FPDK45,primitive_gate,MY,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_PNAND2_reference_demo/current_supported_config/PNAND2_NW180_PW270_L50_FPDK45.gds,60563fd88e67acd2dffcf08c44e6555573f081668275e42ecb164c925bf846cf,1.0125,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""Z""]","[""A"", ""B""]","[""VDD""]","[""VSS""]",True,
PNAND3,PNAND3_NW180_PW270_L50_FPDK45,primitive_gate,R0,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/PNAND3/clean.gds,a49c4572a9451ee180ba907e56d912fad9e58577a66a0a3687a4df4af7acba7f,1.3575,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""B"", ""C""]","[""A"", ""Z""]","[""VDD""]","[""VSS""]",True,
PNAND3,PNAND3_NW180_PW270_L50_FPDK45,primitive_gate,R180,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/PNAND3/clean.gds,a49c4572a9451ee180ba907e56d912fad9e58577a66a0a3687a4df4af7acba7f,1.3575,1.8875,vdd,gnd,"[1.7875, 1.8525]","[-0.0325, 0.0325]","[""A"", ""Z""]","[""B"", ""C""]","[""VSS""]","[""VDD""]",True,
