shape_id,shape_layer,shape_bbox,owner,net,route_id,segment_key
active_10247_seg1,active_segments,"[49.255, 1.4575, 49.3825, 1.7275]",PARENT_INTEGRATION_ROUTER,WL1,WL1,source_bbox
active_10263_seg0,active_segments,"[49.2925, 1.5475, 49.3825, 1.6375]",PARENT_INTEGRATION_ROUTER,WL1,WL1,source_bbox
active_10268_seg1,active_segments,"[49.255, 0.1575, 49.3825, 0.2475]",PARENT_INTEGRATION_ROUTER,WL1,WL1,source_bbox
active_10284_seg0,active_segments,"[49.2925, 0.1575, 49.3825, 0.2475]",PARENT_INTEGRATION_ROUTER,WL1,WL1,source_bbox
active_10715_seg1,active_segments,"[53.22, 1.4575, 53.3475, 1.7275]",PARENT_INTEGRATION_ROUTER,WL2,WL2,source_bbox
active_10731_seg0,active_segments,"[53.2575, 1.5475, 53.3475, 1.6375]",PARENT_INTEGRATION_ROUTER,WL2,WL2,source_bbox
active_10736_seg1,active_segments,"[53.22, 0.1575, 53.3475, 0.2475]",PARENT_INTEGRATION_ROUTER,WL2,WL2,source_bbox
active_10752_seg0,active_segments,"[53.2575, 0.1575, 53.3475, 0.2475]",PARENT_INTEGRATION_ROUTER,WL2,WL2,source_bbox
active_11183_seg1,active_segments,"[57.185, 1.4575, 57.3125, 1.7275]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_bbox
active_11199_seg0,active_segments,"[57.2225, 1.5475, 57.3125, 1.6375]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_bbox
active_11204_seg1,active_segments,"[57.185, 0.1575, 57.3125, 0.2475]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_bbox
active_11220_seg0,active_segments,"[57.2225, 0.1575, 57.3125, 0.2475]",PARENT_INTEGRATION_ROUTER,WL3,WL3,source_bbox
active_11651_seg1,active_segments,"[61.15, 1.4575, 61.2775, 1.7275]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_bbox
active_11667_seg0,active_segments,"[61.1875, 1.5475, 61.2775, 1.6375]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_bbox
active_11672_seg1,active_segments,"[61.15, 0.1575, 61.2775, 0.2475]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_bbox
active_11688_seg0,active_segments,"[61.1875, 0.1575, 61.2775, 0.2475]",PARENT_INTEGRATION_ROUTER,WL4,WL4,source_bbox
