asset,role,classification,pin_name,pin_source,gds_sha256,drc_marker_count,source_authority
PINV_NW90_PW270_L50,exact_primitive,APPROVED_REUSABLE_ASSET_LOCK_INFERRED_FROM_CANONICAL_REUSABLE_DIR,A,pin_map,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0,current_project_reusable_primitive
PINV_NW90_PW270_L50,exact_primitive,APPROVED_REUSABLE_ASSET_LOCK_INFERRED_FROM_CANONICAL_REUSABLE_DIR,VDD,pin_map,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0,current_project_reusable_primitive
PINV_NW90_PW270_L50,exact_primitive,APPROVED_REUSABLE_ASSET_LOCK_INFERRED_FROM_CANONICAL_REUSABLE_DIR,VSS,pin_map,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0,current_project_reusable_primitive
PINV_NW90_PW270_L50,exact_primitive,APPROVED_REUSABLE_ASSET_LOCK_INFERRED_FROM_CANONICAL_REUSABLE_DIR,Z,pin_map,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,0,current_project_reusable_primitive
AND2_PNAND2_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,VDD,top_label_or_contract,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,0,primary_repo_formal_team_b_output
AND2_PNAND2_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,VSS,top_label_or_contract,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,0,primary_repo_formal_team_b_output
AND2_PNAND2_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,A,top_label_or_contract,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,0,primary_repo_formal_team_b_output
AND2_PNAND2_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,B,top_label_or_contract,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,0,primary_repo_formal_team_b_output
AND2_PNAND2_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,Z,top_label_or_contract,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,VDD,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,VSS,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,A,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,B,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,C,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
AND3_PNAND3_PINV_FPDK45,exact_clean_gate,FORMAL_TEAM_B_CLEAN_GATE,Z,top_label_or_contract,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,0,primary_repo_formal_team_b_output
WORDLINEDRIVER_gen_wl_driver,exact_generated_primitive,PROJECT_OWNED_PRIMITIVE_RECHECK,A,top_label_or_contract,1988fb54b0843d12d556f17616b43254c1adaf3ba6c5ed88a56ccdb8e41945c5,0,current_project_generated_primitive
WORDLINEDRIVER_gen_wl_driver,exact_generated_primitive,PROJECT_OWNED_PRIMITIVE_RECHECK,B,top_label_or_contract,1988fb54b0843d12d556f17616b43254c1adaf3ba6c5ed88a56ccdb8e41945c5,0,current_project_generated_primitive
WORDLINEDRIVER_gen_wl_driver,exact_generated_primitive,PROJECT_OWNED_PRIMITIVE_RECHECK,Z,top_label_or_contract,1988fb54b0843d12d556f17616b43254c1adaf3ba6c5ed88a56ccdb8e41945c5,0,current_project_generated_primitive
WORDLINEDRIVER_gen_wl_driver,exact_generated_primitive,PROJECT_OWNED_PRIMITIVE_RECHECK,gnd,top_label_or_contract,1988fb54b0843d12d556f17616b43254c1adaf3ba6c5ed88a56ccdb8e41945c5,0,current_project_generated_primitive
WORDLINEDRIVER_gen_wl_driver,exact_generated_primitive,PROJECT_OWNED_PRIMITIVE_RECHECK,vdd,top_label_or_contract,1988fb54b0843d12d556f17616b43254c1adaf3ba6c5ed88a56ccdb8e41945c5,0,current_project_generated_primitive
