config_id,top_cell_name,word_size,num_words,words_per_row,num_rows,num_cols,addr_width,num_banks,num_ports,source_authority,support_level,inventory_status,evidence_path,evidence_sha,notes
formal_8x64_wpr4,sram_8x64_wpr4_fd45,8,64,4,16,32,6,1,1,OPENYIELD_RAW_VARIATION,SUPPORTED_WITH_CONSTRAINTS,CURRENT_SOURCE_BACKED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json; /data1/qujh/work/external/OpenYield/size_optimization/experiment.py,624bcf8127a32859efc6b5744ad4fcbb0da4da2c0dcd0b2f55edbe8707f46b28; 54a82ebe66bc91eefc6a6dd4435db7a53ce133591c6c632cfda2d6ec2f3dd4e1,Variation is backed by OpenYield row/column choice space and current project translation rules.
formal_4x32_wpr2,sram_4x32_wpr2_fd45,4,32,2,16,8,5,1,1,OPENYIELD_RAW_VARIATION,SUPPORTED_WITH_CONSTRAINTS,CURRENT_SOURCE_BACKED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json; /data1/qujh/work/external/OpenYield/size_optimization/experiment.py,624bcf8127a32859efc6b5744ad4fcbb0da4da2c0dcd0b2f55edbe8707f46b28; 54a82ebe66bc91eefc6a6dd4435db7a53ce133591c6c632cfda2d6ec2f3dd4e1,Variation is backed by OpenYield row/column choice space and current project translation rules.
formal_16x16_wpr1,sram_16x16_wpr1_fd45,16,16,1,16,16,4,1,1,OPENYIELD_RAW_VARIATION,SUPPORTED_WITH_CONSTRAINTS,CURRENT_SOURCE_BACKED,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json; /data1/qujh/work/external/OpenYield/size_optimization/experiment.py,624bcf8127a32859efc6b5744ad4fcbb0da4da2c0dcd0b2f55edbe8707f46b28; 54a82ebe66bc91eefc6a6dd4435db7a53ce133591c6c632cfda2d6ec2f3dd4e1,Variation is backed by OpenYield row/column choice space and current project translation rules.
formal_current_locked_8x64_wpr4,openyield_layoutgen_full_sram_M2R,8,64,4,16,32,6,1,1,M2R_LOCKED_SPEC,SUPPORTED_WITH_CONSTRAINTS,CURRENT_LOCKED_BASELINE,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M2R_full_sram_regen/current_supported_config/M2R_locked_sram_spec.json,09616c1ea1cb45d9f43028ae566a34a83648afbdca400a589ac9b05cef3a587b,Current physical top-level delivery remains bound to the M2R locked spec.
cfg_16x32_wpr2,sram_16x32_wpr2_fd45,16,32,2,16,32,5,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.complete.gds,c651648d34aae4843c79dfcef16c20d086bcb780c0ee89a3d63a965f00153a28,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
cfg_2x16_wpr1,sram_2x16_wpr1_fd45,2,16,1,16,2,4,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.complete.gds,2b8a878c74ae969046ef3c008ec39a8143c47fae8ffe97e9328d66c57acf3481,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
cfg_32x16_wpr1,sram_32x16_wpr1_fd45,32,16,1,16,32,4,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_32x16_wpr1__sram_32x16_wpr1_fd45.complete.gds,6c7af659887b796494edef6d35872ab7c3de1f51d0597d943b25a3bfef36227c,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
cfg_32x32_wpr1,sram_32x32_wpr1_fd45,32,32,1,32,32,5,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_32x32_wpr1__sram_32x32_wpr1_fd45.complete.gds,d83af4bf9c3e1ad425c7c8aca2c6ce1ea38026c38063c210ad7193d7ef6526aa,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
cfg_4x32_wpr1,sram_4x32_wpr1_fd45,4,32,1,32,4,5,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.complete.gds,7fa6d1422b273c1fbed855301c5030a65ee0a86f123699269628d9d3c4bf9779,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
cfg_64x64_wpr1,sram_64x64_wpr1_fd45,64,64,1,64,64,6,1,1,HISTORICAL_GDS_NAME_DERIVED,PARTIALLY_SUPPORTED,HISTORICAL_EVIDENCE_ONLY,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.complete.gds,50e0689900b410224f65423ff01ae8204e0170a4dd9866ef0a5056fda1379273,Recovered from historical explicit GDS naming/evidence rather than current raw OpenYield authority.
