source_instance,logical_role,source_D_net,source_Q_net,source_QB_net,clock,consumer,consumer_pin,expected_fanout,physical_cell
addr_dff_0,ADDR_DFF[0],ADDR[0],A_dff0,A_dff0_bar,clk_buf,decoder,A0,1,DFF_TG4_INV7_CORE
addr_dff_1,ADDR_DFF[1],ADDR[1],A_dff1,A_dff1_bar,clk_buf,decoder,A1,1,DFF_TG4_INV7_CORE
addr_dff_2,ADDR_DFF[2],ADDR[2],A_dff2,A_dff2_bar,clk_buf,decoder,A2,1,DFF_TG4_INV7_CORE
addr_dff_3,ADDR_DFF[3],ADDR[3],A_dff3,A_dff3_bar,clk_buf,decoder,A3,1,DFF_TG4_INV7_CORE
data_dff_0,DATA_DFF[0],DIN[0],DIN_dff0,DIN_dff0_bar,clk_buf,write_driver,DIN[0],1,DFF_TG4_INV7_CORE
data_dff_1,DATA_DFF[1],DIN[1],DIN_dff1,DIN_dff1_bar,clk_buf,write_driver,DIN[1],1,DFF_TG4_INV7_CORE
data_dff_2,DATA_DFF[2],DIN[2],DIN_dff2,DIN_dff2_bar,clk_buf,write_driver,DIN[2],1,DFF_TG4_INV7_CORE
data_dff_3,DATA_DFF[3],DIN[3],DIN_dff3,DIN_dff3_bar,clk_buf,write_driver,DIN[3],1,DFF_TG4_INV7_CORE
data_dff_4,DATA_DFF[4],DIN[4],DIN_dff4,DIN_dff4_bar,clk_buf,write_driver,DIN[4],1,DFF_TG4_INV7_CORE
data_dff_5,DATA_DFF[5],DIN[5],DIN_dff5,DIN_dff5_bar,clk_buf,write_driver,DIN[5],1,DFF_TG4_INV7_CORE
data_dff_6,DATA_DFF[6],DIN[6],DIN_dff6,DIN_dff6_bar,clk_buf,write_driver,DIN[6],1,DFF_TG4_INV7_CORE
data_dff_7,DATA_DFF[7],DIN[7],DIN_dff7,DIN_dff7_bar,clk_buf,write_driver,DIN[7],1,DFF_TG4_INV7_CORE
data_dff_8,DATA_DFF[8],DIN[8],DIN_dff8,DIN_dff8_bar,clk_buf,write_driver,DIN[8],1,DFF_TG4_INV7_CORE
data_dff_9,DATA_DFF[9],DIN[9],DIN_dff9,DIN_dff9_bar,clk_buf,write_driver,DIN[9],1,DFF_TG4_INV7_CORE
data_dff_10,DATA_DFF[10],DIN[10],DIN_dff10,DIN_dff10_bar,clk_buf,write_driver,DIN[10],1,DFF_TG4_INV7_CORE
data_dff_11,DATA_DFF[11],DIN[11],DIN_dff11,DIN_dff11_bar,clk_buf,write_driver,DIN[11],1,DFF_TG4_INV7_CORE
data_dff_12,DATA_DFF[12],DIN[12],DIN_dff12,DIN_dff12_bar,clk_buf,write_driver,DIN[12],1,DFF_TG4_INV7_CORE
data_dff_13,DATA_DFF[13],DIN[13],DIN_dff13,DIN_dff13_bar,clk_buf,write_driver,DIN[13],1,DFF_TG4_INV7_CORE
data_dff_14,DATA_DFF[14],DIN[14],DIN_dff14,DIN_dff14_bar,clk_buf,write_driver,DIN[14],1,DFF_TG4_INV7_CORE
data_dff_15,DATA_DFF[15],DIN[15],DIN_dff15,DIN_dff15_bar,clk_buf,write_driver,DIN[15],1,DFF_TG4_INV7_CORE
dff_buf,CS_DFF_BUF,csb,cs_bar,cs,clk_buf,gated_clk,A,2,DFF_BUF
dff_buf1,WE_DFF_BUF,web,we_bar,we,clk_buf,s_en/w_en,C,2,DFF_BUF
