module_id,role,logical_source_path,logical_source_sha,spice_netlist_path,spice_netlist_sha,gds_path,gds_sha,top_cell,pin_source,pin_map_sha,power_pin,orientation_legality,drc_status,connectivity_status,foreign_net_status,pin_access_status,determinism_status,negative_suite_status,ready_for_top,use_in_current_top,authority_note,blocker
precharge,column_path,sram_layoutgen/netlist_writer.py; /data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/precharge.py,d5436d3929c4c00c06ed4a46ca609c3ae920014a4ba0037aa10df5c17aa68cae,NOT_FOUND,NOT_FOUND,outputs/openyield_module_gds/precharge/precharge.gds,4444f84d65f458453d5e9bd1b2e4ce47f0840abfa5466825d239b62abf7be4eb,GDS_PARSE_FAILED:AttributeError:'str' object has no attribute 'name',outputs/openyield_module_gds/precharge/pins.json,ffe7442ceff38d753cb9be51a5ccb79a47cf5ae41ad6e8a05bcae3ca9d3a3751,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required,"Physical hardmacro exists, but not qualified to this stage's top-entry gate.","['precharge module manifest says boundary pins are contract-backed and need L4/L5 verification', 'no standalone DRC=0 evidence found for the current precharge_v2 top-use asset', 'no final-GDS power endpoint coverage / foreign-net / negative-suite evidence found for precharge_v2']"
column_mux,column_path,sram_layoutgen/netlist_writer.py; /data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/column_mux.py,d5436d3929c4c00c06ed4a46ca609c3ae920014a4ba0037aa10df5c17aa68cae,NOT_FOUND,NOT_FOUND,outputs/openyield_module_gds/column_mux/column_mux.gds,a35783a94005b98b1c380129dfdb6d19b7b7dea4c475f0a9dc8585f1aafa2269,GDS_PARSE_FAILED:AttributeError:'str' object has no attribute 'name',outputs/openyield_module_gds/column_mux/pins.json,4e2a204b147be77c530de6f73335ab4b6752c98021a3a167eea52359d456ea9a,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,authority_conflict_for_16x16_wpr1,The user-requested column-mux path is not yet reconciled with the locked wpr1 config.,"['formal 16x16/wpr1 config has words_per_row=1, so column-mux use conflicts with current exact config unless owner redefines top contract', 'adapter evidence reports VDD shape_source=missing for local gen_col_mux canonical pin', 'no standalone DRC=0/connectivity/foreign-net/negative-suite evidence found for column_mux_v2 top-use asset']"
sense_amplifier,column_path,sram_layoutgen/netlist_writer.py; /data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/sense_amp.py,d5436d3929c4c00c06ed4a46ca609c3ae920014a4ba0037aa10df5c17aa68cae,technology/freepdk45/sp_lib/sense_amp.sp,aa8c8a52cd50d1be8021feb86d1b9a3b88b0b0d800f68ea7283b7a26b2c46312,outputs/openyield_module_gds/sense_amp/sense_amp.gds,f5dea51b6030e141c6f768548849ae99780f11d1b8f662d1e4b70cc692c09adf,GDS_PARSE_FAILED:ValueError:[GDSPY] Multiple cells with name: sense_amp in GDSII file,outputs/openyield_module_gds/sense_amp/pins.json,5ad9d0fd09e927e13d87eb7946952e639f9930b49e5cac2062dbf834c251be9a,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required,"GDS and SPICE exist, but the top-use qualification gate is not closed.","['M11V evidence is isolated substitution/risk heuristic and explicitly cannot claim routing/power/DRC/signoff ready', 'no standalone module machine gate with DRC=0, final power endpoint coverage, foreign-net, and negative suite found']"
write_driver,column_path,sram_layoutgen/netlist_writer.py; /data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/write_driver.py,d5436d3929c4c00c06ed4a46ca609c3ae920014a4ba0037aa10df5c17aa68cae,technology/freepdk45/sp_lib/write_driver.sp,308704a7da720e1840e084610399cb845624c5418e2f9a96163801eda5dab025,outputs/openyield_module_gds/write_driver/write_driver.gds,50fb6e598520b5b17b9ec976c435430c6e1027673550c9b6b465c7f0526edbf8,GDS_PARSE_FAILED:ValueError:[GDSPY] Multiple cells with name: write_driver in GDSII file,outputs/openyield_module_gds/write_driver/pins.json,7c26c5de0343424b2a78cee0b30fffc1b4d39d852cc750e373be7289b879530a,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required,"GDS and SPICE exist, but the top-use qualification gate is not closed.","['no standalone DRC=0/connectivity/foreign-net/pin-access/negative-suite machine gate found for write_driver_v2', 'write-driver use in complete top needs BL/BR/DIN/write-enable physical route proof, which is absent']"
control_logic,control_path,/data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/control_logic.py; sram_layoutgen/openyield_adapter/control_decomposition.py,7d8691de1eba65df5ed08b6ff227f9b30e3dcc8e7181cb30f97b6c080e98fd6f,NOT_FOUND,NOT_FOUND,outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,GDS_PARSE_FAILED:AttributeError:'str' object has no attribute 'name',outputs/openyield_module_gds/CONTROL_LOGIC/pins.json,e20682a3a6cdd8708f91beae9fe337c262c8974f8105ade7348a60bd9243fe30,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required,"The source decomposition exists, but the physical top-use control asset is not ready.","['M12C2 says can_claim_control_logic_physical_ready=false', 'CONTROL_LOGIC generator manifest says candidate geometry does not claim final routing or signoff', 'time/control placement readiness report marks control subblocks physical_ready=false']"
DFF,control_path,/data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/dff.py; sram_layoutgen/openyield_adapter/dff_net_contract_builder.py,0aaea533f235c972f36e22a15166ba480b699a8f4d3b045d7da961749f411e7e,technology/freepdk45/sp_lib/dff.sp,41ebc0e1e6b5e659c7bb7201e1995db3f1ac8beb27e1fa48f35c660044f72f50,outputs/M12C4ACH_dff_reusable_release/DFF_reusable_clean.gds,f6995536077a191c31e10644bbfcfb4075cda64b7da131987c70a59353c4e45d,DFF_TG4_INV7_FPDK45_26d9543b82b7,outputs/M12C4AC_dff_connectivity_repair/current_supported_config/DFF_TG4_INV7_FPDK45_26d9543b82b7/DFF_TG4_INV7_FPDK45_26d9543b82b7_pin_map.json,068f32c0d98323566ca4ba26cc1a0ea3f73f1275fb88a739fa9dd22a4672e623,VDD/VSS or vdd/gnd if pin source is present,R0_EVIDENCE_AVAILABLE_TOP_USE_STILL_CONTEXTUAL,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,True,subblock_leaf,"Reusable DFF evidence exists, but DFF arrays still need top-level placement/routing authority.",[]
DFF_BUF,control_path,sram_layoutgen/openyield_adapter/dff_buf_composite_generator.py; /data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/dff_buf.py,166c71c64c20c1cca7646ae41ed3c44aa5453ab4da7c50a815cad3ca62ac7847,NOT_FOUND,NOT_FOUND,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_reusable_clean.gds,f80dbdb1b9f5852c90801cdbee823db945a64693f4e4bec53381d533b48d6299,DFF_BUF_FPDK45_6058eaf43739_HPA1,outputs/Wave3_DFF_BUF_reusable_release/DFF_BUF_REUSABLE_MANIFEST.json,7d3ffc0201611b2e695b87c9f9abfe806a0010288a65432b07b3808ef1ff18ee,VDD/VSS or vdd/gnd if pin source is present,R0_EVIDENCE_AVAILABLE_TOP_USE_STILL_CONTEXTUAL,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,MODULE_EVIDENCE_AVAILABLE,True,subblock_leaf_or_wrapper,Reusable DFF_BUF exists; exact top usage is still governed by TIME/control authority.,[]
delay_chain,control_path,/data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/delay_chain.py; sram_layoutgen/openyield_adapter/delay_chain_generator.py,06d756186c3018e799afe74119fbd78c7aee466174a35dd7d7511199f32a6e19,simulation/spice/netlists/delay_chain.inc,425e080334ff74128c45c53f50f8febd384a055fefbe97245f7910e5a9ae777d,outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,5f0d7f42368257a42ed13f596824a6aaf6ee2a0f195a61c5b8c0698ed3d6be46,GDS_PARSE_FAILED:AttributeError:'str' object has no attribute 'name',outputs/openyield_module_gds/DELAY_CHAIN/pins.json,ad06cc949c4049eff9756eb65e0ccef217a069091496aaef7e4e279193705fe8,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required_if_TIME_uses_delay,SPICE proxy evidence exists; physical top-use asset is not closed.,"['DELAY_CHAIN module manifest says candidate geometry does not claim final routing or signoff', 'time/control placement readiness marks DELAY_CHAIN_CLUSTER physical_ready=false', 'no standalone final-GDS connectivity/foreign-net/negative-suite top-use gate found for delay_chain_v2']"
pdrive,control_path,/data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/pdriver.py; sram_layoutgen/openyield_adapter/control_decomposition.py,7d8691de1eba65df5ed08b6ff227f9b30e3dcc8e7181cb30f97b6c080e98fd6f,simulation/spice/netlists/pdrive.inc,695d95cc387a6af368f34bb86d6fc834e23b34b0adec21d1f269c37f714e6b98,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required_by_TIME_metadata,Missing physical asset blocks control path integration.,"['no pdrive_v2 GDS asset found in repo, evidence package, /data1 search, historical worktrees, or checkpoints', 'no pdrive pin map, DRC, connectivity, power endpoint, pin-access, determinism, or negative-suite evidence found']"
wl_pdrive,control_path,/data1/qujh/My_OpenYield/LiteRAM-Layout/literam/modules/pdriver.py; sram_layoutgen/openyield_adapter/control_decomposition.py,7d8691de1eba65df5ed08b6ff227f9b30e3dcc8e7181cb30f97b6c080e98fd6f,simulation/spice/netlists/wl_pdrive.inc,1fafff5b7fe34d9b5f15b8973b70e0c626c14a51ae491ac93092f45ffe066b00,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,VDD/VSS or vdd/gnd if pin source is present,NOT_VERIFIED_FOR_FULL_TOP,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,NOT_TOP_ENTRY_CLOSED,False,required_by_WORDLINE_ENABLE_metadata,Missing physical asset blocks control path integration.,"['no wl_pdrive_v2 GDS asset found in repo, evidence package, /data1 search, historical worktrees, or checkpoints', 'no wl_pdrive pin map, DRC, connectivity, power endpoint, pin-access, determinism, or negative-suite evidence found']"
