module,role,x_rel_to_array,y_rel_to_array
authoritative_array,array,0.0,0.0
wl_driver_0,wl_driver,-7.0,1.1
wl_driver_1,wl_driver,-4.1,2.665
wl_driver_2,wl_driver,-7.0,4.23
wl_driver_3,wl_driver,-4.1,5.795
wl_driver_4,wl_driver,-7.0,7.36
wl_driver_5,wl_driver,-4.1,8.925
wl_driver_6,wl_driver,-7.0,10.49
wl_driver_7,wl_driver,-4.1,12.055
wl_driver_8,wl_driver,-7.0,13.62
wl_driver_9,wl_driver,-4.1,15.185
wl_driver_10,wl_driver,-7.0,16.75
wl_driver_11,wl_driver,-4.1,18.315
wl_driver_12,wl_driver,-7.0,19.88
wl_driver_13,wl_driver,-4.1,21.445
wl_driver_14,wl_driver,-7.0,23.01
wl_driver_15,wl_driver,-4.1,24.575
decoder,decoder,-55.0,-1.0
precharge_bank,precharge,0.0,34.285
sense_amp_bank,sense_amp,0.0,-22.02
write_driver_bank,write_driver,0.0,-40.37
control_dff_0,control_dff_cluster,-82.0,-58.0
control_dff_1,control_dff_cluster,-58.0,-58.0
control_dff_2,control_dff_cluster,-34.0,-58.0
control_dff_3,control_dff_cluster,-10.0,-58.0
control_dff_4,control_dff_cluster,-82.0,-66.5
control_dff_5,control_dff_cluster,-58.0,-66.5
control_dff_6,control_dff_cluster,-34.0,-66.5
control_dff_7,control_dff_cluster,-10.0,-66.5
control_dff_8,control_dff_cluster,-82.0,-75.0
control_dff_9,control_dff_cluster,-58.0,-75.0
control_dff_10,control_dff_cluster,-34.0,-75.0
control_dff_11,control_dff_cluster,-10.0,-75.0
control_dff_12,control_dff_cluster,-82.0,-83.5
control_dff_13,control_dff_cluster,-58.0,-83.5
control_dff_14,control_dff_cluster,-34.0,-83.5
control_dff_15,control_dff_cluster,-10.0,-83.5
control_dff_16,control_dff_cluster,-82.0,-92.0
control_dff_17,control_dff_cluster,-58.0,-92.0
control_dff_18,control_dff_cluster,-34.0,-92.0
control_dff_19,control_dff_cluster,-10.0,-92.0
control_logic_0,control_sink_cluster,-92.0,58.0
control_logic_1,control_sink_cluster,-42.0,58.0
control_dff_20,control_dff_cluster,-82.0,-100.5
control_dff_21,control_dff_cluster,-58.0,-100.5
control_logic_2,control_sink_cluster,8.0,58.0
control_logic_3,control_sink_cluster,58.0,58.0
control_logic_4,control_sink_cluster,108.0,58.0
control_logic_5,control_sink_cluster,158.0,58.0
control_logic_6,control_sink_cluster,-92.0,65.0
control_logic_7,control_sink_cluster,-42.0,65.0
control_logic_8,control_sink_cluster,8.0,65.0
control_logic_9,control_sink_cluster,58.0,65.0
control_logic_10,control_sink_cluster,108.0,65.0
control_logic_11,control_sink_cluster,158.0,65.0
