branch_line
backup/team-b-final-20260726_105757                   ab6f66a Team B: add merge approval and pre-merge audit records
+ collab/team-b-control-support                         e74054e (/data1/qujh/worktrees/team_b_control_support) COLLAB-P0: fix Team-B environment checker external repo handling
+ feature/owner-a-logical-data-model-v1-20260723_010633 e74054e (/data1/qujh/work/owner_a_logical_model_v1_20260723_010633/worktree) COLLAB-P0: fix Team-B environment checker external repo handling
+ feature/step45-clean-array-aggregation                9f2820b (/data1/qujh/work/sram_layoutgen_step45_clean) [origin/feature/step45-clean-array-aggregation: ahead 53] Team B: filter verifier kwargs by supported signature
+ integration/team-b-final-merge-20260726_105757        3b0397b (/tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/team_b_mainline_merge_20260726_105757) [origin/master: ahead 218] Merge branch 'feature/step45-clean-array-aggregation' supported-signature verifier kwargs fix
* project/mainline-inventory-20260726                   c1fbd98 Merge branch 'feature/step45-clean-array-aggregation' explicit pin-role verifier fix
  remotes/origin/HEAD                                   -> origin/master
  remotes/origin/codex/occupancy-compaction-routing     ede16cc Optimize SRAM floorplan occupancy and wordline routing
  remotes/origin/feature/step45-clean-array-aggregation 0b3de75 Add OpenYield config extraction and variation support
  remotes/origin/master                                 489f3e0 Add standalone SRAM layout generator
WORKTREE /data1/qujh/work/sram_layoutgen_step45_clean                                                           9f2820b [feature/step45-clean-array-aggregation]
WORKTREE /data1/qujh/work/owner_a_logical_model_v1_20260723_010633/worktree                                     e74054e [feature/owner-a-logical-data-model-v1-20260723_010633]
WORKTREE /data1/qujh/worktrees/team_b_control_support                                                           e74054e [collab/team-b-control-support]
WORKTREE /tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/project_mainline_inventory_20260726    c1fbd98 [project/mainline-inventory-20260726]
WORKTREE /tmp/qujh_delay_chain_scratch/storage_relief_20260725/worktrees/team_b_mainline_merge_20260726_105757  3b0397b [integration/team-b-final-merge-20260726_105757]
