result_id,team_or_author_scope,source_path,git_branch,git_commit,file_sha,result_type,module_or_config,formal_or_experimental,machine_verified,human_reviewed,already_merged,evidence_complete,recommended_action
team_b_9cell_formal_library,Team B / 曲珈豪,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_9cell_integration/current_supported_config/TEAM_B_9CELL_LIBRARY.gds,master@c1fbd98,c1fbd98,075061384baaf70ecbdc8dda82f6e364929ea4e6a538b2354528ac7cf7c5d0c3,formal_gds,TEAM_B_9CELL_LIBRARY,formal,True,True,True,True,keep_as_mainline_baseline
team_b_9cell_clean_atlas,Team B / 曲珈豪,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_9cell_integration/current_supported_config/TEAM_B_9CELL_CLEAN_ATLAS.gds,master@c1fbd98,c1fbd98,cb42239dadde4ef79dc76169f251744823617253b811097cf11dd6e40a8a03b4,formal_review_atlas,TEAM_B_9CELL_CLEAN_ATLAS,formal,True,True,True,True,keep_as_mainline_baseline
team_b_and2_zero_gap,Team B / 曲珈豪,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND2/clean.gds,master@c1fbd98,c1fbd98,291f40e81761c49a60bc5b36e864e160cea5114b5bf27e284a97cac4d019a44c,formal_gds,AND2 zero-gap M2,formal,True,True,True,True,keep_as_mainline_baseline
team_b_and3_zero_gap,Team B / 曲珈豪,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/TeamB_remaining9_reference_demo/current_supported_config/AND3/clean.gds,master@c1fbd98,c1fbd98,015527cdb1aff01736bd81d1ac401dc6fda000aa2e4305f6872bb92a204aa3cf,formal_gds,AND3 zero-gap M2,formal,True,True,True,True,keep_as_mainline_baseline
wave3_dff_buf_release,曲珈豪,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/Wave3_DFF_BUF_reusable_release,master@c1fbd98,c1fbd98,,reusable_release,DFF_BUF,formal,True,True,True,True,retain_as_reusable_formal_release
wave4a_addr_dff_lock,Project control-logic path,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/Wave4A_R2_ADDR_DFF_physical_interface_and_negative_regression_restore/current_supported_config,master@c1fbd98,c1fbd98,da2c7be07d7528e78fabc57a3a76df1626d9f6eb4c98e30ec5946928eee1e4d6,source_binding_and_interface_audit,ADDR_DFF,formal,True,False,True,True,use_as_locked_pre-physical_baseline
m2r_full_sram_regen,Project top-level regeneration,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M2R_full_sram_regen/current_supported_config/openyield_layoutgen_full_sram_M2R.gds,master@c1fbd98,c1fbd98,73ce8a2d07a1220aaca15dfeebbd39e4e561a0e1fc6ce2b3b4f31158a04e547e,top_level_gds_trial,8x64_wpr4,experimental,True,False,True,True,retain_as_experimental_reference_only
m11_variation_support,Project config audit,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M11_openyield_config_variation/current_supported_config/M11_variation_support_report.json,origin/feature/step45-clean-array-aggregation,0b3de75,624bcf8127a32859efc6b5744ad4fcbb0da4da2c0dcd0b2f55edbe8707f46b28,parameter_audit,"8x64_wpr4,4x32_wpr2,16x16_wpr1",formal,True,False,True,True,use_as_parameter_baseline
owner_a_logical_model_v1,Owner A / 其他组员,/data1/qujh/work/owner_a_logical_model_v1_20260723_010633,feature/owner-a-logical-data-model-v1-20260723_010633,e74054e,,logical_data_model_review,logical_data_model_v1,experimental,True,False,False,False,owner_review_then_cherry_pick_or_merge_candidate
openyield_external_authority,OpenYield upstream / 其他组员电路与网表权威源,/data1/qujh/work/external/OpenYield,external/OpenYield,1c34428d8b913963c4971d093b1a7c2df97a2509,,upstream_netlist_authority,OpenYield sram_compiler,formal,True,False,False,True,treat_as_authority_source_not_merge_target
