config_id,word_count,word_size,rows,columns,banks,mux_ratio,generated_by,netlist_available,GDS_available,DRC_status,connectivity_status,area,runtime,evidence_path,formal_or_demo
cfg_8x64_wpr4,64,8,16,32,1,4,M2R full SRAM regeneration + historical M7 golden reference,True,True,PASS_INTERNAL_DRC,ROUTE_AUDIT_PASS_NO_EXTERNAL_LVS,1682.803875,,outputs/M2R_full_sram_regen/current_supported_config/openyield_layoutgen_full_sram_M2R.report.json; outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv,experimental
cfg_16x16_wpr1,16,16,16,16,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,1368.14895,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_16x16_wpr1__sram_16x16_wpr1_fd45.complete.gds,historical_demo
cfg_16x32_wpr2,32,16,16,32,1,2,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,1652.39925,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_16x32_wpr2__sram_16x32_wpr2_fd45.complete.gds,historical_demo
cfg_2x16_wpr1,16,2,16,2,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,721.0538,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_2x16_wpr1__sram_2x16_wpr1_fd45.complete.gds,historical_demo
cfg_32x16_wpr1,16,32,16,32,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,2078.58735,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_32x16_wpr1__sram_32x16_wpr1_fd45.complete.gds,historical_demo
cfg_32x32_wpr1,32,32,32,32,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,2937.39075,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_32x32_wpr1__sram_32x32_wpr1_fd45.complete.gds,historical_demo
cfg_4x32_wpr1,32,4,32,4,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,1245.43575,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_4x32_wpr1__sram_4x32_wpr1_fd45.complete.gds,historical_demo
cfg_4x32_wpr2,32,4,16,8,1,2,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,918.4866,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_4x32_wpr2__sram_4x32_wpr2_fd45.complete.gds,historical_demo
cfg_64x64_wpr1,64,64,64,64,1,1,M7 historical golden-reference inventory,True,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,7837.05195,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/_all_gds_and_reports/sram_64x64_wpr1__sram_64x64_wpr1_fd45.complete.gds,historical_demo
cfg_openram_32x16_reference,32,16,,,,1,M7 historical golden-reference inventory,False,True,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,HISTORICAL_GDS_PRESENT_NOT_REQUALIFIED,4007.671412,,outputs/M7_correct_golden_reference/current_supported_config/M7_gds_candidate_inventory.csv::full_layout_collection/B_openram_reference_32x16.gds,historical_demo
