source_order,instance,type,child_pin,parent_net,pin_role,source_line
1,dff,DFF,VDD,VDD,POWER,288
1,dff,DFF,VSS,VSS,GROUND,288
1,dff,DFF,D,D,SIGNAL_INPUT,288
1,dff,DFF,Q,qint,SIGNAL_OUTPUT,288
1,dff,DFF,CLK,CLK,CLOCK_INPUT,288
2,inv1,PINV,VDD,VDD,POWER,292
2,inv1,PINV,VSS,VSS,GROUND,292
2,inv1,PINV,A,qint,SIGNAL_INPUT,292
2,inv1,PINV,Z,QB,SIGNAL_OUTPUT,292
3,inv2,PINV,VDD,VDD,POWER,296
3,inv2,PINV,VSS,VSS,GROUND,296
3,inv2,PINV,A,QB,SIGNAL_INPUT,296
3,inv2,PINV,Z,Q,SIGNAL_OUTPUT,296
