route_id,route_group,owner,net,track_index
A3,top_input_buses,TOP_DECODER_ROUTE,A3,
A0,top_input_buses,TOP_DECODER_ROUTE,A0,
A1,top_input_buses,TOP_DECODER_ROUTE,A1,
A2,top_input_buses,TOP_DECODER_ROUTE,A2,
EN_0_0_0,internal_buses,TOP_DECODER_ROUTE,EN_0_0_0,
EN_0_0_1,internal_buses,TOP_DECODER_ROUTE,EN_0_0_1,
upper_A0_A1_to_VSS,power_ties,TOP_DECODER_ROUTE,upper_A0_A1_to_VSS,
upper_EN_to_VDD,power_ties,TOP_DECODER_ROUTE,upper_EN_to_VDD,
WL0,wl_routes,PARENT_INTEGRATION_ROUTER,WL0,4.17875
WL1,wl_routes,PARENT_INTEGRATION_ROUTER,WL1,4.52875
WL2,wl_routes,PARENT_INTEGRATION_ROUTER,WL2,4.87875
WL3,wl_routes,PARENT_INTEGRATION_ROUTER,WL3,5.22875
WL4,wl_routes,PARENT_INTEGRATION_ROUTER,WL4,5.57875
WL5,wl_routes,PARENT_INTEGRATION_ROUTER,WL5,5.92875
WL6,wl_routes,PARENT_INTEGRATION_ROUTER,WL6,6.27875
WL7,wl_routes,PARENT_INTEGRATION_ROUTER,WL7,6.62875
WL8,wl_routes,PARENT_INTEGRATION_ROUTER,WL8,6.97875
WL9,wl_routes,PARENT_INTEGRATION_ROUTER,WL9,7.32875
WL10,wl_routes,PARENT_INTEGRATION_ROUTER,WL10,7.67875
WL11,wl_routes,PARENT_INTEGRATION_ROUTER,WL11,8.02875
WL12,wl_routes,PARENT_INTEGRATION_ROUTER,WL12,8.37875
WL13,wl_routes,PARENT_INTEGRATION_ROUTER,WL13,8.72875
WL14,wl_routes,PARENT_INTEGRATION_ROUTER,WL14,9.07875
WL15,wl_routes,PARENT_INTEGRATION_ROUTER,WL15,9.42875
array_interface_VDD,power_routes,PARENT_INTEGRATION_ROUTER,VDD,
array_interface_VSS,power_routes,PARENT_INTEGRATION_ROUTER,VSS,
