openyield_module,module_gds_path,top_cell,bbox_width,bbox_height,shape_count,layer_summary,pin_name,pin_role,pin_layer,pin_bbox,pin_access_status,is_contract_pin,is_verified_physical_pin,golden_target_cell,golden_pin_name,golden_pin_layer,golden_pin_bbox,pin_bbox_delta_x,pin_bbox_delta_y,pin_alignment_status,rail_name,rail_layer,rail_bbox,rail_alignment_status,requires_wrapper,wrapper_reason,placement_safe,routing_safe,power_safe,machine_verified,human_review_required,notes
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,GND,power,13/0,"0.705000,5.627000,0.775000,5.762000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,gnd,13/0,"0.670000,5.627500,0.740000,5.762500",0.035000,-0.000500,ALIGNED,GND,13/0,"0.662000,0.102000,0.775000,5.762000",ALIGNED,False,,True,True,True,True,True,Pin polygon came from parsed GDS geometry.
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,VDD,power,13/0,"0.352000,3.735000,0.422000,3.870000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,vdd,13/0,"0.317500,3.735000,0.387500,3.870000",0.034500,0.000000,ALIGNED,VDD,13/0,"0.352000,3.735000,0.422000,3.870000",ALIGNED,False,,True,True,True,True,False,Pin polygon came from parsed GDS geometry.
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,bl,signal,13/0,"0.185000,0.000000,0.255000,6.010000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,bl,13/0,"0.150000,0.000000,0.220000,6.010000",0.035000,0.000000,ALIGNED,,,,,False,,True,True,True,True,False,Pin polygon came from parsed GDS geometry.
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,br,signal,13/0,"0.520000,0.000000,0.590000,6.010000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,br,13/0,"0.485000,0.000000,0.555000,6.010000",0.035000,0.000000,ALIGNED,,,,,False,,True,True,True,True,False,Pin polygon came from parsed GDS geometry.
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,dout,signal,13/0,"0.028000,0.670000,0.102000,0.745000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,dout,13/0,"-0.007500,0.670000,0.067500,0.745000",0.035000,0.000000,ALIGNED,,,,,False,,True,True,True,True,False,Pin polygon came from parsed GDS geometry.
sense_amp,outputs/openyield_module_gds/sense_amp/sense_amp.gds,sense_amp,0.775000,6.010000,262,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,en,signal,11/0,"0.265000,5.827000,0.330000,5.892000",PHYSICAL_POLYGON_FOUND,False,True,sense_amp,en,11/0,"0.230000,5.827500,0.295000,5.892500",0.035000,-0.000500,ALIGNED,,,,,False,,True,True,True,True,False,Pin polygon came from parsed GDS geometry.
wordline_driver,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,wordline_driver,3.045000,1.505000,9,11/0:8;239/0:1,A,signal,11/0,"0.245000,0.500000,0.380000,0.565000",PHYSICAL_POLYGON_FOUND,False,True,gen_wl_driver,A,11/0,"0.165000,0.395000,0.300000,0.460000",0.080000,0.105000,ALIGNED,,,,,True,OpenYield wrapper pins D/G/S are present in metadata but not machine-resolved in the parsed golden leaf geometry.,True,False,True,True,False,Pin polygon came from parsed GDS geometry.
wordline_driver,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,wordline_driver,3.045000,1.505000,9,11/0:8;239/0:1,B,signal,11/0,"0.460000,0.780000,0.595000,0.845000",PHYSICAL_POLYGON_FOUND,False,True,gen_wl_driver,B,11/0,"0.380000,0.675000,0.515000,0.740000",0.080000,0.105000,ALIGNED,,,,,True,OpenYield wrapper pins D/G/S are present in metadata but not machine-resolved in the parsed golden leaf geometry.,True,False,True,True,False,Pin polygon came from parsed GDS geometry.
wordline_driver,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,wordline_driver,3.045000,1.505000,9,11/0:8;239/0:1,D,signal,11/0,"0.080000,0.072000,3.045000,0.138000",PHYSICAL_POLYGON_FOUND,False,False,gen_wl_driver,,,,,,WRAPPER_PIN_UNRESOLVED,,,,,True,OpenYield wrapper pins D/G/S are present in metadata but not machine-resolved in the parsed golden leaf geometry.,True,False,True,True,True,Pin polygon came from parsed GDS geometry.
wordline_driver,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,wordline_driver,3.045000,1.505000,9,11/0:8;239/0:1,G,signal,9/0,,POINT_ONLY_OR_UNRESOLVED,False,False,gen_wl_driver,,,,,,WRAPPER_PIN_UNRESOLVED,,,,,True,OpenYield wrapper pins D/G/S are present in metadata but not machine-resolved in the parsed golden leaf geometry.,True,False,True,True,True,No physical polygon was found for this metadata pin in the parsed candidate GDS.
