gate_field,value,status
stage,M11CH,PASS
gate_name,Confirm M11C human review and clear M11C gate,PASS
m11c_human_review_completed,True,PASS
sense_amp_smoke_substitution_human_review_passed,True,PASS
substituted_modules,"[""sense_amp""]",PASS
excluded_modules_confirmed,True,PASS
remaining_M11C_blockers_before_count,3,PASS
remaining_M11C_blockers_after_count,0,PASS
next_stage_allowed,M11D_POST_SENSE_AMP_SUBSTITUTION_ANALYSIS_OR_NEXT_SAFE_CANDIDATE_PLANNING,PASS
can_enter_M11D_after_this_gate,True,PASS
can_claim_openyield_module_gds_hardmacro_substitution,False,PASS
can_claim_drc_clean,False,PASS
can_claim_lvs_clean,False,PASS
can_claim_signoff_ready,False,PASS
