proof_field,value
openyield_sense_amp_source_fingerprint,"{""sha256"": ""9aba86fad2bb517b52ae17f7bae995f396d99e7d836f49f53705809843259282"", ""polygon_count"": 262}"
baseline_sense_amp_target_fingerprint,"{""sha256"": ""1bd3272f506189db9f0d34ba9bd3d60efaa70f41647939d21d7b053597154a62"", ""polygon_count"": 262}"
m11c_substituted_sense_amp_fingerprint,"{""sha256"": ""9aba86fad2bb517b52ae17f7bae995f396d99e7d836f49f53705809843259282"", ""polygon_count"": 262}"
openyield_sense_amp_fingerprint_found_in_M11C,True
baseline_vs_m11c_fingerprint_changed,True
m11c_output_sense_amp_instance_count,8
label_only_substitution,False
outside_placement_substitution,False
in_hierarchy_substitution,True
real_substitution_proof_status,PASS_GEOMETRY_FINGERPRINT_MATCH
