variation_id,rows,cols,num_arrays,array_capacity_bits
1,16,16,1024,256
2,16,32,512,512
3,16,64,256,1024
4,16,128,128,2048
5,16,256,64,4096
6,16,512,32,8192
7,32,16,512,512
8,32,32,256,1024
9,32,64,128,2048
10,32,128,64,4096
11,32,256,32,8192
12,32,512,16,16384
13,64,16,256,1024
14,64,32,128,2048
15,64,64,64,4096
16,64,128,32,8192
17,64,256,16,16384
18,64,512,8,32768
19,128,16,128,2048
20,128,32,64,4096
21,128,64,32,8192
22,128,128,16,16384
23,128,256,8,32768
24,128,512,4,65536
25,256,16,64,4096
26,256,32,32,8192
27,256,64,16,16384
28,256,128,8,32768
29,256,256,4,65536
30,256,512,2,131072
31,512,16,32,8192
32,512,32,16,16384
33,512,64,8,32768
34,512,128,4,65536
35,512,256,2,131072
36,512,512,1,262144
