gds_path,cell_name,top_cell,parent_cells,child_cells,bbox,geometry_area,polygon_count,path_count,text_count,instance_count,layer_datatype_pairs,pin_texts,pin_polygon_count,power_texts,power_polygon_count,has_non_debug_geometry,has_only_debug_geometry,contains_annotation_layer,contains_module_gds_qualification_debug,contains_UNKNOWN_GOLDEN_REGION,empty_cell,orphan_geometry,source_generation_report,source_netlist_trace,source_commit_or_hash,parse_status
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,CONTROL_LOGIC,True,,dff|gen_delay_inv|gen_inv|gen_inv|gen_inv|gen_inv|gen_nand2|gen_nand4,"{""x0"": 0.025, ""y0"": 0.0, ""x1"": 6.106000000000001, ""y1"": 4.235, ""width"": 6.081, ""height"": 4.235}",0.0,0,0,0,8,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,gen_inv,False,CONTROL_LOGIC|CONTROL_LOGIC|CONTROL_LOGIC|CONTROL_LOGIC,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 1.4000000000000001, ""width"": 0.798, ""height"": 1.433}",4.426475,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,dff,False,CONTROL_LOGIC,,"{""x0"": 0.0, ""y0"": -0.1, ""x1"": 2.86, ""y1"": 2.57, ""width"": 2.86, ""height"": 2.67}",32.929625,308,0,5,0,1/0|2/0|3/0|4/0|5/0|6/0|9/0|10/0|11/0|12/0|13/0|239/0,D|Q|clk|gnd|vdd,5,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,gen_delay_inv,False,CONTROL_LOGIC,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 2.505, ""width"": 0.798, ""height"": 2.538}",7.835335,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,gen_nand4,False,CONTROL_LOGIC,,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 2.6, ""y1"": 1.565, ""width"": 2.6, ""height"": 1.565}",8.5151,28,0,0,0,1/0|2/0|3/0|4/0|5/0|9/0|10/0|11/0,,0,,0,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,gen_nand2,False,CONTROL_LOGIC,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_180_sactive_dm1|sram_1rw_32x16_freepdk45_nmos_m1_w0_180_sm1_dactive|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.9570000000000001, ""y1"": 1.4000000000000001, ""width"": 1.012, ""height"": 1.433}",5.737165,28,0,5,8,2/0|3/0|6/0|9/0|11/0|239/0,A|B|Z|gnd|vdd,5,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/generation_report.json,and2|and3|buffer|control_logic_leaf_gate|delay_inv|dff_cell|inv|nand3,33cd7699d603e0a0540c6355e8863db0730792ccf53b18a656cbed99cebaa90c,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,DELAY_CHAIN,True,,gen_delay_inv|gen_delay_inv|gen_delay_inv|gen_delay_inv,"{""x0"": 0.025, ""y0"": 0.047, ""x1"": 3.291, ""y1"": 2.585, ""width"": 3.266, ""height"": 2.538}",0.0,0,0,0,4,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/generation_report.json,delay_inv,5f0d7f42368257a42ed13f596824a6aaf6ee2a0f195a61c5b8c0698ed3d6be46,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,gen_delay_inv,False,DELAY_CHAIN|DELAY_CHAIN|DELAY_CHAIN|DELAY_CHAIN,sram_1rw_32x16_freepdk45_contact_12|sram_1rw_32x16_freepdk45_contact_13|sram_1rw_32x16_freepdk45_contact_14|sram_1rw_32x16_freepdk45_nmos_m1_w0_090_sm1_dm1_da_p|sram_1rw_32x16_freepdk45_pmos_m1_w0_270_sm1_dm1_da_p,"{""x0"": -0.055, ""y0"": -0.033, ""x1"": 0.743, ""y1"": 2.505, ""width"": 0.798, ""height"": 2.538}",7.835335,17,0,4,5,2/0|3/0|6/0|9/0|11/0|239/0,A|Z|gnd|vdd,4,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/generation_report.json,delay_inv,5f0d7f42368257a42ed13f596824a6aaf6ee2a0f195a61c5b8c0698ed3d6be46,PARSED_WITH_MISSING_CHILD_REFERENCE
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,DFF_ROW,True,,dff|dff|dff|dff,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 11.44, ""y1"": 2.67, ""width"": 11.44, ""height"": 2.67}",0.0,0,0,0,4,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generation_report.json,dff_cell,cb62db9f90dd00ea8745983a3357f7d6272a8a32026236e67992937b34cd9eb8,PARSED
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,dff,False,DFF_ROW|DFF_ROW|DFF_ROW|DFF_ROW,,"{""x0"": 0.0, ""y0"": -0.1, ""x1"": 2.86, ""y1"": 2.57, ""width"": 2.86, ""height"": 2.67}",32.929625,308,0,5,0,1/0|2/0|3/0|4/0|5/0|6/0|9/0|10/0|11/0|12/0|13/0|239/0,D|Q|clk|gnd|vdd,5,gnd|vdd,2,True,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generation_report.json,dff_cell,cb62db9f90dd00ea8745983a3357f7d6272a8a32026236e67992937b34cd9eb8,PARSED
/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,GATED_CLOCK_PATH,True,,gen_inv|gen_inv|gen_inv|gen_inv|gen_nand2,"{""x0"": 0.025, ""y0"": 0.047, ""x1"": 2.683, ""y1"": 2.913, ""width"": 2.658, ""height"": 2.8659999999999997}",0.0,0,0,0,5,,,0,,0,False,False,False,False,False,False,False,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/generation_report.json,buffer|gated_clock_leaf_gate|inv|nand2,b3aeb17c0a125cb22b8379d3c5900a60460f9346db34548c76d44d719e29d547,PARSED_WITH_MISSING_CHILD_REFERENCE
