logical_module,candidate_cell_name,candidate_gds_path,expected_pin_names,candidate_pin_names,pin_set_match,pin_order_mappable,pin_polygon_or_boundary_evidence,pin_layer_known,internal_label_promoted_to_pin,qualification_note
ADDR_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,D[*]|GND|Q[*]|VDD|clk,True,True,True,True,False,bus-role mapping only; candidate pins come from module boundary metadata
AND2,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS|A|B|Z,A[*]|GND|VDD|dec_stage[*]|enable,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
AND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS|A|B|C|Z,A[*]|GND|VDD|dec_stage[*]|enable,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
DATA_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15,D[*]|GND|Q[*]|VDD|clk,True,True,True,True,False,bus-role mapping only; candidate pins come from module boundary metadata
DFF,dff,,VDD|VSS|D|Q|CLK,,False,False,False,False,False,no exact pin-proof for primitive leaf reuse
DFF_BUF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS|D|Q|QB|CLK,D[*]|GND|Q[*]|VDD|clk,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
NMOS_VTG,,,,,False,False,False,False,False,no exact pin-proof for primitive leaf reuse
PINV,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PINV1,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PINV2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
PINV3,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS|A|Z,DEC_WL[*]|GND|VDD|WL_local[*]|wl_en,False,False,True,True,False,no exact pin-proof for primitive leaf reuse
