assertion,passed
IN_not_equal_OUT,True
IN_not_equal_VDD,True
IN_not_equal_VSS,True
OUT_not_equal_VDD,True
OUT_not_equal_VSS,True
VDD_not_equal_VSS,True
CTR_P_not_equal_CTR_N,True
CTR_P_not_equal_IN,True
CTR_P_not_equal_OUT,True
CTR_P_not_equal_VDD,True
CTR_P_not_equal_VSS,True
CTR_N_not_equal_IN,True
CTR_N_not_equal_OUT,True
CTR_N_not_equal_VDD,True
CTR_N_not_equal_VSS,True
IN_connects_pmos_left_terminal,True
IN_connects_nmos_left_terminal,True
OUT_connects_pmos_right_terminal,True
OUT_connects_nmos_right_terminal,True
CTR_P_has_m1_shape,True
CTR_N_has_m1_shape,True
VDD_connects_nwell_tap,True
VSS_connects_pwell_tap,True
IN_OUT_no_direct_metal_path,True
CTR_P_component_includes_poly_and_m1,True
CTR_N_component_includes_poly_and_m1,True
all_six_pins_present,True
