cell_name,before_root_name,after_root_name,before_recursive_label_count,after_recursive_label_count,before_lowercase_alias_count,after_lowercase_alias_count,before_internal_gsd_count,after_internal_gsd_count,before_duplicate_label_count,after_duplicate_label_count,after_canonical_label_set_exact
PINV_NW180_PW270_L50,DEBUG_BEFORE__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,REUSABLE_AFTER__PINV_NW180_PW270_L50__PINV_NW180_PW270_L50,14,4,2,0,6,0,4,0,True
PINV_NW180_PW540_L50,DEBUG_BEFORE__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,REUSABLE_AFTER__PINV_NW180_PW540_L50__PINV_NW180_PW540_L50,14,4,2,0,6,0,4,0,True
PINV_NW2430_PW7290_L50,DEBUG_BEFORE__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50,REUSABLE_AFTER__PINV_NW2430_PW7290_L50__PINV_NW2430_PW7290_L50,26,4,2,0,18,0,4,0,True
PINV_NW250_PW500_L50,DEBUG_BEFORE__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,REUSABLE_AFTER__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,14,4,2,0,6,0,4,0,True
PINV_NW270_PW810_L50,DEBUG_BEFORE__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,REUSABLE_AFTER__PINV_NW270_PW810_L50__PINV_NW270_PW810_L50,16,4,2,0,8,0,4,0,True
PINV_NW360_PW1080_L50,DEBUG_BEFORE__PINV_NW360_PW1080_L50__PINV_NW360_PW1080_L50,REUSABLE_AFTER__PINV_NW360_PW1080_L50__PINV_NW360_PW1080_L50,16,4,2,0,8,0,4,0,True
PINV_NW450_PW1350_L50,DEBUG_BEFORE__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,REUSABLE_AFTER__PINV_NW450_PW1350_L50__PINV_NW450_PW1350_L50,16,4,2,0,8,0,4,0,True
PINV_NW90_PW270_L50,DEBUG_BEFORE__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,REUSABLE_AFTER__PINV_NW90_PW270_L50__PINV_NW90_PW270_L50,14,4,2,0,6,0,4,0,True
PINV_NW910_PW2430_L50,DEBUG_BEFORE__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,REUSABLE_AFTER__PINV_NW910_PW2430_L50__PINV_NW910_PW2430_L50,18,4,2,0,10,0,4,0,True
TRANSMISSION_GATE_NW250_PW500_L50,DEBUG_BEFORE__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,REUSABLE_AFTER__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,18,6,6,0,6,0,0,0,True
