cell_name,cell_type,graph_signature_preserved,canonical_label_association_ok,deterministic_sanitized_export_verified
PINV_NW180_PW270_L50,PINV,True,True,True
PINV_NW180_PW540_L50,PINV,True,True,True
PINV_NW2430_PW7290_L50,PINV,True,True,True
PINV_NW250_PW500_L50,PINV,True,True,True
PINV_NW270_PW810_L50,PINV,True,True,True
PINV_NW360_PW1080_L50,PINV,True,True,True
PINV_NW450_PW1350_L50,PINV,True,True,True
PINV_NW90_PW270_L50,PINV,True,True,True
PINV_NW910_PW2430_L50,PINV,True,True,True
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE,True,True,True
