cell_name,full_gds_hash_before,full_gds_hash_after,conductive_geometry_fingerprint_before,conductive_geometry_fingerprint_after,non_text_geometry_fingerprint_before,non_text_geometry_fingerprint_after,bbox_preserved,non_text_layer_histogram_preserved,pin_polygon_preserved,contact_geometry_preserved,active_poly_geometry_preserved,well_implant_geometry_preserved,device_count_preserved,connectivity_graph_preserved
PINV_NW180_PW270_L50,350d3eaf28f938d5e754d2dae7297f8f8cb33a3384104be7f54fa0b9e01272c6,c1983a304c4f4d6564a4d2625e0e06304aff86225adb124b25fb9b03a692e397,1588846659afc2a55acd5ce8,1588846659afc2a55acd5ce8,dd29f3198e0a02b6b274dccb,dd29f3198e0a02b6b274dccb,True,True,True,True,True,True,True,True
PINV_NW180_PW540_L50,d0032016b490a9de7c446bf27d61f470959b0c19b1a83e886e14cb4673bc33c1,9d167b73d26491aa78afeca82b26bea19682565fb85d01f8b8c826b489dfb823,36a010d544014e450255de34,36a010d544014e450255de34,117596b07947416690e720e7,117596b07947416690e720e7,True,True,True,True,True,True,True,True
PINV_NW2430_PW7290_L50,2a8799d3181c637008d7d9b4266af75b626990c301d46269f3c71cc585dcebb5,d2e51d5bc3d250ee3b4bb7c59dbbd600f686598afb7a41ad2e5dcf86f8d2c006,a872c8f5e833578c93396915,a872c8f5e833578c93396915,a20cbc97f9530243dd6eaf2f,a20cbc97f9530243dd6eaf2f,True,True,True,True,True,True,True,True
PINV_NW250_PW500_L50,539aba96ce12ab9b95fd937b69e1bbc6559721c9953841a29021264fe9a82708,aebeb6ce10b1bd8c30fbe08c65eea35b66c784546673a89ceacdc7c4245956fa,7c88a4221844962ea2cc3ee6,7c88a4221844962ea2cc3ee6,87c7df4d73380943d103c32f,87c7df4d73380943d103c32f,True,True,True,True,True,True,True,True
PINV_NW270_PW810_L50,99bac2588306d235209232fe50a21d50eaabb9b2dc812f66cad680e600ef620c,d85f7dfbbad4983fe216e07c30dfcf3081041e55e0638061cec676944b53b244,7bcfdec6a16427e7fb191518,7bcfdec6a16427e7fb191518,576300067684f696ffd0213b,576300067684f696ffd0213b,True,True,True,True,True,True,True,True
PINV_NW360_PW1080_L50,fd828f44d56effd0bbf530d84e39095742e9e3d981eead09711535e63c8011a5,8ba5643965c913c37d6b4be68b8f69ec22307f774b688f8649174386fe356ab7,f455dee1645dd2e90792910e,f455dee1645dd2e90792910e,497152acca1004460d41d657,497152acca1004460d41d657,True,True,True,True,True,True,True,True
PINV_NW450_PW1350_L50,f4e66de8e06dbd06d7e7ebe8da6e94c4b5e11430087eeb3c5fefbfbac68f1c58,b418971b80d93e4d2fdf5e6aafba270d3e695580b0ba1dd0fdbd388925a61980,85a7ce175966cfbd9076a689,85a7ce175966cfbd9076a689,26ce4a76baa363e6e867f5c3,26ce4a76baa363e6e867f5c3,True,True,True,True,True,True,True,True
PINV_NW90_PW270_L50,5e12099e662ee274813d836e3efc08e0615a891f48881a68cdc6c9882d29541f,68f75773e2869548ab559556d5eee2764f836a41ccd2bceb29bc3633360891a2,506ce0611da80937b62db43f,506ce0611da80937b62db43f,959b83de12e97570b21115e0,959b83de12e97570b21115e0,True,True,True,True,True,True,True,True
PINV_NW910_PW2430_L50,38ca426fc1cd0c3f694d98d5430ae20c2f4fe22347a8b036eb25af9d3c161712,d842509285b2b8b1d86a106509f4e04fc5bb47c5f72d143bb419cc65edbd4c21,1547c6464796cfc5e07d1505,1547c6464796cfc5e07d1505,da9b285404fa36587b601747,da9b285404fa36587b601747,True,True,True,True,True,True,True,True
TRANSMISSION_GATE_NW250_PW500_L50,4656debd3dc659bccee9770cc59afd1869377e2f13d1b0e755df14848bb30b33,3546b73701c55e088f206cb06469afd8da0cfbd7d3aa278eeb674668c1877e2d,5e3b7ad2d29b84cd5a664e4e,5e3b7ad2d29b84cd5a664e4e,152bb3b2454689a29f0e8cfe,152bb3b2454689a29f0e8cfe,True,True,True,True,True,True,True,True
