cell_name,cell_type,before_label_count,after_label_count,before_lowercase_alias_count,after_lowercase_alias_count,before_internal_gsd_label_count,after_internal_gsd_label_count
PINV_NW180_PW270_L50,PINV,14,4,2,0,6,0
PINV_NW180_PW540_L50,PINV,14,4,2,0,6,0
PINV_NW2430_PW7290_L50,PINV,26,4,2,0,18,0
PINV_NW250_PW500_L50,PINV,14,4,2,0,6,0
PINV_NW270_PW810_L50,PINV,16,4,2,0,8,0
PINV_NW360_PW1080_L50,PINV,16,4,2,0,8,0
PINV_NW450_PW1350_L50,PINV,16,4,2,0,8,0
PINV_NW90_PW270_L50,PINV,14,4,2,0,6,0
PINV_NW910_PW2430_L50,PINV,18,4,2,0,10,0
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE,18,6,6,0,6,0
