cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,VDD,11,0,0.3435,1.82,contact_64,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,VSS,11,0,0.3435,0.0,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,A,11,0,0.14,0.8875,contact_76,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,PINV_NW180_PW270_L50,Z,11,0,0.3725,0.8875,contact_58,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,VDD,11,0,0.3435,1.82,contact_64,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,VSS,11,0,0.3435,0.0,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,A,11,0,0.14,0.82,contact_76,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,PINV_NW180_PW540_L50,Z,11,0,0.3725,0.82,contact_58,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,VDD,11,0,1.9935,1.82,contact_270,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,VSS,11,0,1.9935,0.0,contact_276,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,A,11,0,0.14,0.8175,contact_282,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,PINV_NW2430_PW7290_L50,Z,11,0,2.0375,0.8175,contact_264,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,VDD,11,0,0.3435,1.82,contact_64,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,VSS,11,0,0.3435,0.0,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,A,11,0,0.14,0.8475,contact_76,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,Z,11,0,0.3725,0.8475,contact_58,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,VDD,11,0,0.481,1.82,contact_82,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,VSS,11,0,0.481,0.0,contact_88,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,A,11,0,0.14,0.8425,contact_94,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,PINV_NW270_PW810_L50,Z,11,0,0.4025,0.8425,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,VDD,11,0,0.481,1.82,contact_82,True,False,False,TOP_WRAPPER_CANONICAL,1,VDD
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,VSS,11,0,0.481,0.0,contact_88,True,False,False,TOP_WRAPPER_CANONICAL,1,VSS
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,A,11,0,0.14,0.82,contact_94,True,False,False,TOP_WRAPPER_CANONICAL,1,A
PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,PINV_NW360_PW1080_L50,Z,11,0,0.4025,0.82,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,Z
