reference_config,source_file,source_class,source_instance_path,logical_alias,parameter_expression,drive_scale_inputs,resolved_drive_scale,resolved_nmos_width_nm,resolved_pmos_width_nm,resolved_channel_length_nm,canonical_physical_cell_name,cache_key,parameter_resolution_status,resolution_source_trace
16x16,time_generate.py,pdrive,pdrive.inv1,PINV1,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv1""}"
16x16,time_generate.py,pdrive,pdrive.inv2,PINV2,"NW(270*(max(1.0, float(drive_scale))**0.5))|PW(810*(max(1.0, float(drive_scale))**0.5))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,270,810,50,PINV_NW270_PW810_L50,a685044ad818017f5b212b70,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv2""}"
16x16,time_generate.py,pdrive,pdrive.inv3,PINV3,"NW(910*(max(1.0, float(drive_scale))**0.75))|PW(2430*(max(1.0, float(drive_scale))**0.75))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,910,2430,50,PINV_NW910_PW2430_L50,d74a1cfe3bf4d503bb9db3b2,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv3""}"
16x16,time_generate.py,pdrive,pdrive.inv4,PINV4,"NW(2430*max(1.0, float(drive_scale)))|PW(7290*max(1.0, float(drive_scale)))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,2430,7290,50,PINV_NW2430_PW7290_L50,b1d57331d6d4545a62baede7,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive.inv4""}"
16x16,time_generate.py,pdrive2_for_pre,pdrive2_for_pre.inv1,PINV1,"NW(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))|PW(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv1""}"
16x16,time_generate.py,pdrive2_for_pre,pdrive2_for_pre.inv2,PINV2,"NW(270*max(1.0, float(drive_scale)))|PW(810*max(1.0, float(drive_scale)))|L50","{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,270,810,50,PINV_NW270_PW810_L50,a685044ad818017f5b212b70,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""pdrive2_for_pre.inv2""}"
16x16,time_generate.py,wl_pdrive,wl_pdrive.inv1,PINV1,NW90|PW270|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,90,270,50,PINV_NW90_PW270_L50,9fe2f90c30344295dc62fc44,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv1""}"
16x16,time_generate.py,wl_pdrive,wl_pdrive.inv2,PINV2,NW450|PW1350|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,450,1350,50,PINV_NW450_PW1350_L50,5d03d7ec037280dc0ed0b2f7,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""wl_pdrive.inv2""}"
16x16,time_generate.py,dff,dff.inv_dff,PINV1,NW250|PW500|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,250,500,50,PINV_NW250_PW500_L50,51a32ce3e1b7caaefab60496,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""dff.inv_dff""}"
16x16,time_generate.py,DFF_BUF,DFF_BUF.inv1,PINV1,NW180|PW540|L50,"{""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}",1.0,180,540,50,PINV_NW180_PW540_L50,e70b925aed05c4c93729e940,RESOLVED_CONCRETE,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv1""}"
