cell_name,gds_path,drc_run,drc_parse_passed,marker_count,marker_categories,marker_report_path,drc_scope,drc_passed
PINV_NW180_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW180_PW270_L50/PINV_NW180_PW270_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW180_PW270_L50.lyrdb,cell_level_candidate,True
PINV_NW180_PW540_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW180_PW540_L50/PINV_NW180_PW540_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW180_PW540_L50.lyrdb,cell_level_candidate,True
PINV_NW2430_PW7290_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW2430_PW7290_L50/PINV_NW2430_PW7290_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW2430_PW7290_L50.lyrdb,cell_level_candidate,True
PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,cell_level_candidate,True
PINV_NW270_PW810_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW270_PW810_L50/PINV_NW270_PW810_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW270_PW810_L50.lyrdb,cell_level_candidate,True
PINV_NW360_PW1080_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW360_PW1080_L50/PINV_NW360_PW1080_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW360_PW1080_L50.lyrdb,cell_level_candidate,True
PINV_NW450_PW1350_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW450_PW1350_L50/PINV_NW450_PW1350_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW450_PW1350_L50.lyrdb,cell_level_candidate,True
PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,cell_level_candidate,True
PINV_NW910_PW2430_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW910_PW2430_L50/PINV_NW910_PW2430_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/PINV_NW910_PW2430_L50.lyrdb,cell_level_candidate,True
TRANSMISSION_GATE_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/TRANSMISSION_GATE_NW250_PW500_L50/TRANSMISSION_GATE_NW250_PW500_L50.gds,True,True,0,{},/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/drc/TRANSMISSION_GATE_NW250_PW500_L50.lyrdb,cell_level_candidate,True
