physical_cell_name,logical_module_type,logical_pin_order,physical_pin_map,expected_nmos_count,expected_pmos_count,actual_nmos_count,actual_pmos_count,requested_parameters,actual_parameters,source_trace,structural_match,lvs_proven
PINV_NW180_PW270_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.855, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.92}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.855, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.92}]}",1,1,1,1,180/270/50,180/270/50,"{""canonical_physical_cell_name"": ""PINV_NW180_PW270_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.855, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.92}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.855, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.92}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""D_latch.inv1""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW180_PW540_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8525}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.8525}]}",1,1,1,1,180/540/50,180/540/50,"{""canonical_physical_cell_name"": ""PINV_NW180_PW540_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8525}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.8525}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""DFF_BUF.inv1""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW2430_PW7290_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.785, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.85}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 3.9875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 3.9875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.785, ""layer"": ""m1"", ""lx"": 2.005, ""rx"": 2.07, ""uy"": 0.85}]}",1,1,1,1,2430/7290/50,2438/7280/50,"{""canonical_physical_cell_name"": ""PINV_NW2430_PW7290_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.785, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.85}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 3.9875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 3.9875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.785, ""layer"": ""m1"", ""lx"": 2.005, ""rx"": 2.07, ""uy"": 0.85}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""pdrive.inv4""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW250_PW500_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.815, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.88}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.815, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.88}]}",1,1,1,1,250/500/50,250/500/50,"{""canonical_physical_cell_name"": ""PINV_NW250_PW500_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.815, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.88}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.815, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.88}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""dff.inv_dff""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW270_PW810_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.81, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.875}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 0.0325}], ""Z"": [{""by"": 0.81, ""layer"": ""m1"", ""lx"": 0.37, ""rx"": 0.435, ""uy"": 0.875}]}",1,1,1,1,270/810/50,270/810/50,"{""canonical_physical_cell_name"": ""PINV_NW270_PW810_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.81, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.875}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 0.0325}], ""Z"": [{""by"": 0.81, ""layer"": ""m1"", ""lx"": 0.37, ""rx"": 0.435, ""uy"": 0.875}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""pdrive.inv2"", ""pdrive2_for_pre.inv2""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW360_PW1080_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8525}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 0.0325}], ""Z"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.37, ""rx"": 0.435, ""uy"": 0.8525}]}",1,1,1,1,360/1080/50,360/1080/50,"{""canonical_physical_cell_name"": ""PINV_NW360_PW1080_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8525}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.9625, ""uy"": 0.0325}], ""Z"": [{""by"": 0.7875, ""layer"": ""m1"", ""lx"": 0.37, ""rx"": 0.435, ""uy"": 0.8525}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""DFF_BUF.inv2""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW450_PW1350_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.2375, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.2375, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.63, ""rx"": 0.695, ""uy"": 0.8675}]}",1,1,1,1,450/1350/50,450/1350/50,"{""canonical_physical_cell_name"": ""PINV_NW450_PW1350_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.2375, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.2375, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.63, ""rx"": 0.695, ""uy"": 0.8675}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""wl_pdrive.inv2""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW90_PW270_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.8325, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8975}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8325, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.8975}]}",1,1,1,1,90/270/50,90/270/50,"{""canonical_physical_cell_name"": ""PINV_NW90_PW270_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.8325, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8975}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.6875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8325, ""layer"": ""m1"", ""lx"": 0.34, ""rx"": 0.405, ""uy"": 0.8975}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""AND2.inv_driver"", ""AND3.inv_driver"", ""DelayChain.inv"", ""TIME.inv_clk_bar"", ""TIME.inv_rbl_delay_bar"", ""TIME.inv_wl_en_bar"", ""WenDelayChain.inv"", ""pdrive.inv1"", ""pdrive2_for_pre.inv1"", ""wl_pdrive.inv1""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
PINV_NW910_PW2430_L50,PINV,VDD|VSS|A|Z,"{""A"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.7875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.7875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.905, ""rx"": 0.97, ""uy"": 0.8675}]}",1,1,1,1,910/2430/50,912/2425/50,"{""canonical_physical_cell_name"": ""PINV_NW910_PW2430_L50"", ""logical_module"": ""PINV"", ""openram_backend"": ""pinv"", ""pin_map"": {""A"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.0725, ""rx"": 0.2075, ""uy"": 0.8675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.7875, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 1.7875, ""uy"": 0.0325}], ""Z"": [{""by"": 0.8025, ""layer"": ""m1"", ""lx"": 0.905, ""rx"": 0.97, ""uy"": 0.8675}]}, ""pin_order"": [""VDD"", ""VSS"", ""A"", ""Z""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""pdrive.inv3""], ""source_trace_kind"": ""OpenRAM-backed pinv wrapper""}",True,False
TRANSMISSION_GATE_NW250_PW500_L50,TRANSMISSION_GATE,VDD|VSS|IN|OUT|CTR_P|CTR_N,"{""CTR_N"": [{""by"": 0.115, ""layer"": ""poly"", ""lx"": 0.2075, ""rx"": 0.2575, ""uy"": 0.475}], ""CTR_P"": [{""by"": 1.095, ""layer"": ""poly"", ""lx"": 0.2075, ""rx"": 0.2575, ""uy"": 1.705}], ""IN"": [{""by"": 0.2275, ""layer"": ""m1"", ""lx"": 0.0925, ""rx"": 0.1575, ""uy"": 1.4675}], ""OUT"": [{""by"": 0.2275, ""layer"": ""m1"", ""lx"": 0.3075, ""rx"": 0.3725, ""uy"": 1.4675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.56, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.56, ""uy"": 0.0325}]}",1,1,1,1,250/500/50,250/500/50,"{""canonical_physical_cell_name"": ""TRANSMISSION_GATE_NW250_PW500_L50"", ""logical_module"": ""TRANSMISSION_GATE"", ""openram_backend"": ""ptx+pgate composition"", ""pin_map"": {""CTR_N"": [{""by"": 0.115, ""layer"": ""poly"", ""lx"": 0.2075, ""rx"": 0.2575, ""uy"": 0.475}], ""CTR_P"": [{""by"": 1.095, ""layer"": ""poly"", ""lx"": 0.2075, ""rx"": 0.2575, ""uy"": 1.705}], ""IN"": [{""by"": 0.2275, ""layer"": ""m1"", ""lx"": 0.0925, ""rx"": 0.1575, ""uy"": 1.4675}], ""OUT"": [{""by"": 0.2275, ""layer"": ""m1"", ""lx"": 0.3075, ""rx"": 0.3725, ""uy"": 1.4675}], ""VDD"": [{""by"": 1.7875, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.56, ""uy"": 1.8525}], ""VSS"": [{""by"": -0.0325, ""layer"": ""m1"", ""lx"": 0.0, ""rx"": 0.56, ""uy"": 0.0325}]}, ""pin_order"": [""VDD"", ""VSS"", ""IN"", ""OUT"", ""CTR_P"", ""CTR_N""], ""reference_configs"": [""16x16"", ""64x8""], ""source_instance_paths"": [""TransmissionGate""]}",True,False
