source,location,kind,length_expression,length_nm
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 15,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 49,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 109,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 153,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 193,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 264,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 310,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 364,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 413,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 450,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 495,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 65,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 66,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 67,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 68,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 125,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 126,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 164,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 165,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 202,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 276,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 277,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 321,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 588,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 617,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 633,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 651,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 671,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 698,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 714,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,line 739,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:15,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:49,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:109,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:153,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:193,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:264,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:310,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:364,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:413,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:450,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,__init__:495,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,line 172,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,line 245,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,line 301,source_constant,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,__init__:172,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,__init__:245,init_default,5e-08,50
/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,__init__:301,init_default,5e-08,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,NMOS_DEVICE,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PMOS_DEVICE,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV1,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV2,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV3,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV4,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PINV_wl_en_bar,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PNAND2,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,PNAND3,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,TRANSMISSION_GATE,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,AND2,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,AND3,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,DFF,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,DFF_BUF,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,ADDR_DFF,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,DATA_DFF,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,pdrive,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,pdrive2_for_pre,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,wl_pdrive,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,delay_chain,requirement_row,0.05e-6,50
/data1/qujh/work/sram_layoutgen_step45_clean/docs/mapping/M12C3_primitive_generator_requirement_matrix.csv,WenDelayChain,requirement_row,0.05e-6,50
