logical_alias,source_instance_path,source_parent_module,logical_function,technology,nmos_width_nm,pmos_width_nm,channel_length_nm,finger_or_mult_policy,contact_policy,rail_policy,canonical_physical_cell_name,canonical_parameter_tuple,cache_key,source_trace_hash,shares_logical_alias_with_other_variant,shares_parameter_tuple_with_other_alias,requires_distinct_physical_cell,supported_by_openram_pinv,supported_by_openram_ptx,adapter_requirement,status
PINV1,pdrive.inv1,pdrive,inverter,FreePDK45,"(90*(max(1.0, float(drive_scale))**0.25))","(270*(max(1.0, float(drive_scale))**0.25))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_7BEF9676_NW90_PW270_L50,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50",ca36298a364a2a65f03cc0e3,41f27f42d1302625678f1fa5,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV2,pdrive.inv2,pdrive,inverter,FreePDK45,"(270*(max(1.0, float(drive_scale))**0.5))","(810*(max(1.0, float(drive_scale))**0.5))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_4CDBED33_NW270_PW810_L50,"NW(270*(max(1.0, float(drive_scale))**0.5))|PW(810*(max(1.0, float(drive_scale))**0.5))|L50",9d4f4f3721a2292047fb7a99,bda46844fa9361b0bb11bf22,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV3,pdrive.inv3,pdrive,inverter,FreePDK45,"(910*(max(1.0, float(drive_scale))**0.75))","(2430*(max(1.0, float(drive_scale))**0.75))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_459A182D_NW910_PW2430_L50,"NW(910*(max(1.0, float(drive_scale))**0.75))|PW(2430*(max(1.0, float(drive_scale))**0.75))|L50",4d1593fe69c87f2ed8137b60,80fd82e49ec4e734881aa44b,False,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV4,pdrive.inv4,pdrive,inverter,FreePDK45,"(2430*max(1.0, float(drive_scale)))","(7290*max(1.0, float(drive_scale)))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_CA102F26_NW2430_PW7290_L50,"NW(2430*max(1.0, float(drive_scale)))|PW(7290*max(1.0, float(drive_scale)))|L50",ee0d65187fd9f2483ff300b0,65b9981e37caea6e51bc3074,False,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV1,pdrive2_for_pre.inv1,pdrive2_for_pre,inverter,FreePDK45,"(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))","(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_FEDF48F1_NW90_PW270_L50,"NW(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))|PW(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))|L50",979c9ea37297f9beba1f1c79,62848557ca976684ba44faad,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV2,pdrive2_for_pre.inv2,pdrive2_for_pre,inverter,FreePDK45,"(270*max(1.0, float(drive_scale)))","(810*max(1.0, float(drive_scale)))",50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_6D5778A4_NW270_PW810_L50,"NW(270*max(1.0, float(drive_scale)))|PW(810*max(1.0, float(drive_scale)))|L50",a1edef7a295e84ea75a5126e,2fe32e4afff4e906bdb6dff3,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV1,wl_pdrive.inv1,wl_pdrive,inverter,FreePDK45,90,270,50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_NW90_PW270_L50,NW90|PW270|L50,9fe2f90c30344295dc62fc44,508c824f7373d3d4b863259f,True,True,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV2,wl_pdrive.inv2,wl_pdrive,inverter,FreePDK45,450,1350,50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_NW450_PW1350_L50,NW450|PW1350|L50,5d03d7ec037280dc0ed0b2f7,d3e4cd1011e1daa61789e249,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV1,dff.inv_dff,dff,inverter,FreePDK45,250,500,50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_NW250_PW500_L50,NW250|PW500|L50,51a32ce3e1b7caaefab60496,0dbf9822648f693a69d6f124,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
PINV1,DFF_BUF.inv1,DFF_BUF,inverter,FreePDK45,180,540,50,single_inverter_pair,OpenRAM default pgate/ptx contact policy,OpenRAM row rails on vdd/gnd,PINV_NW180_PW540_L50,NW180|PW540|L50,e70b925aed05c4c93729e940,8db3ad9fdc2d0ce8f624776c,True,False,True,True,True,OPENRAM_FREEPDK45_DEVICE_CONTACT_ADAPTER,SOURCE_DERIVED_VARIANT_LOCKED
