generated_logical_name,canonical_parameter_tuple,distinct_parameter_set_count
PINV,NW180|PW270|L50,2
PINV,NW90|PW270|L50,2
PINV1,"NW(90*(max(1.0, float(drive_scale))**0.25))|PW(270*(max(1.0, float(drive_scale))**0.25))|L50",5
PINV1,"NW(90*max(1.0, (max(1.0, float(drive_scale))**0.5)))|PW(270*max(1.0, (max(1.0, float(drive_scale))**0.5)))|L50",5
PINV1,NW180|PW540|L50,5
PINV1,NW250|PW500|L50,5
PINV1,NW90|PW270|L50,5
PINV2,"NW(270*(max(1.0, float(drive_scale))**0.5))|PW(810*(max(1.0, float(drive_scale))**0.5))|L50",4
PINV2,"NW(270*max(1.0, float(drive_scale)))|PW(810*max(1.0, float(drive_scale)))|L50",4
PINV2,NW360|PW1080|L50,4
PINV2,NW450|PW1350|L50,4
