layer_name,value,unit,source_file,source_location,confidence,used_by_generator
nwell_layer,3/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""nwell""]",AUTHORITATIVE_TECH_FILE,True
pwell_or_substrate_handling,2/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""pwell""]",AUTHORITATIVE_TECH_FILE,True
active_layer,1/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""active""]",AUTHORITATIVE_TECH_FILE,True
poly_layer,9/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""poly""]",AUTHORITATIVE_TECH_FILE,True
nimplant_layer,4/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""nimplant""]",AUTHORITATIVE_TECH_FILE,True
pimplant_layer,5/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""pimplant""]",AUTHORITATIVE_TECH_FILE,True
contact_layer,10/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""contact""]",AUTHORITATIVE_TECH_FILE,True
metal1_layer,11/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""m1""]",AUTHORITATIVE_TECH_FILE,True
via1_layer,12/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""via1""]",AUTHORITATIVE_TECH_FILE,True
metal2_layer,13/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""m2""]",AUTHORITATIVE_TECH_FILE,True
higher_metal_layers,m3=15/0|m4=17/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,layer map,AUTHORITATIVE_TECH_FILE,True
pin_text_layers,239/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""text""]",AUTHORITATIVE_TECH_FILE,True
boundary_layer,239/0,gds layer/datatype,/data1/qujh/OpenRAM/technology/freepdk45/tech/tech.py,"layer[""boundary""]",AUTHORITATIVE_TECH_FILE,True
debug_layers,294/0|295/0|296/0|297/0|298/0,project debug layers,/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/tech.py,project review GDS conventions,REFERENCE_ONLY,False
