net_name,layer,start,end,width,source_pin,destination_pin,obstacle_clearance,route_order,geometry_id
CLK,m1,"[-0.005, 2.085]","[13.6725, 2.085]",0.065,CLK_TRACK_START,CLK_TRACK_END,0.065,0,CLK_track
CLK,m2,"[-0.005, 0.9475]","[-0.005, 2.0175]",0.07,inv1_clk.A,CLK_TRACK,0.07,0,CLK_column_inv1_clk.A
CLK,m2,"[3.61, 1.1575000000000002]","[3.61, 2.0175]",0.07,tg1.CTR_P,CLK_TRACK,0.07,0,CLK_column_tg1.CTR_P
CLK,m2,"[7.1425, 0.6125]","[7.1425, 2.0175]",0.07,tg2.CTR_N,CLK_TRACK,0.07,0,CLK_column_tg2.CTR_N
CLK,m2,"[9.6375, 0.6125]","[9.6375, 2.0175]",0.07,tg3.CTR_N,CLK_TRACK,0.07,0,CLK_column_tg3.CTR_N
CLK,m2,"[13.59, 1.1575000000000002]","[13.59, 2.0175]",0.07,tg4.CTR_P,CLK_TRACK,0.07,0,CLK_column_tg4.CTR_P
CLKB,m1,"[0.5925, 2.295]","[13.6725, 2.295]",0.065,CLKB_TRACK_START,CLKB_TRACK_END,0.065,1,CLKB_track
CLKB,m2,"[0.5925, 0.9475]","[0.5925, 2.2275]",0.07,inv1_clk.Z,CLKB_TRACK,0.07,1,CLKB_column_inv1_clk.Z
CLKB,m2,"[3.4, 0.6125]","[3.4, 2.2275]",0.07,tg1.CTR_N,CLKB_TRACK,0.07,1,CLKB_column_tg1.CTR_N
CLKB,m2,"[7.3525, 1.1575000000000002]","[7.3525, 2.2275]",0.07,tg2.CTR_P,CLKB_TRACK,0.07,1,CLKB_column_tg2.CTR_P
CLKB,m2,"[9.8475, 1.1575000000000002]","[9.8475, 2.2275]",0.07,tg3.CTR_P,CLKB_TRACK,0.07,1,CLKB_column_tg3.CTR_P
CLKB,m2,"[13.38, 0.6125]","[13.38, 2.2275]",0.07,tg4.CTR_N,CLKB_TRACK,0.07,1,CLKB_column_tg4.CTR_N
D,m1,"[0.15, 2.505]","[13.6725, 2.505]",0.065,D_TRACK_START,D_TRACK_END,0.065,2,D_track
D,m2,"[1.2425, 0.9475]","[1.2425, 2.4375]",0.07,inv2_D.A,D_TRACK,0.07,2,D_column_inv2_D.A
D_b,m1,"[1.84, 2.715]","[13.6725, 2.715]",0.065,D_b_TRACK_START,D_b_TRACK_END,0.065,3,D_b_track
D_b,m2,"[1.84, 0.9475]","[1.84, 2.6475]",0.07,inv2_D.Z,D_b_TRACK,0.07,3,D_b_column_inv2_D.Z
D_b,m2,"[2.51, 0.9475]","[2.51, 2.6475]",0.07,tg1.IN,D_b_TRACK,0.07,3,D_b_column_tg1.IN
z1,m1,"[3.055, 2.925]","[13.6725, 2.925]",0.065,z1_TRACK_START,z1_TRACK_END,0.065,4,z1_track
z1,m2,"[3.055, 0.9475]","[3.055, 2.8575]",0.07,tg1.OUT,z1_TRACK,0.07,4,z1_column_tg1.OUT
z1,m2,"[3.82, 0.9475]","[3.82, 2.8575]",0.07,inv3.A,z1_TRACK,0.07,4,z1_column_inv3.A
z1,m2,"[6.7975, 0.9475]","[6.7975, 2.8575]",0.07,tg2.OUT,z1_TRACK,0.07,4,z1_column_tg2.OUT
z2,m1,"[4.335, 3.135]","[13.6725, 3.135]",0.065,z2_TRACK_START,z2_TRACK_END,0.065,5,z2_track
z2,m2,"[4.335, 0.9475]","[4.335, 3.0675]",0.07,inv3.Z,z2_TRACK,0.07,5,z2_column_inv3.Z
z2,m2,"[4.985, 0.9475]","[4.985, 3.0675]",0.07,inv4.A,z2_TRACK,0.07,5,z2_column_inv4.A
z2,m2,"[7.5625, 0.9475]","[7.5625, 3.0675]",0.07,inv5.A,z2_TRACK,0.07,5,z2_column_inv5.A
z3,m1,"[5.5825, 3.345]","[13.6725, 3.345]",0.065,z3_TRACK_START,z3_TRACK_END,0.065,6,z3_track
z3,m2,"[5.5825, 0.9475]","[5.5825, 3.2775000000000003]",0.07,inv4.Z,z3_TRACK,0.07,6,z3_column_inv4.Z
z3,m2,"[6.2525, 0.9475]","[6.2525, 3.2775000000000003]",0.07,tg2.IN,z3_TRACK,0.07,6,z3_column_tg2.IN
z4,m1,"[8.0775, 3.555]","[13.6725, 3.555]",0.065,z4_TRACK_START,z4_TRACK_END,0.065,7,z4_track
z4,m2,"[8.0775, 0.9475]","[8.0775, 3.4875000000000003]",0.07,inv5.Z,z4_TRACK,0.07,7,z4_column_inv5.Z
z4,m2,"[8.7475, 0.9475]","[8.7475, 3.4875000000000003]",0.07,tg3.IN,z4_TRACK,0.07,7,z4_column_tg3.IN
z5,m1,"[9.2925, 3.765]","[13.6725, 3.765]",0.065,z5_TRACK_START,z5_TRACK_END,0.065,8,z5_track
z5,m2,"[9.2925, 0.9475]","[9.2925, 3.6975000000000002]",0.07,tg3.OUT,z5_TRACK,0.07,8,z5_column_tg3.OUT
z5,m2,"[10.0575, 0.9475]","[10.0575, 3.6975000000000002]",0.07,inv6.A,z5_TRACK,0.07,8,z5_column_inv6.A
z5,m2,"[13.035, 0.9475]","[13.035, 3.6975000000000002]",0.07,tg4.OUT,z5_TRACK,0.07,8,z5_column_tg4.OUT
Q,m1,"[10.5725, 3.975]","[13.6725, 3.975]",0.065,Q_TRACK_START,Q_TRACK_END,0.065,9,Q_track
Q,m2,"[10.5725, 0.9475]","[10.5725, 3.9075]",0.07,inv6.Z,Q_TRACK,0.07,9,Q_column_inv6.Z
Q,m2,"[11.2225, 0.9475]","[11.2225, 3.9075]",0.07,inv7.A,Q_TRACK,0.07,9,Q_column_inv7.A
QB,m1,"[11.82, 4.185]","[13.6725, 4.185]",0.065,QB_TRACK_START,QB_TRACK_END,0.065,10,QB_track
QB,m2,"[11.82, 0.9475]","[11.82, 4.1175]",0.07,inv7.Z,QB_TRACK,0.07,10,QB_column_inv7.Z
QB,m2,"[12.49, 0.9475]","[12.49, 4.1175]",0.07,tg4.IN,QB_TRACK,0.07,10,QB_column_tg4.IN
