endpoint,instance_name,net_name,access_mode,candidate_count,selected_candidate,selected_via_center,m1_landing_bbox,m2_landing_bbox,escape_segment_bbox,nearest_m1_obstacle_distance,nearest_m2_obstacle_distance,grid_aligned,access_status,failure_reason
inv1_clk.A,inv1_clk,CLK,directional_escape,3,left,"[-0.005, 0.88]","{'lx': -0.0725, 'by': 0.8125, 'rx': 0.0625, 'uy': 0.9475}","{'lx': -0.0725, 'by': 0.8125, 'rx': 0.0625, 'uy': 0.9475}","{'lx': -0.005, 'by': 0.8125, 'rx': 0.2625, 'uy': 0.9475}",0.065,0.065,True,PLANNED,
tg1.CTR_P,tg1,CLK,directional_escape,3,right,"[3.4, 1.09]","{'lx': 3.3325, 'by': 1.0225, 'rx': 3.4675, 'uy': 1.1575}","{'lx': 3.3325, 'by': 1.0225, 'rx': 3.4675, 'uy': 1.1575}","{'lx': 3.1325, 'by': 1.0225, 'rx': 3.4, 'uy': 1.1575}",0.065,0.065,True,PLANNED,
tg2.CTR_N,tg2,CLK,directional_escape,3,right,"[7.1425, 0.545]","{'lx': 7.075, 'by': 0.4775, 'rx': 7.21, 'uy': 0.6125}","{'lx': 7.075, 'by': 0.4775, 'rx': 7.21, 'uy': 0.6125}","{'lx': 6.875, 'by': 0.4775, 'rx': 7.1425, 'uy': 0.6125}",0.065,0.065,True,PLANNED,
tg3.CTR_N,tg3,CLK,directional_escape,3,right,"[9.6375, 0.545]","{'lx': 9.57, 'by': 0.4775, 'rx': 9.705, 'uy': 0.6125}","{'lx': 9.57, 'by': 0.4775, 'rx': 9.705, 'uy': 0.6125}","{'lx': 9.37, 'by': 0.4775, 'rx': 9.6375, 'uy': 0.6125}",0.065,0.065,True,PLANNED,
tg4.CTR_P,tg4,CLK,directional_escape,3,right,"[13.38, 1.09]","{'lx': 13.3125, 'by': 1.0225, 'rx': 13.4475, 'uy': 1.1575}","{'lx': 13.3125, 'by': 1.0225, 'rx': 13.4475, 'uy': 1.1575}","{'lx': 13.1125, 'by': 1.0225, 'rx': 13.38, 'uy': 1.1575}",0.065,0.065,True,PLANNED,
inv1_clk.Z,inv1_clk,CLKB,directional_escape,3,right,"[0.5925, 0.88]","{'lx': 0.525, 'by': 0.8125, 'rx': 0.66, 'uy': 0.9475}","{'lx': 0.525, 'by': 0.8125, 'rx': 0.66, 'uy': 0.9475}","{'lx': 0.395, 'by': 0.8125, 'rx': 0.5925, 'uy': 0.9475}",0.065,0.065,True,PLANNED,
tg1.CTR_N,tg1,CLKB,directional_escape,3,right,"[3.4, 0.545]","{'lx': 3.3325, 'by': 0.4775, 'rx': 3.4675, 'uy': 0.6125}","{'lx': 3.3325, 'by': 0.4775, 'rx': 3.4675, 'uy': 0.6125}","{'lx': 3.1325, 'by': 0.4775, 'rx': 3.4, 'uy': 0.6125}",0.065,0.065,True,PLANNED,
tg2.CTR_P,tg2,CLKB,directional_escape,3,right,"[7.1425, 1.09]","{'lx': 7.075, 'by': 1.0225, 'rx': 7.21, 'uy': 1.1575}","{'lx': 7.075, 'by': 1.0225, 'rx': 7.21, 'uy': 1.1575}","{'lx': 6.875, 'by': 1.0225, 'rx': 7.1425, 'uy': 1.1575}",0.065,0.065,True,PLANNED,
tg3.CTR_P,tg3,CLKB,directional_escape,3,right,"[9.6375, 1.09]","{'lx': 9.57, 'by': 1.0225, 'rx': 9.705, 'uy': 1.1575}","{'lx': 9.57, 'by': 1.0225, 'rx': 9.705, 'uy': 1.1575}","{'lx': 9.37, 'by': 1.0225, 'rx': 9.6375, 'uy': 1.1575}",0.065,0.065,True,PLANNED,
tg4.CTR_N,tg4,CLKB,directional_escape,3,right,"[13.38, 0.545]","{'lx': 13.3125, 'by': 0.4775, 'rx': 13.4475, 'uy': 0.6125}","{'lx': 13.3125, 'by': 0.4775, 'rx': 13.4475, 'uy': 0.6125}","{'lx': 13.1125, 'by': 0.4775, 'rx': 13.38, 'uy': 0.6125}",0.065,0.065,True,PLANNED,
