instance_name,logical_module,physical_child_cell,source_line,placement_x,placement_y,orientation,bbox,pin_transform,geometry_fingerprint
inv1_clk,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,216,0.0,0.0,R0,"[0.0, 0.0, 0.7975, 1.8875]","{""origin_x"": 0.055, ""origin_y"": 0.0325}",995439c9ef80de9824777943
inv2_D,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,220,1.2475,0.0,R0,"[1.2475, 0.0, 2.045, 1.8875]","{""origin_x"": 1.3025, ""origin_y"": 0.0325}",995439c9ef80de9824777943
tg1,TRANSMISSION_GATE,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,223,2.495,0.0,R0,"[2.495, 0.0, 3.2925, 1.885]","{""origin_x"": 2.5500000000000003, ""origin_y"": 0.0325}",b68406e28a47772360c61bc5
inv3,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,227,3.7425,0.0,R0,"[3.7425, 0.0, 4.54, 1.8875]","{""origin_x"": 3.7975000000000003, ""origin_y"": 0.0325}",995439c9ef80de9824777943
inv4,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,231,4.99,0.0,R0,"[4.99, 0.0, 5.7875, 1.8875]","{""origin_x"": 5.045, ""origin_y"": 0.0325}",995439c9ef80de9824777943
tg2,TRANSMISSION_GATE,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,234,6.237500000000001,0.0,R0,"[6.2375, 0.0, 7.035, 1.885]","{""origin_x"": 6.2925, ""origin_y"": 0.0325}",b68406e28a47772360c61bc5
inv5,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,239,7.485,0.0,R0,"[7.485, 0.0, 8.2825, 1.8875]","{""origin_x"": 7.54, ""origin_y"": 0.0325}",995439c9ef80de9824777943
tg3,TRANSMISSION_GATE,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,242,8.7325,0.0,R0,"[8.7325, 0.0, 9.53, 1.885]","{""origin_x"": 8.7875, ""origin_y"": 0.0325}",b68406e28a47772360c61bc5
inv6,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,246,9.98,0.0,R0,"[9.98, 0.0, 10.7775, 1.8875]","{""origin_x"": 10.035, ""origin_y"": 0.0325}",995439c9ef80de9824777943
inv7,PINV,COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,250,11.227500000000001,0.0,R0,"[11.2275, 0.0, 12.025, 1.8875]","{""origin_x"": 11.2825, ""origin_y"": 0.0325}",995439c9ef80de9824777943
tg4,TRANSMISSION_GATE,COMPOSE_CHILD__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50,254,12.475000000000001,0.0,R0,"[12.475, 0.0, 13.2725, 1.885]","{""origin_x"": 12.530000000000001, ""origin_y"": 0.0325}",b68406e28a47772360c61bc5
