config_id,concrete_instance_name,parent_module,child_module,concrete_parameter_values,parent_net_connections,resolved_physical_cell_name,binding_status,source_trace
R16_C16_read&write,AND2.inv_driver,AND2,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND2.inv_driver""}"
R16_C16_read&write,AND3.inv_driver,AND3,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""AND3.inv_driver""}"
R16_C16_read&write,DFF_BUF.inv1,DFF_BUF,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 180, ""resolved_pmos_width_nm"": 540}",,PINV_NW180_PW540_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv1""}"
R16_C16_read&write,DFF_BUF.inv2,DFF_BUF,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 360, ""resolved_pmos_width_nm"": 1080}",,PINV_NW360_PW1080_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DFF_BUF.inv2""}"
R16_C16_read&write,D_latch.inv1,D_latch,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 180, ""resolved_pmos_width_nm"": 270}",,PINV_NW180_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""D_latch.inv1""}"
R16_C16_read&write,DelayChain.inv,DelayChain,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""DelayChain.inv""}"
R16_C16_read&write,TIME.inv_clk_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_clk_bar""}"
R16_C16_read&write,TIME.inv_rbl_delay_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_rbl_delay_bar""}"
R16_C16_read&write,TIME.inv_wl_en_bar,TIME,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""TIME.inv_wl_en_bar""}"
R16_C16_read&write,WenDelayChain.inv,WenDelayChain,PINV,"{""resolved_channel_length_nm"": 50, ""resolved_nmos_width_nm"": 90, ""resolved_pmos_width_nm"": 270}",,PINV_NW90_PW270_L50,APPROVED_PRIMITIVE_BINDING,"{""config"": ""16x16"", ""scales"": {""address_bits"": 4, ""clk_dff_count"": 22, ""clk_drive_scale"": 1.0, ""pre_col_scale"": 0.26153846153846155, ""pre_drive_scale"": 1, ""pre_pmos_scale"": 1.0, ""ref_dff_count"": 22, ""resolved_scales"": {""pdrive"": 1.0, ""pdrive2_for_pre"": 1, ""w_en_scale"": 1}, ""w_en_scale"": 1}, ""source_path"": ""WenDelayChain.inv""}"
