source_class,source_name_constant,canonical_module_name,source_nodes,normalized_pin_order,resolution_method,hardcoded_crosscheck_result,resolution_status,failure_reason
Pinv,,PINV,VDD|VSS|A|Z,VDD|VSS|A|Z,CLASS_NODES,MATCH,RESOLVED,
PNAND2,PNAND2,PNAND2,VDD|VSS|A|B|Z,VDD|VSS|A|B|Z,CLASS_NODES,MATCH,RESOLVED,
PNAND3,PNAND3,PNAND3,VDD|VSS|A|B|C|Z,VDD|VSS|A|B|C|Z,CLASS_NODES,MATCH,RESOLVED,
AND2,AND2,AND2,VDD|VSS|A|B|Z,VDD|VSS|A|B|Z,CLASS_NODES,MATCH,RESOLVED,
AND3,AND3,AND3,VDD|VSS|A|B|C|Z,VDD|VSS|A|B|C|Z,CLASS_NODES,MATCH,RESOLVED,
TransmissionGate,TRANSMISSION_GATE,TRANSMISSION_GATE,VDD|VSS|IN|OUT|CTR_P|CTR_N,VDD|VSS|IN|OUT|CTR_P|CTR_N,CLASS_NODES,MATCH,RESOLVED,
pdrive,pdrive,pdrive,VDD|VSS|A|Z,VDD|VSS|A|Z,CLASS_NODES,MATCH,RESOLVED,
pdrive2_for_pre,pdrive2_for_pre,pdrive2_for_pre,VDD|VSS|A|Z,VDD|VSS|A|Z,CLASS_NODES,MATCH,RESOLVED,
wl_pdrive,wl_pdrive,wl_pdrive,VDD|VSS|A|Z,VDD|VSS|A|Z,CLASS_NODES,MATCH,RESOLVED,
dff,DFF,DFF,VDD|VSS|D|Q|CLK,VDD|VSS|D|Q|CLK,CLASS_NODES,MATCH,RESOLVED,
DFF_BUF,DFF_BUF,DFF_BUF,VDD|VSS|D|Q|QB|CLK,VDD|VSS|D|Q|QB|CLK,CLASS_NODES,MATCH,RESOLVED,
DelayChain,delay_chain,delay_chain,VDD|VSS|in|out,VDD|VSS|in|out,CLASS_NODES,MATCH,RESOLVED,
WenDelayChain,wen_delay_chain,wen_delay_chain,VDD|VSS|in|out,VDD|VSS|in|out,CLASS_NODES,MATCH,RESOLVED,
ADDR_DFF,ADDR_DFF,ADDR_DFF,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,INIT_DYNAMIC_LIST,NO_REFERENCE,RESOLVED,
DATA_DFF,DATA_DFF,DATA_DFF,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7,INIT_DYNAMIC_LIST,NO_REFERENCE,RESOLVED,
TIME,TIME,TIME,VDD|VSS|clk|csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,VDD|VSS|clk|csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,INIT_DYNAMIC_LIST,NO_REFERENCE,RESOLVED,
