module_name,source_file,source_line,source_loop_context,instance_name_expression,instance_name_template,child_constructor_alias,child_source_class,child_logical_module,child_pin_order,parent_net_connections,pin_count,connection_count,pin_connection_count_match,parameter_expression,topology_resolution_status,branch_condition,method_name
ADDR_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,440,i in range(n_bits),f'dff_{i}',f'dff_{i}',self.dff_addr,dff,DFF,"['VDD', 'VSS', 'D', 'Q', 'CLK']","['VDD', 'VSS', 'A0', 'A_dff0', 'CLK']",5,5,True,{'__args__': 'nmos_model|pmos_model'},SOURCE_EXACT_RESOLVED,,add_addr_dff_array
AND2,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,227,,f'PNAND3',f'PNAND3',self.nand_gate,PNAND2,PNAND2,"['VDD', 'VSS', 'A', 'B', 'Z']","['VDD', 'VSS', 'a_node', 'b_node', 'zb_node']",5,5,True,"{'nmos_model': 'self.nmos_model_nand', 'pmos_model': 'self.pmos_model_nand', 'pmos_width': 'self.nand_pmos_width', 'nmos_width': 'self.nand_nmos_width', 'length': 'self.length'}",SOURCE_EXACT_RESOLVED,,add_and3_components
AND2,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,229,,f'PINV',f'PINV',self.inv_driver,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb_node', 'z_node']",4,4,True,"{'nmos_model': 'self.nmos_model_inv', 'pmos_model': 'self.pmos_model_inv', 'pmos_width': 'self.inv_pmos_width', 'nmos_width': 'self.inv_nmos_width', 'length': 'self.length'}",SOURCE_EXACT_RESOLVED,,add_and3_components
AND3,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,287,,'PNAND3','PNAND3',self.nand3_gate,PNAND3,PNAND3,"['VDD', 'VSS', 'A', 'B', 'C', 'Z']","['VDD', 'VSS', 'A', 'B', 'C', 'zb_int']",6,6,True,"{'nmos_model': 'self.nmos_model_nand', 'pmos_model': 'self.pmos_model_nand', 'pmos_width': 'self.nand_pmos_width', 'nmos_width': 'self.nand_nmos_width', 'length': 'self.length'}",SOURCE_EXACT_RESOLVED,,add_and3_components
AND3,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/standard_cell.py,289,,'PINV','PINV',self.inv_driver,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'zb_int', 'Z']",4,4,True,"{'nmos_model': 'self.nmos_model_inv', 'pmos_model': 'self.pmos_model_inv', 'pmos_width': 'self.inv_pmos_width', 'nmos_width': 'self.inv_nmos_width', 'length': 'self.length'}",SOURCE_EXACT_RESOLVED,,add_and3_components
DATA_DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,479,i in range(num_cols),f'dff_{i}',f'dff_{i}',self.dff_data,dff,DFF,"['VDD', 'VSS', 'D', 'Q', 'CLK']","['VDD', 'VSS', 'DIN0', 'DIN_dff0', 'CLK']",5,5,True,{'__args__': 'nmos_model|pmos_model|length'},SOURCE_EXACT_RESOLVED,,add_data_dff_array
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,216,,'inv1_clk','inv1_clk',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'CLK', 'CLKB']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,220,,'inv2_D','inv2_D',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'D', 'D_b']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,223,,'tg1','tg1',self.trans_dff,TransmissionGate,TRANSMISSION_GATE,"['VDD', 'VSS', 'IN', 'OUT', 'CTR_P', 'CTR_N']","['VDD', 'VSS', 'D_b', 'z1', 'CLK', 'CLKB']",6,6,True,"{'nmos_model': ""'NMOS_VTG'"", 'pmos_model': ""'PMOS_VTG'""}",SOURCE_EXACT_RESOLVED,,add_dff
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,227,,'inv3','inv3',self.inv_dff,Pinv,PINV,"['VDD', 'VSS', 'A', 'Z']","['VDD', 'VSS', 'z1', 'z2']",4,4,True,"{'num': '1', '__args__': 'nmos_model|pmos_model|2.5e-07|5e-07|5e-08'}",SOURCE_EXACT_RESOLVED,,add_dff
