parent_composite_module,parent_instance_context,child_logical_alias,child_source_parameter_tuple,resolved_physical_cell_name,approved_reusable_root,geometry_fingerprint,canonical_pin_map,drc_report,connectivity_report,source_trace,binding_status,binding_failure_reason
pdrive,buf_inv1,Pinv,"{""num"": ""1""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=9e-08 * s1 pmos=2.7e-07 * s1
pdrive,buf_inv2,Pinv,"{""num"": ""2""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=2.7e-07 * s2 pmos=8.1e-07 * s2
pdrive,buf_inv3,Pinv,"{""num"": ""3""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=9.1e-07 * s3 pmos=2.43e-06 * s3
pdrive,buf_inv4,Pinv,"{""num"": ""4""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=2.43e-06 * s4 pmos=7.29e-06 * s4
pdrive2_for_pre,buf_inv1,Pinv,"{""num"": ""1""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=9e-08 * stage1_scale pmos=2.7e-07 * stage1_scale
pdrive2_for_pre,buf_inv2,Pinv,"{""num"": ""2""}",,,,,,,,UNRESOLVED_PARAMETER,symbolic PINV width expression requires concrete configuration expansion: nmos=2.7e-07 * stage2_scale pmos=8.1e-07 * stage2_scale
wl_pdrive,buf_inv1,Pinv,"{""num"": ""1""}",PINV_NW90_PW270_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,3d0d21c2e747d8836861f878,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW90_PW270_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW90_PW270_L50/PINV_NW90_PW270_L50_source_trace.json,APPROVED_EXACT_BINDING,
wl_pdrive,buf_inv2,Pinv,"{""num"": ""2""}",PINV_NW450_PW1350_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,8a910eeb270805d16494197e,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW450_PW1350_L50/PINV_NW450_PW1350_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW450_PW1350_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW450_PW1350_L50/PINV_NW450_PW1350_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW450_PW1350_L50/PINV_NW450_PW1350_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv1_clk,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
DFF,inv2_D,Pinv,"{""num"": ""1""}",PINV_NW250_PW500_L50,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells,995439c9ef80de9824777943,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_pin_map.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/drc/PINV_NW250_PW500_L50.lyrdb,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A4_canonical_primitive_label_cleanup/current_supported_config/reusable_cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_connectivity.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M12C3A_parameterized_device_gate_generator/current_supported_config/cells/PINV_NW250_PW500_L50/PINV_NW250_PW500_L50_source_trace.json,APPROVED_EXACT_BINDING,
