cell_name,pin_name,pin_layer,pin_access_box,distance_left,distance_right,distance_bottom,distance_top
PINV_NW180_PW270_L50,VDD,m1,"[0.0, 1.7875, 0.6875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW180_PW270_L50,VSS,m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW180_PW270_L50,A,m1,"[0.0725, 0.855, 0.2075, 0.92]",0.1275,0.535,0.8875,0.935
PINV_NW180_PW270_L50,Z,m1,"[0.34, 0.855, 0.405, 0.92]",0.395,0.3375,0.8875,0.935
PINV_NW180_PW540_L50,VDD,m1,"[0.0, 1.7875, 0.6875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW180_PW540_L50,VSS,m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW180_PW540_L50,A,m1,"[0.0725, 0.7875, 0.2075, 0.8525]",0.1275,0.535,0.82,1.0025
PINV_NW180_PW540_L50,Z,m1,"[0.34, 0.7875, 0.405, 0.8525]",0.395,0.3375,0.82,1.0025
PINV_NW2430_PW7290_L50,VDD,m1,"[0.0, 1.7875, 3.9875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW2430_PW7290_L50,VSS,m1,"[0.0, -0.0325, 3.9875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW2430_PW7290_L50,A,m1,"[0.0725, 0.785, 0.2075, 0.85]",0.1275,3.835,0.8175,1.005
PINV_NW2430_PW7290_L50,Z,m1,"[2.005, 0.785, 2.07, 0.85]",2.06,1.9725,0.8175,1.005
PINV_NW250_PW500_L50,VDD,m1,"[0.0, 1.7875, 0.6875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW250_PW500_L50,VSS,m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW250_PW500_L50,A,m1,"[0.0725, 0.815, 0.2075, 0.88]",0.1275,0.535,0.8475,0.975
PINV_NW250_PW500_L50,Z,m1,"[0.34, 0.815, 0.405, 0.88]",0.395,0.3375,0.8475,0.975
PINV_NW270_PW810_L50,VDD,m1,"[0.0, 1.7875, 0.9625, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW270_PW810_L50,VSS,m1,"[0.0, -0.0325, 0.9625, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW270_PW810_L50,A,m1,"[0.0725, 0.81, 0.2075, 0.875]",0.1275,0.81,0.8425,0.98
PINV_NW270_PW810_L50,Z,m1,"[0.37, 0.81, 0.435, 0.875]",0.425,0.5825,0.8425,0.98
PINV_NW360_PW1080_L50,VDD,m1,"[0.0, 1.7875, 0.9625, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW360_PW1080_L50,VSS,m1,"[0.0, -0.0325, 0.9625, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW360_PW1080_L50,A,m1,"[0.0725, 0.7875, 0.2075, 0.8525]",0.1275,0.81,0.82,1.0025
PINV_NW360_PW1080_L50,Z,m1,"[0.37, 0.7875, 0.435, 0.8525]",0.425,0.5825,0.82,1.0025
PINV_NW450_PW1350_L50,VDD,m1,"[0.0, 1.7875, 1.2375, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW450_PW1350_L50,VSS,m1,"[0.0, -0.0325, 1.2375, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW450_PW1350_L50,A,m1,"[0.0725, 0.8025, 0.2075, 0.8675]",0.1275,1.085,0.835,0.9875
PINV_NW450_PW1350_L50,Z,m1,"[0.63, 0.8025, 0.695, 0.8675]",0.685,0.5975,0.835,0.9875
PINV_NW90_PW270_L50,VDD,m1,"[0.0, 1.7875, 0.6875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW90_PW270_L50,VSS,m1,"[0.0, -0.0325, 0.6875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW90_PW270_L50,A,m1,"[0.0725, 0.8325, 0.2075, 0.8975]",0.1275,0.535,0.865,0.9575
PINV_NW90_PW270_L50,Z,m1,"[0.34, 0.8325, 0.405, 0.8975]",0.395,0.3375,0.865,0.9575
PINV_NW910_PW2430_L50,VDD,m1,"[0.0, 1.7875, 1.7875, 1.8525]",0.055,0.055,1.82,0.0025
PINV_NW910_PW2430_L50,VSS,m1,"[0.0, -0.0325, 1.7875, 0.0325]",0.055,0.055,0.0,1.8225
PINV_NW910_PW2430_L50,A,m1,"[0.0725, 0.8025, 0.2075, 0.8675]",0.1275,1.635,0.835,0.9875
PINV_NW910_PW2430_L50,Z,m1,"[0.905, 0.8025, 0.97, 0.8675]",0.96,0.8725,0.835,0.9875
TRANSMISSION_GATE_NW250_PW500_L50,VDD,m1,"[0.0, 1.7875, 0.56, 1.8525]",0.055,0.1825,1.82,0.0
TRANSMISSION_GATE_NW250_PW500_L50,VSS,m1,"[0.0, -0.0325, 0.56, 0.0325]",0.055,0.1825,0.0,1.82
TRANSMISSION_GATE_NW250_PW500_L50,IN,m1,"[0.0925, 0.2275, 0.1575, 1.4675]",0.1475,0.585,0.26,0.385
TRANSMISSION_GATE_NW250_PW500_L50,OUT,m1,"[0.3075, 0.2275, 0.3725, 1.4675]",0.3625,0.37,0.26,0.385
TRANSMISSION_GATE_NW250_PW500_L50,CTR_P,m1,"[0.5825, 1.025, 0.7175, 1.09]",0.6375,0.025,1.0575,0.7625
TRANSMISSION_GATE_NW250_PW500_L50,CTR_N,m1,"[0.5825, 0.48, 0.7175, 0.545]",0.6375,0.025,0.5125,1.3075
