module_name,source_file,source_class,source_function,source_line,child_instance_name,child_logical_module,child_constructor_expression,child_parameter_expression,child_pin_order,parent_net_connections,internal_net_names
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,self.X,87,buf_inv1,Pinv,"Pinv(nmos_model, pmos_model, 9e-08 * s1, 2.7e-07 * s1, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'A'"", ""'zb1_node'""]","['zb1_node', 'zb2_node', 'zb3_node']"
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,self.X,91,buf_inv2,Pinv,"Pinv(nmos_model, pmos_model, 2.7e-07 * s2, 8.1e-07 * s2, 5e-08, num=2)",{'num': '2'},[],"[""'VDD'"", ""'VSS'"", ""'zb1_node'"", ""'zb2_node'""]","['zb1_node', 'zb2_node', 'zb3_node']"
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,self.X,95,buf_inv3,Pinv,"Pinv(nmos_model, pmos_model, 9.1e-07 * s3, 2.43e-06 * s3, 5e-08, num=3)",{'num': '3'},[],"[""'VDD'"", ""'VSS'"", ""'zb2_node'"", ""'zb3_node'""]","['zb1_node', 'zb2_node', 'zb3_node']"
pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive,self.X,99,buf_inv4,Pinv,"Pinv(nmos_model, pmos_model, 2.43e-06 * s4, 7.29e-06 * s4, 5e-08, num=4)",{'num': '4'},[],"[""'VDD'"", ""'VSS'"", ""'zb3_node'"", ""'Z'""]","['zb1_node', 'zb2_node', 'zb3_node']"
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,self.X,138,buf_inv1,Pinv,"Pinv(nmos_model, pmos_model, 9e-08 * stage1_scale, 2.7e-07 * stage1_scale, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'A'"", ""'zb1_node'""]",['zb1_node']
pdrive2_for_pre,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,self.X,142,buf_inv2,Pinv,"Pinv(nmos_model, pmos_model, 2.7e-07 * stage2_scale, 8.1e-07 * stage2_scale, 5e-08, num=2)",{'num': '2'},[],"[""'VDD'"", ""'VSS'"", ""'zb1_node'"", ""'Z'""]",['zb1_node']
wl_pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,self.X,177,buf_inv1,Pinv,"Pinv(nmos_model, pmos_model, 9e-08, 2.7e-07, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'A'"", ""'zb1_node'""]",['zb1_node']
wl_pdrive,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,wl_pdrive,self.X,181,buf_inv2,Pinv,"Pinv(nmos_model, pmos_model, 4.5e-07, 1.35e-06, 5e-08, num=2)",{'num': '2'},[],"[""'VDD'"", ""'VSS'"", ""'zb1_node'"", ""'Z'""]",['zb1_node']
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,216,inv1_clk,Pinv,"Pinv(nmos_model, pmos_model, 2.5e-07, 5e-07, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'CLK'"", ""'CLKB'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
DFF,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,dff,self.X,220,inv2_D,Pinv,"Pinv(nmos_model, pmos_model, 2.5e-07, 5e-07, 5e-08, num=1)",{'num': '1'},[],"[""'VDD'"", ""'VSS'"", ""'D'"", ""'D_b'""]","['CLKB', 'D_b', 'QB', 'z1', 'z2', 'z3', 'z4', 'z5']"
