instance_id,parent_module,instance_name,instance_type,module_name,pin_count,nets,source_trace
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_0,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_0,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL0', 'BLB0', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_1,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_1,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL1', 'BLB1', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_2,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_2,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL2', 'BLB2', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_3,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_3,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL3', 'BLB3', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_4,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_4,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL4', 'BLB4', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_5,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_5,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL5', 'BLB5', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_6,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_6,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL6', 'BLB6', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_7,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_7,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL7', 'BLB7', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_8,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_8,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL8', 'BLB8', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_9,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_9,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL9', 'BLB9', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_10,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_10,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL10', 'BLB10', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_11,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_11,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL11', 'BLB11', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
SRAM_6T_CORE_16x16.XSRAM_6T_CELL_0_12,SRAM_6T_CORE_16x16,XSRAM_6T_CELL_0_12,X,SRAM_6T_CELL,5,"['VDD', 'VSS', 'BL12', 'BLB12', 'WL0']","{'source_file': 'sram_compiler/subcircuits/sram_6t_core.py', 'source_class': 'Sram6TCell', 'source_module_name': 'SRAM_6T_CELL', 'role_hint': 'bitcell'}"
