origin,element_scope,element_name,element_type,raw_text,classification,reason
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,SRAM_6T_CORE_16x16,.subckt,.subckt SRAM_6T_CORE_16x16 VDD VSS BL0 BL1 BL2 BL3 BL4 BL5 BL6 BL7 BL8 BL9 BL10 BL11 BL12 BL13 BL14 BL15 BLB0 BLB1 BLB2 BLB3 BLB4 BLB5 BLB6 BLB7 BLB8 BLB9 BLB10 BLB11 BLB12 BLB13 BLB14 BLB15 WL0 WL1 WL2 WL3 WL4 WL5 WL6 WL7 WL8 WL9 WL10 WL11 WL12 WL13 WL14 WL15,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,SRAM_6T_CELL,.subckt,.subckt SRAM_6T_CELL VDD VSS BL BLB WL,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,sram_17x1_replica_column,.subckt,.subckt sram_17x1_replica_column VDD VSS RBL RBLB WL0 WL1 WL2 WL3 WL4 WL5 WL6 WL7 WL8 WL9 WL10 WL11 WL12 WL13 WL14 WL15 WL16,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,Replica_CELL,.subckt,.subckt Replica_CELL VDD VSS RBL RBLB WL,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,AND2,.subckt,.subckt AND2 VDD VSS A B Z,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,PNAND2,.subckt,.subckt PNAND2 VDD VSS A B Z,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,PINV,.subckt,.subckt PINV VDD VSS A Z,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,TIME,.subckt,.subckt TIME VDD VSS clk csb web clk_buf clk_bar cs_bar cs we_bar we gated_clk_bar gated_clk_buf wl_en A0 A1 A2 A3 A_dff0 A_dff1 A_dff2 A_dff3 DIN0 DIN1 DIN2 DIN3 DIN4 DIN5 DIN6 DIN7 DIN8 DIN9 DIN10 DIN11 DIN12 DIN13 DIN14 DIN15 DIN_dff0 DIN_dff1 DIN_dff2 DIN_dff3 DIN_dff4 DIN_dff5 DIN_dff6 DIN_dff7 DIN_dff8 DIN_dff9 DIN_dff10 DIN_dff11 DIN_dff12 DIN_dff13 DIN_dff14 DIN_dff15 rbl rbl_delay rbl_delay_bar s_en w_en PRE,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,ADDR_DFF,.subckt,.subckt ADDR_DFF VDD VSS CLK A0 A1 A2 A3 A_dff0 A_dff1 A_dff2 A_dff3,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,DFF,.subckt,.subckt DFF VDD VSS D Q CLK,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,PINV1,.subckt,.subckt PINV1 VDD VSS A Z,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
sample_openyield_sram_netlist,NETLIST_SUBCKT_DEF,TRANSMISSION_GATE,.subckt,.subckt TRANSMISSION_GATE VDD VSS IN OUT CTR_P CTR_N,DESIGN_CIRCUIT,Subcircuit definition for generated SRAM design or support logic.
