path,exists,primary_role,rationale,contains_sram_config,contains_create_testbench,contains_run_mc_simulation,contains_subcircuit
sram_compiler/subcircuits/base_subcircuit.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,False
sram_compiler/subcircuits/decoder.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/dummy_row_or_column.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/mux_and_sa.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,False
sram_compiler/subcircuits/precharge_and_write_driver.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,False
sram_compiler/subcircuits/replica_column.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/sram_10t_core.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/sram_6t_core.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/sram_cell_add_equivalent.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,True,False,False,True
sram_compiler/subcircuits/standard_cell.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/subcircuits/time_generate.py,True,CONTROL_LOGIC_SOURCE,Defines timing/control-path subcircuits used by the SRAM testbench flow.,False,False,False,True
sram_compiler/subcircuits/wordline_driver.py,True,SUBCIRCUIT_LIBRARY,Reusable subcircuit primitives or arrays; not a standalone top netlist authority.,False,False,False,True
sram_compiler/testbenches/sram_6t_core_MC_testbench.py,True,TESTBENCH_ONLY,"Builds simulation testbench circuits, not a pure authoritative SRAM top netlist.",False,True,True,False
sram_compiler/testbenches/sram_6t_core_testbench.py,True,TESTBENCH_ONLY,"Builds simulation testbench circuits, not a pure authoritative SRAM top netlist.",False,True,True,True
main_sram.py,True,PARAMETERIZED_NETLIST_GENERATOR,Loads SRAM_CONFIG and instantiates Sram6TCoreMcTestbench for SRAM-related SPICE generation/simulation.,True,False,True,False
main_opt.py,True,OPTIMIZATION_ONLY,Optimization launcher; does not directly define an SRAM top netlist.,False,False,False,False
main_estimation.py,True,ESTIMATION_ONLY,Yield-estimation launcher; not an SRAM top netlist authority.,False,False,False,False
equivalent_modeling/main_sram.py,True,PARAMETERIZED_NETLIST_GENERATOR,Runs parameter sweeps by repeatedly instantiating Sram6TCoreMcTestbench.,True,False,True,False
demo_run_a_testbench.py,True,TESTBENCH_ONLY,Demo wrapper around testbench simulation flow.,True,False,False,False
