category,name,value
required_parameter,word_size,required
required_parameter,num_words,required
required_parameter,words_per_row,required
required_parameter,tech,required
required_parameter,num_rows,required
required_parameter,num_cols,required
optional_parameter,choose_columnmux,optional
optional_parameter,write_size,optional
optional_parameter,num_banks,optional
optional_parameter,corner,optional
optional_parameter,temperature,optional
optional_parameter,sram_cell_type,optional
unsupported_parameter,full control_logic decomposition selection,unsupported
unsupported_parameter,verified top-level netlist connectivity,unsupported
unsupported_parameter,routing/power closure constraints,unsupported
