openyield_module,physical_role,first_round_module_gds,layoutgen_primary_generator,layoutgen_generator_or_binding,layoutgen_generator_source_file,candidate_real_module_gds_source,binding_status,can_reuse_first_round_module_directly,must_regenerate_in_M2,binding_gap,next_required_action
CONTROL_LOGIC,CONTROL_LOGIC,outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
DELAY_CHAIN,DELAY_CHAIN,outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
DFF_ROW,DFF_ROW,outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,StandaloneSRAMGenerator,dff_row_packing,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/dff.gds,STD_CELL_ROW_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
GATED_CLOCK_PATH,CLOCK_PATH,outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,CLOCK_PATH_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
PRECHARGE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
SENSE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
WORDLINE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
WRITE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,StandaloneSRAMGenerator,control_composite_candidate_generator,sram_layoutgen/standalone.py,NOT_FOUND,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,False,True,Replace row candidate composite with layoutgen-owned real row/periphery generation.,Use this binding as M2 regeneration input after human review.
bitcell_array,ARRAY_CORE,outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,StandaloneSRAMGenerator,ArrayAggregationPlanner,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/cell_1rw.gds,REAL_ARRAY_BASE_REUSABLE,True,False,,Use this binding as M2 regeneration input after human review.
column_mux,COLUMN_MUX,outputs/openyield_module_gds/column_mux/column_mux.gds,StandaloneSRAMGenerator,HardmacroWrapperGenerator,sram_layoutgen/standalone.py,technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds,REAL_HARDMACRO_WRAPPER_REUSABLE_WITH_REPAIRED_SOURCE,True,False,,Use this binding as M2 regeneration input after human review.
