parameter_name,value,reference_source,notes
word_size,8,hybrid_openyield_rail_overlap/prototype_result.json,
num_words,64,hybrid_openyield_rail_overlap/prototype_result.json,
words_per_row,4,hybrid_openyield_rail_overlap/prototype_result.json,
num_rows,16,M6 locked spec,
num_cols,32,M6 locked spec,
num_banks,1,M6 locked spec,
num_ports,1,M6 locked spec,
tech,freepdk45,M6 locked spec,
bitcell_pitch_x,0.895,M6 locked spec,
bitcell_pitch_y,1.465,M6 locked spec,
column_mux_ratio,4,M6 locked spec,
mux_enabled,True,M6 locked spec,
dummy_enabled,True,M6 locked spec,
replica_enabled,True,M6 locked spec,
power_rail_overlap_enabled,True,M6 locked spec,
power_stitch_enabled,True,M6 locked spec,
rail_abutment_enabled,True,M6 locked spec,
top_pin_strategy,perimeter_pins_from_layoutgen_geometry,M6 locked spec,
generator_entry_script,/data1/qujh/work/sram_layoutgen_step45_clean/scripts/openyield_generate_layout_prototype.py,M6 locked spec,
generator_function,sram_layoutgen.standalone.write_standalone,M6 locked spec,
reference_gds_path,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/layout_prototype/hybrid_openyield_rail_overlap/hybrid_openyield_rail_overlap.complete.gds,M6 locked spec,
expected_output_gds_path,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/M6_layoutgen_spec_reproduce/current_supported_config/layoutgen_optimized_reproduced_sram.gds,M6 locked spec,
