openyield_module,openyield_physical_role,implementation_mode,layoutgen_target_generator,layoutgen_target_cell,physical_group_cell,binding_status,path_group,requires_row_pitch_alignment,requires_column_pitch_alignment,requires_power_stitching,requires_top_level_routing
CONTROL_LOGIC,CONTROL_LOGIC,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_logic_fallback,control_logic;control_glue,openyield_netlist_translated_sram__phys__control_backbone,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
DELAY_CHAIN,DELAY_CHAIN,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.delay_chain_row,gen_delay_inv chain,openyield_netlist_translated_sram__phys__delay_chain,CONTROL_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
DFF_ROW,DFF_ROW,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.data_dff_packing,dff array,openyield_netlist_translated_sram__phys__dff_row,STD_CELL_ROW_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
GATED_CLOCK_PATH,CLOCK_PATH,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_glue_fallback,control_glue,openyield_netlist_translated_sram__phys__control_backbone,CLOCK_PATH_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
PRECHARGE_ENABLE_PATH,ENABLE_PATH,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_glue_fallback,control_glue,openyield_netlist_translated_sram__phys__control_backbone,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
SENSE_ENABLE_PATH,ENABLE_PATH,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_glue_fallback,control_glue,openyield_netlist_translated_sram__phys__control_backbone,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
WORDLINE_ENABLE_PATH,ENABLE_PATH,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_glue_fallback,control_glue,openyield_netlist_translated_sram__phys__control_backbone,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
WRITE_ENABLE_PATH,ENABLE_PATH,LAYOUTGEN_FALLBACK_WITH_OPENYIELD_SEMANTICS,StandaloneSRAMGenerator.control_glue_fallback,control_glue,openyield_netlist_translated_sram__phys__control_backbone,ENABLE_PATH_NEEDS_LAYOUTGEN_REGEN,CONTROL_PATH,False,False,True,True
bitcell_array,ARRAY_CORE,DIRECT_GENERATOR_BINDING,ArrayAggregationPlanner;StandaloneSRAMGenerator,cell_1rw,openyield_netlist_translated_sram__phys__bitcell_array,REAL_ARRAY_BASE_REUSABLE,ARRAY_PATH,True,True,True,True
column_mux,COLUMN_MUX,REAL_CELL_WRAPPER,StandaloneSRAMGenerator.columnmux_adapter,gen_col_mux_vdd_labeled,openyield_netlist_translated_sram__phys__column_mux,REAL_HARDMACRO_WRAPPER_REUSABLE_WITH_REPAIRED_SOURCE,COLUMN_PATH,False,True,True,True
decoder_gate_cells,ROW_DECODER,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,openyield_netlist_translated_sram__phys__row_decoder,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,ROW_PATH,True,False,True,True
dummy_array,ARRAY_DUMMY,DIRECT_GENERATOR_BINDING,ArrayAggregationPlanner;StandaloneSRAMGenerator,dummy_cell_1rw,openyield_netlist_translated_sram__phys__dummy_array,REAL_ARRAY_BASE_REUSABLE,ARRAY_PATH,True,True,True,False
precharge,COLUMN_PRECHARGE,REAL_CELL_WRAPPER,StandaloneSRAMGenerator.precharge_row,gen_precharge,openyield_netlist_translated_sram__phys__precharge,REAL_HARDMACRO_WRAPPER_REUSABLE,COLUMN_PATH,False,True,True,True
replica_array,ARRAY_REPLICA,DIRECT_GENERATOR_BINDING,ArrayAggregationPlanner;StandaloneSRAMGenerator,replica_cell_1rw;replica_precharge,openyield_netlist_translated_sram__phys__replica_array,REAL_ARRAY_BASE_REUSABLE_WITH_REPLICA_RULES,ARRAY_PATH,True,True,True,True
row_decoder,ROW_DECODER,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,openyield_netlist_translated_sram__phys__row_decoder,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,ROW_PATH,True,False,True,True
sense_amp,SENSE_AMP,REAL_CELL_WRAPPER,StandaloneSRAMGenerator.senseamp_adapter,sense_amp,openyield_netlist_translated_sram__phys__sense_amp,REAL_HARDMACRO_WRAPPER_REUSABLE,COLUMN_PATH,False,True,True,True
wordline_decoder,ROW_DECODER,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.gate_row_packer,row_decoder role instances,openyield_netlist_translated_sram__phys__row_decoder,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,ROW_PATH,True,False,True,True
wordline_driver,WORDLINE_DRIVER,REAL_CELL_WRAPPER,StandaloneSRAMGenerator.wordlinedriver_adapter,gen_wl_driver,openyield_netlist_translated_sram__phys__wordline_driver,REAL_HARDMACRO_WRAPPER_REUSABLE,ROW_PATH,True,False,True,True
wordline_driver_gate_cells,WORDLINE_DRIVER,PARAMETERIZED_LAYOUTGEN_GENERATOR,StandaloneSRAMGenerator.gate_row_packer+wordlinedriver_adapter,wordline_driver role instances,openyield_netlist_translated_sram__phys__wordline_driver,CANDIDATE_ROW_COMPOSITE_NEEDS_LAYOUTGEN_REGEN,ROW_PATH,True,False,True,True
write_driver,WRITE_DRIVER,REAL_CELL_WRAPPER,StandaloneSRAMGenerator.writedriver_adapter,write_driver,openyield_netlist_translated_sram__phys__write_driver,REAL_HARDMACRO_WRAPPER_REUSABLE,COLUMN_PATH,False,True,True,True
