module_name,physical_role,region,instance_name,source_access_gds,pins_repaired_json,geometry_backed_pin_count,synthesized_pin_count,placed_origin,placed_bbox,orientation,access_edge_facing_target,row_pitch_alignment_status,column_pitch_alignment_status,control_channel_access_status,power_strap_access_status,uses_layoutgen_reference_rule,uses_openram_reference_rule,structure_role_satisfied,ready_for_C4_signal_routing,ready_for_C5_power_stitch,pin_access_status_summary,blocking_gap,next_required_action
bitcell_array,ARRAY_CORE,ARRAY_CORE_REGION,bitcell_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/bitcell_array/bitcell_array_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/bitcell_array/pins_repaired.json,22,0,"{'x': 18.0, 'y': 14.0}","{'x0': 18.0, 'y0': 14.0, 'x1': 21.58, 'y1': 20.26, 'width': 3.58, 'height': 6.26}",R0,internal_core,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 22, 'synthesized_pin_count': 0}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
dummy_array,ARRAY_DUMMY,ARRAY_BOUNDARY_REGION,dummy_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/dummy_array/dummy_array_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/dummy_array/pins_repaired.json,14,0,"{'x': 13.62, 'y': 14.0}","{'x0': 13.62, 'y0': 14.0, 'x1': 17.2, 'y1': 20.26, 'width': 3.58, 'height': 6.26}",R0,east_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 14, 'synthesized_pin_count': 0}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
replica_array,ARRAY_REPLICA,ARRAY_BOUNDARY_REGION,replica_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/replica_array/replica_array_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/replica_array/pins_repaired.json,14,1,"{'x': 22.38, 'y': 13.25}","{'x0': 22.38, 'y0': 13.25, 'x1': 24.17, 'y1': 21.01, 'width': 1.79, 'height': 7.76}",R0,west_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 14, 'synthesized_pin_count': 1}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
row_decoder,ROW_DECODER,ROW_PATH_REGION,row_decoder_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/row_decoder/row_decoder_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/row_decoder/pins_repaired.json,2,6,"{'x': 7.5375, 'y': 8.2215}","{'x0': 7.5375, 'y0': 8.2215, 'x1': 11.7825, 'y1': 11.3845, 'width': 4.245, 'height': 3.163}",R0,east_toward_array,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 6}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
wordline_decoder,ROW_DECODER,ROW_PATH_REGION,wordline_decoder_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_decoder/wordline_decoder_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_decoder/pins_repaired.json,2,9,"{'x': 7.5375, 'y': 12.3845}","{'x0': 7.5375, 'y0': 12.3845, 'x1': 11.7825, 'y1': 15.4625, 'width': 4.245, 'height': 3.078}",R0,east_toward_array,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 9}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
decoder_gate_cells,ROW_DECODER,ROW_PATH_REGION,decoder_gate_cells_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/decoder_gate_cells/decoder_gate_cells_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/decoder_gate_cells/pins_repaired.json,2,6,"{'x': 7.5375, 'y': 16.4625}","{'x0': 7.5375, 'y0': 16.4625, 'x1': 12.82, 'y1': 19.5405, 'width': 5.2825, 'height': 3.078}",R0,east_toward_array,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 6}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
wordline_driver,WORDLINE_DRIVER,ROW_PATH_REGION,wordline_driver_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_driver/wordline_driver_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_driver/pins_repaired.json,5,3,"{'x': 7.5375, 'y': 20.5405}","{'x0': 7.5375, 'y0': 20.5405, 'x1': 10.5825, 'y1': 22.0455, 'width': 3.045, 'height': 1.505}",R0,east_toward_array,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 5, 'synthesized_pin_count': 3}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
wordline_driver_gate_cells,WORDLINE_DRIVER,ROW_PATH_REGION,wordline_driver_gate_cells_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_driver_gate_cells/wordline_driver_gate_cells_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/wordline_driver_gate_cells/pins_repaired.json,2,9,"{'x': 7.5375, 'y': 23.0455}","{'x0': 7.5375, 'y0': 23.0455, 'x1': 10.435, 'y1': 26.0385, 'width': 2.8975, 'height': 2.993}",R0,east_toward_array,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 9}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
precharge,COLUMN_PRECHARGE,COLUMN_PATH_REGION,precharge_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/precharge/precharge_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/precharge/pins_repaired.json,5,2,"{'x': 16.68125, 'y': 21.06}","{'x0': 16.68125, 'y0': 21.06, 'x1': 17.46625, 'y1': 22.525, 'width': 0.785, 'height': 1.465}",R0,south_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 5, 'synthesized_pin_count': 2}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
column_mux,COLUMN_MUX,COLUMN_PATH_REGION,column_mux_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/column_mux/column_mux_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/column_mux/pins_repaired.json,9,2,"{'x': 18.46625, 'y': 21.06}","{'x0': 18.46625, 'y0': 21.06, 'x1': 19.28375, 'y1': 22.94, 'width': 0.8175, 'height': 1.88}",R0,south_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 9, 'synthesized_pin_count': 2}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
sense_amp,SENSE_AMP,COLUMN_PATH_REGION,sense_amp_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/sense_amp/sense_amp_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/sense_amp/pins_repaired.json,7,0,"{'x': 20.28375, 'y': 21.06}","{'x0': 20.28375, 'y0': 21.06, 'x1': 21.05875, 'y1': 27.07, 'width': 0.775, 'height': 6.01}",R0,south_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 7, 'synthesized_pin_count': 0}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
write_driver,WRITE_DRIVER,COLUMN_PATH_REGION,write_driver_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/write_driver/write_driver_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/write_driver/pins_repaired.json,7,0,"{'x': 22.05875, 'y': 21.06}","{'x0': 22.05875, 'y0': 21.06, 'x1': 22.89875, 'y1': 25.235, 'width': 0.84, 'height': 4.175}",R0,south_toward_array,ACCEPTABLE_FOR_CURRENT_CONFIG,EXACT_BY_PIN_ACCESS,EXACT_BY_PIN_ACCESS,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 7, 'synthesized_pin_count': 0}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
CONTROL_LOGIC,CONTROL_LOGIC,CONTROL_REGION,CONTROL_LOGIC_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/CONTROL_LOGIC/CONTROL_LOGIC_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/CONTROL_LOGIC/pins_repaired.json,3,11,"{'x': 6.5375, 'y': 4.425}","{'x0': 6.5375, 'y0': 4.425, 'x1': 12.6425, 'y1': 8.693, 'width': 6.105, 'height': 4.268}",R0,north_toward_channels,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 3, 'synthesized_pin_count': 11}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
DELAY_CHAIN,DELAY_CHAIN,CONTROL_REGION,DELAY_CHAIN_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/DELAY_CHAIN/DELAY_CHAIN_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/DELAY_CHAIN/pins_repaired.json,2,3,"{'x': 14.1425, 'y': 4.425}","{'x0': 14.1425, 'y0': 4.425, 'x1': 17.4325, 'y1': 7.043, 'width': 3.29, 'height': 2.618}",R0,north_toward_channels,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 3}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
PRECHARGE_ENABLE_PATH,ENABLE_PATH,CONTROL_REGION,PRECHARGE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/PRECHARGE_ENABLE_PATH/pins_repaired.json,2,3,"{'x': 18.9325, 'y': 4.425}","{'x0': 18.9325, 'y0': 4.425, 'x1': 23.1775, 'y1': 8.523, 'width': 4.245, 'height': 4.098}",R0,north_toward_channels,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 3}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
SENSE_ENABLE_PATH,ENABLE_PATH,CONTROL_REGION,SENSE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/SENSE_ENABLE_PATH/pins_repaired.json,2,3,"{'x': 24.6775, 'y': 4.425}","{'x0': 24.6775, 'y0': 4.425, 'x1': 28.1, 'y1': 12.0, 'width': 3.4225, 'height': 7.575}",R0,north_toward_channels,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 3}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
WRITE_ENABLE_PATH,ENABLE_PATH,CONTROL_REGION,WRITE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH_access.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_pin_access_repair/current_supported_config/module_access_views/WRITE_ENABLE_PATH/pins_repaired.json,2,3,"{'x': 29.6, 'y': 4.425}","{'x0': 29.6, 'y0': 4.425, 'x1': 31.2625, 'y1': 11.218, 'width': 1.6625, 'height': 6.793}",R0,north_toward_channels,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,ACCEPTABLE_FOR_CURRENT_CONFIG,True,True,True,True,True,"{'geometry_backed_pin_count': 2, 'synthesized_pin_count': 3}",,Use this placement as the C4/C5 anchor; do not treat guide geometry as final routing.
