module_name,physical_role,region,instance_name,source_gds,source_bbox,placed_origin,placed_bbox,orientation,row_pitch_alignment_status,column_pitch_alignment_status,uses_candidate_geometry,uses_contract_pins,structure_role_satisfied,routing_required_in_R4,power_required_in_R4,pin_export_required_in_R4,blocking_gap,next_required_action
bitcell_array,ARRAY_CORE,ARRAY_CORE_REGION,bitcell_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.58, 'y1': 6.26, 'width': 3.58, 'height': 6.26, 'shape_count': 16}","{'x': 12.0, 'y': 8.0}","{'x0': 12.0, 'y0': 8.0, 'x1': 15.58, 'y1': 14.26, 'width': 3.58, 'height': 6.26}",R0,ALIGNED,ALIGNED,False,True,True,True,True,True,,Use ARRAY_CORE as the placement and routing anchor for R4.
dummy_array,ARRAY_DUMMY,ARRAY_DUMMY_REGION,dummy_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/dummy_array.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.58, 'y1': 6.26, 'width': 3.58, 'height': 6.26, 'shape_count': 16}","{'x': 7.24625, 'y': 8.0}","{'x0': 7.24625, 'y0': 8.0, 'x1': 10.82625, 'y1': 14.26, 'width': 3.58, 'height': 6.26}",R0,ALIGNED,APPROXIMATE_FOR_R3,False,True,True,False,True,True,,Tighten dummy-boundary ownership when the array wrapper is upgraded in R4/R5.
replica_array,ARRAY_REPLICA,ARRAY_REPLICA_REGION,replica_array_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/replica_array.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 1.79, 'y1': 7.68, 'width': 1.79, 'height': 7.68, 'shape_count': 9}","{'x': 12.0, 'y': 23.00875}","{'x0': 12.0, 'y0': 23.00875, 'x1': 13.79, 'y1': 30.68875, 'width': 1.79, 'height': 7.68}",R0,APPROXIMATE_FOR_R3,APPROXIMATE_FOR_R3,False,True,True,True,True,True,,Preserve replica timing semantics and add explicit coupling routes in R4.
row_decoder,ROW_DECODER,ROW_PERIPHERY_REGION,row_decoder_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/row_decoder.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 4.245, 'y1': 3.13, 'width': 4.245, 'height': 3.13, 'shape_count': 6}","{'x': 0.79, 'y': 8.0}","{'x0': 0.79, 'y0': 8.0, 'x1': 5.035, 'y1': 11.13, 'width': 4.245, 'height': 3.13}",R0,APPROXIMATE_FOR_R3,NOT_APPLICABLE,True,True,True,True,True,True,,Refine row-pitch ownership with explicit WL routing and tighter abutment proof in R4.
wordline_decoder,ROW_DECODER,ROW_PERIPHERY_REGION,wordline_decoder_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 4.245, 'y1': 3.045, 'width': 4.245, 'height': 3.045, 'shape_count': 6}","{'x': 0.79, 'y': 11.13}","{'x0': 0.79, 'y0': 11.13, 'x1': 5.035, 'y1': 14.175, 'width': 4.245, 'height': 3.045}",R0,APPROXIMATE_FOR_R3,NOT_APPLICABLE,True,True,True,True,True,True,,Refine row-pitch ownership with explicit WL routing and tighter abutment proof in R4.
decoder_gate_cells,ROW_DECODER,ROW_PERIPHERY_REGION,decoder_gate_cells_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 5.2825, 'y1': 3.045, 'width': 5.2825, 'height': 3.045, 'shape_count': 7}","{'x': 0.79, 'y': 14.26}","{'x0': 0.79, 'y0': 14.26, 'x1': 6.0725, 'y1': 17.305, 'width': 5.2825, 'height': 3.045}",R0,APPROXIMATE_FOR_R3,NOT_APPLICABLE,True,True,True,True,True,True,,Refine row-pitch ownership with explicit WL routing and tighter abutment proof in R4.
wordline_driver,WORDLINE_DRIVER,ROW_PERIPHERY_REGION,wordline_driver_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.045, 'y1': 1.505, 'width': 3.045, 'height': 1.505, 'shape_count': 1}","{'x': 0.79, 'y': 17.39}","{'x0': 0.79, 'y0': 17.39, 'x1': 3.835, 'y1': 18.895, 'width': 3.045, 'height': 1.505}",R0,ALIGNED,NOT_APPLICABLE,False,False,True,True,True,True,,Refine row-pitch ownership with explicit WL routing and tighter abutment proof in R4.
wordline_driver_gate_cells,WORDLINE_DRIVER,ROW_PERIPHERY_REGION,wordline_driver_gate_cells_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 2.8975, 'y1': 2.96, 'width': 2.8975, 'height': 2.96, 'shape_count': 5}","{'x': 0.79, 'y': 20.52}","{'x0': 0.79, 'y0': 20.52, 'x1': 3.6875, 'y1': 23.48, 'width': 2.8975, 'height': 2.96}",R0,APPROXIMATE_FOR_R3,NOT_APPLICABLE,True,True,True,True,True,True,,Refine row-pitch ownership with explicit WL routing and tighter abutment proof in R4.
precharge,COLUMN_PRECHARGE,COLUMN_PERIPHERY_REGION,precharge_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/precharge/precharge.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 0.785, 'y1': 1.42, 'width': 0.785, 'height': 1.42, 'shape_count': 1}","{'x': 12.0, 'y': 15.825}","{'x0': 12.0, 'y0': 15.825, 'x1': 12.785, 'y1': 17.245, 'width': 0.785, 'height': 1.42}",R0,NOT_APPLICABLE,APPROXIMATE_FOR_R3,False,True,True,True,True,True,,Refine per-column ownership when BL/BR and optional mux routing are implemented in R4.
column_mux,COLUMN_MUX,COLUMN_PERIPHERY_REGION,column_mux_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/column_mux.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 0.8175, 'y1': 1.88, 'width': 0.8175, 'height': 1.88, 'shape_count': 1}","{'x': 12.895, 'y': 15.825}","{'x0': 12.895, 'y0': 15.825, 'x1': 13.7125, 'y1': 17.705, 'width': 0.8175, 'height': 1.88}",R0,NOT_APPLICABLE,APPROXIMATE_FOR_R3,False,False,True,True,True,True,,Refine per-column ownership when BL/BR and optional mux routing are implemented in R4.
sense_amp,SENSE_AMP,COLUMN_PERIPHERY_REGION,sense_amp_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/sense_amp.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 0.775, 'y1': 6.01, 'width': 0.775, 'height': 6.01, 'shape_count': 1}","{'x': 13.79, 'y': 15.825}","{'x0': 13.79, 'y0': 15.825, 'x1': 14.565, 'y1': 21.835, 'width': 0.775, 'height': 6.01}",R0,NOT_APPLICABLE,APPROXIMATE_FOR_R3,False,False,True,True,True,True,,Refine per-column ownership when BL/BR and optional mux routing are implemented in R4.
write_driver,WRITE_DRIVER,COLUMN_PERIPHERY_REGION,write_driver_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/write_driver/write_driver.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 0.84, 'y1': 4.175, 'width': 0.84, 'height': 4.175, 'shape_count': 1}","{'x': 14.685, 'y': 15.825}","{'x0': 14.685, 'y0': 15.825, 'x1': 15.525, 'y1': 20.0, 'width': 0.84, 'height': 4.175}",R0,NOT_APPLICABLE,APPROXIMATE_FOR_R3,False,False,True,True,True,True,,Refine per-column ownership when BL/BR and optional mux routing are implemented in R4.
CONTROL_LOGIC,CONTROL_LOGIC,CONTROL_PERIPHERY_REGION,CONTROL_LOGIC_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 6.105, 'y1': 4.235, 'width': 6.105, 'height': 4.235, 'shape_count': 8}","{'x': 21.58, 'y': 8.0}","{'x0': 21.58, 'y0': 8.0, 'x1': 27.685, 'y1': 12.235, 'width': 6.105, 'height': 4.235}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
DELAY_CHAIN,DELAY_CHAIN,CONTROL_PERIPHERY_REGION,DELAY_CHAIN_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.29, 'y1': 2.585, 'width': 3.29, 'height': 2.585, 'shape_count': 4}","{'x': 28.885, 'y': 8.0}","{'x0': 28.885, 'y0': 8.0, 'x1': 32.175, 'y1': 10.585, 'width': 3.29, 'height': 2.585}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
PRECHARGE_ENABLE_PATH,ENABLE_PATH,CONTROL_PERIPHERY_REGION,PRECHARGE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 4.245, 'y1': 4.065, 'width': 4.245, 'height': 4.065, 'shape_count': 5}","{'x': 21.58, 'y': 13.035}","{'x0': 21.58, 'y0': 13.035, 'x1': 25.825, 'y1': 17.1, 'width': 4.245, 'height': 4.065}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
SENSE_ENABLE_PATH,ENABLE_PATH,CONTROL_PERIPHERY_REGION,SENSE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.4225, 'y1': 7.575, 'width': 3.4225, 'height': 7.575, 'shape_count': 4}","{'x': 27.025, 'y': 13.035}","{'x0': 27.025, 'y0': 13.035, 'x1': 30.4475, 'y1': 20.61, 'width': 3.4225, 'height': 7.575}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
WRITE_ENABLE_PATH,ENABLE_PATH,CONTROL_PERIPHERY_REGION,WRITE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 1.6625, 'y1': 6.76, 'width': 1.6625, 'height': 6.76, 'shape_count': 4}","{'x': 21.58, 'y': 21.41}","{'x0': 21.58, 'y0': 21.41, 'x1': 23.2425, 'y1': 28.17, 'width': 1.6625, 'height': 6.76}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
WORDLINE_ENABLE_PATH,ENABLE_PATH,CONTROL_PERIPHERY_REGION,WORDLINE_ENABLE_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 3.8675, 'y1': 3.07, 'width': 3.8675, 'height': 3.07, 'shape_count': 4}","{'x': 24.4425, 'y': 21.41}","{'x0': 24.4425, 'y0': 21.41, 'x1': 28.31, 'y1': 24.48, 'width': 3.8675, 'height': 3.07}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
GATED_CLOCK_PATH,CLOCK_PATH,CONTROL_PERIPHERY_REGION,GATED_CLOCK_PATH_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 2.6825, 'y1': 2.96, 'width': 2.6825, 'height': 2.96, 'shape_count': 5}","{'x': 21.58, 'y': 28.97}","{'x0': 21.58, 'y0': 28.97, 'x1': 24.2625, 'y1': 31.93, 'width': 2.6825, 'height': 2.96}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
DFF_ROW,DFF_ROW,CONTROL_PERIPHERY_REGION,DFF_ROW_inst,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,"{'x0': 0.0, 'y0': 0.0, 'x1': 11.44, 'y1': 2.67, 'width': 11.44, 'height': 2.67, 'shape_count': 4}","{'x': 25.4625, 'y': 28.97}","{'x0': 25.4625, 'y0': 28.97, 'x1': 36.9025, 'y1': 31.64, 'width': 11.44, 'height': 2.67}",R0,NOT_APPLICABLE,NOT_APPLICABLE,True,True,True,True,True,True,,Keep control modules inside the control region and add explicit control/power connectivity in R4.
