net_name,net_category,source_instance,source_pin,target_instance,target_pin,shape_type,shape_bbox,layer_hint,route_group,routing_status,uses_contract_pin,uses_approximate_geometry,required_for_lvs_later,next_required_action
WL[0],WORDLINE,wordline_driver_inst,Z,bitcell_array_inst,WL[0],route_segment,"{'x0': 4.085, 'y0': 8.64165, 'x1': 15.53, 'y1': 8.92335, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,False,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
WL[1],WORDLINE,wordline_driver_inst,Z,bitcell_array_inst,WL[1],route_segment,"{'x0': 4.085, 'y0': 10.20665, 'x1': 15.53, 'y1': 10.48835, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,False,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
WL[2],WORDLINE,wordline_driver_inst,Z,bitcell_array_inst,WL[2],route_segment,"{'x0': 4.085, 'y0': 11.77165, 'x1': 15.53, 'y1': 12.05335, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,False,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
WL[3],WORDLINE,wordline_driver_inst,Z,bitcell_array_inst,WL[3],route_segment,"{'x0': 4.085, 'y0': 13.33665, 'x1': 15.53, 'y1': 13.61835, 'width': 11.445, 'height': 0.2817}",M2_wordline_horizontal,WORDLINE,GEOMETRY_ROUTED_FOR_R4,True,False,True,Replace abstract row-wide stripe with per-row driver-to-cell pin access during R5 LVS preparation.
BL[0],BITLINE,bitcell_array_inst,BL[0],precharge_inst,bl/br,route_segment,"{'x0': 12.228225, 'y0': 8.05, 'x1': 12.353525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[0],BITLINE,bitcell_array_inst,BL[0],column_mux_inst,bl/br,route_segment,"{'x0': 12.228225, 'y0': 8.05, 'x1': 12.353525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[0],BITLINE,bitcell_array_inst,BL[0],sense_amp_inst,bl/br,route_segment,"{'x0': 12.228225, 'y0': 8.05, 'x1': 12.353525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BL[0],BITLINE,bitcell_array_inst,BL[0],write_driver_inst,bl/br,route_segment,"{'x0': 12.228225, 'y0': 8.05, 'x1': 12.353525, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[0],BITLINE,bitcell_array_inst,BR[0],precharge_inst,bl/br,route_segment,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
BR[0],BITLINE,bitcell_array_inst,BR[0],column_mux_inst,bl/br,route_segment,"{'x0': 12.541475, 'y0': 8.05, 'x1': 12.666775, 'y1': 20.4, 'width': 0.1253, 'height': 12.35}",M3_bitline_vertical,BITLINE,CONTRACT_PIN_BASED_ROUTE,True,False,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
