cell_name,resolved_cell_name,gds_path,bbox,height,width,vdd_label_found,gnd_label_found,vdd_rail_bbox,gnd_rail_bbox,vdd_rail_side,gnd_rail_side,rail_layer,top_rail_net,bottom_rail_net,supports_r0_mx_pairing,candidate_overlap_depth_um,max_safe_overlap_depth_um,overlap_eligible,eligibility_class,blocked_reason,recommended_packing_policy
ADDR_DFF_ROW,,,,,,False,False,,,,,,,,False,0.0,0.0,False,excluded_dff_pending_manual_review,dff_vertical_overlap_excluded_by_policy,dff_domain_no_vertical_overlap_policy
DELAY_CHAIN,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
DELAY_CHAIN_RBL_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
DFF_ROW,,,,,,False,False,,,,,,,,False,0.0,0.0,False,excluded_dff_pending_manual_review,dff_vertical_overlap_excluded_by_policy,dff_domain_no_vertical_overlap_policy
GATED_CLOCK_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
PRECHARGE,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
PRECHARGE_ENABLE_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
RBL_DELAY_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
SENSE_ENABLE_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
WORDLINE_ENABLE_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
WRITE_ENABLE_PATH,,,,,,False,False,,,,,,,,False,0.0,0.0,False,blocked_unknown,missing_gds_or_dimensions,fallback_to_edge_touch_or_spacing
bitcell_array,cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
cell_1rw,cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
column_mux,gen_col_mux_vdd_labeled,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 0.805, ""y1"": 1.8}",1.8,0.805,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
dff,dff,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/dff.gds,"{""x0"": 0.0, ""y0"": -0.1, ""x1"": 2.86, ""y1"": 2.57}",2.47,2.86,True,True,"{""x0"": 0.0, ""y0"": 2.4049999999999856, ""x1"": 2.7599999999999834, ""y1"": 2.5349999999999846}","{""x0"": 0.0, ""y0"": -0.06499999999999961, ""x1"": 2.8599999999999826, ""y1"": 0.06499999999999961}",top,bottom,11,vdd,gnd,False,0.0,0.0,False,excluded_dff_pending_manual_review,dff_vertical_overlap_excluded_by_policy,dff_domain_no_vertical_overlap_policy
dummy_array,dummy_cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/dummy_cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
dummy_cell_1rw,dummy_cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/dummy_cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
gen_col_mux,gen_col_mux,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_col_mux.gds,"{""x0"": -0.08, ""y0"": -0.08, ""x1"": 0.7375, ""y1"": 1.8}",1.8,0.705,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
gen_col_mux_vdd_labeled,gen_col_mux_vdd_labeled,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 0.805, ""y1"": 1.8}",1.8,0.805,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
gen_delay_inv,gen_delay_inv,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds,"{""x0"": -0.08, ""y0"": -0.08, ""x1"": 0.7425, ""y1"": 2.505}",2.47,0.6875,True,True,"{""x0"": 0.0, ""y0"": 2.4375, ""x1"": 0.6875, ""y1"": 2.5025}","{""x0"": 0.0, ""y0"": -0.0325, ""x1"": 0.6875, ""y1"": 0.0325}",top,bottom,11,vdd,gnd,True,0.0325,0.065,True,eligible_standard_gate_rail_overlap,,same_net_power_rail_overlap_packing
gen_inv,gen_inv,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds,"{""x0"": -0.08, ""y0"": -0.08, ""x1"": 0.7425, ""y1"": 1.4}",1.365,0.6875,True,True,"{""x0"": 0.0, ""y0"": 1.3325, ""x1"": 0.6875, ""y1"": 1.3975}","{""x0"": 0.0, ""y0"": -0.0325, ""x1"": 0.6875, ""y1"": 0.0325}",top,bottom,11,vdd,gnd,True,0.0325,0.065,True,eligible_standard_gate_rail_overlap,,same_net_power_rail_overlap_packing
gen_nand2,gen_nand2,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds,"{""x0"": -0.08, ""y0"": -0.08, ""x1"": 0.9575, ""y1"": 1.4}",1.365,0.9025,True,True,"{""x0"": 0.0, ""y0"": 1.3325, ""x1"": 0.9025, ""y1"": 1.3975}","{""x0"": 0.0, ""y0"": -0.0325, ""x1"": 0.9025, ""y1"": 0.0325}",top,bottom,11,vdd,gnd,True,0.0325,0.065,True,eligible_standard_gate_rail_overlap,,same_net_power_rail_overlap_packing
gen_precharge,gen_precharge,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,"{""x0"": -0.08, ""y0"": -0.08, ""x1"": 0.705, ""y1"": 1.34}",1.34,0.705,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
gen_wl_driver,gen_wl_driver,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,"{""x0"": -0.08, ""y0"": -0.105, ""x1"": 2.965, ""y1"": 1.4}",1.365,2.965,True,True,"{""x0"": 0.0, ""y0"": 1.3325, ""x1"": 2.965, ""y1"": 1.3975}","{""x0"": 0.0, ""y0"": -0.0325, ""x1"": 2.965, ""y1"": 0.0325}",top,bottom,11,vdd,gnd,True,0.0325,0.065,True,eligible_standard_gate_rail_overlap,,same_net_power_rail_overlap_packing
replica_array,replica_cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/replica_cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
replica_cell_1rw,replica_cell_1rw,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/replica_cell_1rw.gds,"{""x0"": -0.095, ""y0"": -0.1, ""x1"": 0.8, ""y1"": 1.465}",1.365,0.705,False,False,,,,,,,,True,0.0,0.0,False,storage_array_already_supported,,storage_domain_existing_shared_rail_policy
sense_amp,sense_amp,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/sense_amp.gds,"{""x0"": -0.035, ""y0"": 0.0, ""x1"": 0.74, ""y1"": 6.01}",6.01,0.705,True,True,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,unable_to_assign_distinct_power_rails,fallback_to_edge_touch_or_spacing
tri_gate,tri_gate,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/tri_gate.gds,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 0.74, ""y1"": 2.8625}",2.975,0.705,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
wordline_driver,gen_wl_driver,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,"{""x0"": -0.08, ""y0"": -0.105, ""x1"": 2.965, ""y1"": 1.4}",1.365,2.965,True,True,"{""x0"": 0.0, ""y0"": 1.3325, ""x1"": 2.965, ""y1"": 1.3975}","{""x0"": 0.0, ""y0"": -0.0325, ""x1"": 2.965, ""y1"": 0.0325}",top,bottom,11,vdd,gnd,True,0.0325,0.065,True,eligible_standard_gate_rail_overlap,,same_net_power_rail_overlap_packing
write_driver,write_driver,/data1/qujh/work/sram_layoutgen_step45_clean/technology/freepdk45/gds_lib/write_driver.gds,"{""x0"": -0.1, ""y0"": 0.0, ""x1"": 0.74, ""y1"": 4.175}",4.175,0.705,False,False,,,,,,,,False,0.0,0.0,False,blocked_missing_power_rail_geometry,missing_candidate_horizontal_rails,fallback_to_edge_touch_or_spacing
