source_module,source_port_or_signal,target_module,target_port_or_signal,signal_name,signal_category,direction,is_power,is_clock,is_control,is_data,is_bitline,is_wordline,is_timing_path,evidence_source,confidence,unresolved_reason
SRAM_TOP,A[i],DFF_ROW,A[i],A[i],address,input_to_register,False,False,False,False,False,False,False,sram_compiler/subcircuits/time_generate.py:501-537;sram_compiler/testbenches/sram_6t_core_testbench.py:1025-1040,HIGH,
DFF_ROW,A_dff[i],row_decoder,A[i],A_dff[i],address,registered_address_to_decoder,False,False,False,False,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:336-384,HIGH,
row_decoder,WL[i],wordline_driver,A,DEC_WL[i],decoder_wordline,decoder_to_driver,False,False,True,False,False,True,False,sram_compiler/testbenches/sram_6t_core_testbench.py:375-426,HIGH,
CONTROL_LOGIC,wl_en,wordline_driver,B,WL_EN,control_enable,control_to_driver,False,False,True,False,False,False,True,sram_compiler/subcircuits/time_generate.py:640-657;sram_compiler/testbenches/sram_6t_core_testbench.py:416-421,HIGH,
wordline_driver,Z,bitcell_array,WL[i],WL[i],wordline,driver_to_array,False,False,True,False,False,True,True,sram_compiler/testbenches/sram_6t_core_testbench.py:416-421;978-982,HIGH,
bitcell_array,BL[i]/BLB[i],precharge,BL/BLB,BL[i];BLB[i],bitline,shared_bitline,False,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:461-473,HIGH,
precharge,BL/BLB,column_mux,BL[i]/BLB[i],BL[i];BLB[i],bitline,precharged_bitline_to_mux,False,False,False,False,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:497-512,HIGH,
column_mux,SA_IN/SA_INB,sense_amp,IN/INB,SA_IN[*];SA_INB[*],read_data,mux_to_sense,False,False,False,True,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:567-589,HIGH,
bitcell_array,BL[i]/BLB[i],sense_amp,IN/INB,BL[i];BLB[i],read_data,direct_array_to_sense,False,False,False,True,True,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:579-589,HIGH,
sense_amp,Q/QB,SRAM_TOP,dout path,SA_Q[*];SA_QB[*],read_data,sense_to_output,False,False,False,True,False,False,False,sram_compiler/testbenches/sram_6t_core_testbench.py:551-589;428-442,MEDIUM,OpenYield top-level output is modeled through D_latch/observation nodes rather than a macro pin list.
