object,object_category,is_top_level_target,source_module_gds,module_gds_sanity_status,instantiated_in_top_gds,instance_name,origin,orientation,bbox,pins_available,rail_metadata_available,routing_handoff_available,power_handoff_available,uses_candidate_geometry,uses_contract_pins,assembly_status,blocking_gap,next_required_action,evidence_files
bitcell_array,array,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,GDS_PARSED_SANITY_PASSED,True,bitcell_array_u0,"{""x"": 10.8625, ""y"": 0.0}",R0,"{""x0"": 10.8625, ""y0"": 0.0, ""x1"": 14.4425, ""y1"": 6.26, ""width"": 3.58, ""height"": 6.26}",True,True,True,True,False,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/bitcell_array.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/bitcell_array/generator_manifest.json
dummy_array,array,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/dummy_array.gds,GDS_PARSED_SANITY_PASSED,True,dummy_array_u0,"{""x"": 6.2825, ""y"": 0.0}",R0,"{""x0"": 6.2825, ""y0"": 0.0, ""x1"": 9.8625, ""y1"": 6.26, ""width"": 3.58, ""height"": 6.26}",True,True,True,True,False,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/dummy_array.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/dummy_array/generator_manifest.json
replica_array,array,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/replica_array.gds,GDS_PARSED_SANITY_PASSED,True,replica_array_u0,"{""x"": 15.4425, ""y"": 0.0}",R0,"{""x0"": 15.4425, ""y0"": 0.0, ""x1"": 17.2325, ""y1"": 7.68, ""width"": 1.79, ""height"": 7.68}",True,True,True,True,False,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CONTRACT_PINS,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/replica_array.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/replica_array/generator_manifest.json
row_decoder,gate_row,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/row_decoder.gds,GDS_PARSED_SANITY_PASSED,True,row_decoder_u0,"{""x"": 0.0, ""y"": 0.0}",R0,"{""x0"": 0.0, ""y0"": 0.0, ""x1"": 4.245, ""y1"": 3.13, ""width"": 4.245, ""height"": 3.13}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/row_decoder.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/row_decoder/generator_manifest.json
wordline_decoder,gate_row,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,GDS_PARSED_SANITY_PASSED,True,wordline_decoder_u0,"{""x"": 0.0, ""y"": 3.93}",R0,"{""x0"": 0.0, ""y0"": 3.93, ""x1"": 4.245, ""y1"": 6.975, ""width"": 4.245, ""height"": 3.045}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_decoder/generator_manifest.json
decoder_gate_cells,gate_row,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,GDS_PARSED_SANITY_PASSED,True,decoder_gate_cells_u0,"{""x"": 0.0, ""y"": 7.775}",R0,"{""x0"": 0.0, ""y0"": 7.775, ""x1"": 5.2825, ""y1"": 10.82, ""width"": 5.2825, ""height"": 3.045}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generator_manifest.json
wordline_driver,hardmacro_wrapper,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,GDS_PARSED_SANITY_PASSED,True,wordline_driver_u0,"{""x"": 0.0, ""y"": 11.62}",R0,"{""x0"": 0.0, ""y0"": 11.62, ""x1"": 3.045, ""y1"": 13.125, ""width"": 3.045, ""height"": 1.505}",True,True,True,True,False,False,L4_TOP_LEVEL_INSTANTIATED,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/wordline_driver.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver/generator_manifest.json
wordline_driver_gate_cells,gate_row,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,GDS_PARSED_SANITY_PASSED,True,wordline_driver_gate_cells_u0,"{""x"": 0.0, ""y"": 13.925}",R0,"{""x0"": 0.0, ""y0"": 13.925, ""x1"": 2.8975, ""y1"": 16.885, ""width"": 2.8975, ""height"": 2.96}",True,True,True,True,True,True,L4_TOP_LEVEL_INSTANTIATED_WITH_CANDIDATE_GEOMETRY,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json
column_mux,hardmacro_wrapper,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/column_mux.gds,GDS_PARSED_SANITY_PASSED,True,column_mux_u0,"{""x"": 18.2325, ""y"": 2.22}",R0,"{""x0"": 18.2325, ""y0"": 2.22, ""x1"": 19.05, ""y1"": 4.1, ""width"": 0.8175, ""height"": 1.88}",True,True,True,True,False,False,L4_TOP_LEVEL_INSTANTIATED,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/column_mux.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/column_mux/generator_manifest.json
sense_amp,hardmacro_wrapper,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/sense_amp.gds,GDS_PARSED_SANITY_PASSED,True,sense_amp_u0,"{""x"": 18.2325, ""y"": 4.9}",R0,"{""x0"": 18.2325, ""y0"": 4.9, ""x1"": 19.0075, ""y1"": 10.91, ""width"": 0.775, ""height"": 6.01}",True,True,True,True,False,False,L4_TOP_LEVEL_INSTANTIATED,,Keep detailed routing / rail verification in L5; do not claim DRC/LVS/timing closure in L4.,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/sense_amp.gds;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/pins.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/rail_report.json;/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/sense_amp/generator_manifest.json
