lclayout_field,project_layer,value,source_file,source_line_or_section,status
layer_active,active,drawing,technology/freepdk45/layers.map,1,MAPPED_FROM_CURRENT_FREEPDK45
layer_pwell,pwell,drawing,technology/freepdk45/layers.map,2,MAPPED_FROM_CURRENT_FREEPDK45
layer_nwell,nwell,drawing,technology/freepdk45/layers.map,3,MAPPED_FROM_CURRENT_FREEPDK45
layer_nimplant,nimplant,drawing,technology/freepdk45/layers.map,4,MAPPED_FROM_CURRENT_FREEPDK45
layer_pimplant,pimplant,drawing,technology/freepdk45/layers.map,5,MAPPED_FROM_CURRENT_FREEPDK45
layer_vtg,vtg,drawing,technology/freepdk45/layers.map,6,MAPPED_FROM_CURRENT_FREEPDK45
layer_vth,vth,drawing,technology/freepdk45/layers.map,7,MAPPED_FROM_CURRENT_FREEPDK45
layer_thkox,thkox,drawing,technology/freepdk45/layers.map,8,MAPPED_FROM_CURRENT_FREEPDK45
layer_poly,poly,drawing,technology/freepdk45/layers.map,9,MAPPED_FROM_CURRENT_FREEPDK45
layer_contact,contact,drawing,technology/freepdk45/layers.map,10,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal1,metal1,drawing,technology/freepdk45/layers.map,11,MAPPED_FROM_CURRENT_FREEPDK45
layer_via1,via1,drawing,technology/freepdk45/layers.map,12,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal2,metal2,drawing,technology/freepdk45/layers.map,13,MAPPED_FROM_CURRENT_FREEPDK45
layer_via2,via2,drawing,technology/freepdk45/layers.map,14,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal3,metal3,drawing,technology/freepdk45/layers.map,15,MAPPED_FROM_CURRENT_FREEPDK45
layer_via3,via3,drawing,technology/freepdk45/layers.map,16,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal4,metal4,drawing,technology/freepdk45/layers.map,17,MAPPED_FROM_CURRENT_FREEPDK45
layer_via4,via4,drawing,technology/freepdk45/layers.map,18,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal5,metal5,drawing,technology/freepdk45/layers.map,19,MAPPED_FROM_CURRENT_FREEPDK45
layer_via5,via5,drawing,technology/freepdk45/layers.map,20,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal6,metal6,drawing,technology/freepdk45/layers.map,21,MAPPED_FROM_CURRENT_FREEPDK45
layer_via6,via6,drawing,technology/freepdk45/layers.map,22,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal7,metal7,drawing,technology/freepdk45/layers.map,23,MAPPED_FROM_CURRENT_FREEPDK45
layer_via7,via7,drawing,technology/freepdk45/layers.map,24,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal8,metal8,drawing,technology/freepdk45/layers.map,25,MAPPED_FROM_CURRENT_FREEPDK45
layer_via8,via8,drawing,technology/freepdk45/layers.map,26,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal9,metal9,drawing,technology/freepdk45/layers.map,27,MAPPED_FROM_CURRENT_FREEPDK45
layer_via9,via9,drawing,technology/freepdk45/layers.map,28,MAPPED_FROM_CURRENT_FREEPDK45
layer_metal10,metal10,drawing,technology/freepdk45/layers.map,29,MAPPED_FROM_CURRENT_FREEPDK45
layer_text,text,drawing,technology/freepdk45/layers.map,30,MAPPED_FROM_CURRENT_FREEPDK45
manufacturing_grid,ALL,CURRENT_PROJECT_GRID_PENDING_EXPLICIT_EXTRACTION,technology/freepdk45/tech/freepdk45.lydrc,grid/provenance pending,UNKNOWN_RULE
min_width_by_layer,ALL_METAL_POLY_ACTIVE,SEE_DRC_DECK_REQUIRED_MAPPING_NOT_COMPLETE,technology/freepdk45/tech/freepdk45.lydrc,rule expressions require adapter mapping,UNKNOWN_RULE
via_enclosure,contact/via*,SEE_DRC_DECK_REQUIRED_MAPPING_NOT_COMPLETE,technology/freepdk45/tech/freepdk45.lydrc,rule expressions require adapter mapping,UNKNOWN_RULE
device_model_binding,NMOS/PMOS,CURRENT_FREEPDK45_MODEL_BINDING_REQUIRED,technology/freepdk45/sp_lib and current source SPICE,per-cell subckt references,UNKNOWN_RULE
