binding_id,openyield_net,openyield_net_role,m9_layoutgen_net,raw_source_file,raw_source_line_start,raw_source_line_end,raw_source_snippet,source_hash,evidence_type,evidence_confidence,is_source_backed,is_inferred,layoutgen_pin_or_bus,layout_region,route_type,implemented_in_gds,physical_shape_evidence,fallback_used,fallback_reason
PINBIND_001_DFF_ROW,A[i],address_distribution,SRAM_TOP:A[i]->DFF_ROW:A[i],/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,501,537,"500:          # 动态生成节点
501:         nodes = ['VDD', 'VSS', 'clk', 'csb', 'web', 'clk_buf', 'clk_bar',
502:                 'cs_bar','cs', 'we_bar','we','gated_clk_bar', 'gated_clk_buf', 'wl_en']
503: 
504:         # 添加地址输入输出节点
505:         nodes.extend([f'A{i}' for i in range(n_bits)])
506:         nodes.extend([f'A_dff{i}' for i in range(n_bits)])
507:         if operation == 'write' or operation == 'read&write':
508:             # 添加数据输入输出节点
509:             nodes.extend([f'DIN{i}' for i in range(num_cols)])
510:             nodes.extend([f'DIN_dff{i}' for i in range(num_cols)])
511: 
512:         nodes += ['rbl','rbl_delay','rbl_delay_bar','s_en','w_en','PRE']
513:         self.NODES = nodes
514: 
515:         super().__init__(
516:             nmos_model, pmos_model,
517:             nmos_width, pmos_width, length,
518:             w_rc=w_rc, pi_res=pi_res, pi_cap=pi_cap,
519:         )
520:         self.num_rows=num_rows
521:         self.num_cols=num_cols
522:         self.n_bits = n_bits
523:         #触发器在时钟上升沿触发地址信号
524:         dff_buf_addr=ADDR_DFF(nmos_model=""NMOS_VTG"",
525:             pmos_model=""PMOS_VTG"",num_rows=self.num_rows)
526:         self.subcircuit(dff_buf_addr)
527:             # 构建地址DFF连接列表
528:         addr_dff_connections = ['VDD', 'VSS', 'clk_buf']  # 基本连接
529:             # 添加地址输入连接
530:         for i in range(self.n_bits):
531:             addr_dff_connections.append(f'A{i}')
532:             # 添加地址输出连接
533:         for i in range(self.n_bits):
534:             addr_dff_connections.append(f'A_dff{i}')
535:             # 实例化DFF
536:         self.X('dff_buf_addr',
537:                dff_buf_addr.NAME, *addr_dff_connections)
538: ",78ea47411c1194208fc576510910f990984d1a6fe8c03e4f3b468641b7a92f7c,RAW_NETLIST_ENTRY,HIGH,True,False,A[i],address_distribution,periphery_bus,True,periphery_bus,False,
PINBIND_002_row_decoder,A_dff[i],address_distribution,DFF_ROW:A_dff[i]->row_decoder:A[i],/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,336,384,"335: 
336:     def create_decoder(self, circuit: Circuit):
337:         decoder_config = self.sram_config.decoder    #从总config类里提取decoder部分参数
338:         decoder = DecoderCascadeFactory(
339:             nmos_model_inv=decoder_config.nmos_model.value[0],
340:             pmos_model_inv=decoder_config.pmos_model.value[0],
341:             nmos_model_nand=decoder_config.nmos_model.value[0],
342:             pmos_model_nand=decoder_config.pmos_model.value[0],
343:             num_rows=self.num_rows,
344:             nand_pmos_width=decoder_config.pmos_width.value[0],
345:             nand_nmos_width=decoder_config.nmos_width.value[0],
346:             inv_pmos_width=decoder_config.pmos_width.value[1],
347:             inv_nmos_width =decoder_config.nmos_width.value[1],
348:             length=decoder_config.length.value,
349:             w_rc=False,  # default `w_rc` is False,暂时不支持
350:             sweep_decoder=self.sweep_decoder,
351:             pmos_choices = self.sram_config.senseamp.pmos_model.choices,
352:             nmos_choices = self.sram_config.senseamp.nmos_model.choices,
353:             param_model_file =self.sim_path + '/param_sweep_models.data',
354:         ).create()
355:         circuit.subcircuit(decoder)   #添加到主电路
356:         # 计算地址位数
357:         n_bits = ceil(log2(self.num_rows)) if self.num_rows > 1 else 1
358:           # 地址节点
359:         address_nodes = [f'A_dff{i}' for i in range(n_bits)]
360: 
361:         # # 设置地址信号（目标行地址）
362:         # address_nodes = []
363:         # for bit in range(n_bits):
364:         #     bit_val = (target_row >> bit) & 1  # 提取每一位的值
365:         #     node_name = f'A{bit}'
366:         #     if bit_val:
367:         #         circuit.V(f'ADDR_{bit}', node_name, self.gnd_node, self.vdd)
368:         #     else:
369:         #         circuit.V(f'ADDR_{bit}', node_name, self.gnd_node, 0 @ u_V)
370:         #     address_nodes.append(node_name)
371: 
372:         # 添加使能信号 - 始终使能
373:         #circuit.V('DEC_EN', 'EN', self.gnd_node, self.vdd @ u_V)
374: 
375:         # 字线节点
376:         wl_nodes = [f'DEC_WL{i}' for i in range(self.num_rows)]
377: 
378:         # 实例化译码器
379:         circuit.X(
380:             'DECODER', decoder.NAME,
381:             self.power_node, self.gnd_node,  # VDD, VSS
382:             *address_nodes,                  # 地址信号
383:             *wl_nodes                       # 字线输出
384:         )
385:          # 保存译码器输出节点供字线驱动器使用",eca6d37f96040a7346c0ba4f5e958e7621fddf1485ab6b8827607617c327e779,RAW_NETLIST_ENTRY,HIGH,True,False,A[i],address_distribution,periphery_bus,True,periphery_bus,False,
PINBIND_003_wordline_driver,DEC_WL[i],row_pitch_aligned_wordline,row_decoder:WL[i]->wordline_driver:A,/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,375,426,"374: 
375:         # 字线节点
376:         wl_nodes = [f'DEC_WL{i}' for i in range(self.num_rows)]
377: 
378:         # 实例化译码器
379:         circuit.X(
380:             'DECODER', decoder.NAME,
381:             self.power_node, self.gnd_node,  # VDD, VSS
382:             *address_nodes,                  # 地址信号
383:             *wl_nodes                       # 字线输出
384:         )
385:          # 保存译码器输出节点供字线驱动器使用
386:         self.decoder_wl_nodes = wl_nodes
387: 
388:         return circuit
389: 
390:     def create_wl_driver(self, circuit: Circuit, target_row: int):  #创造字线驱动电路函数
391:         """"""Create wordline driver for the target/standby row""""""
392:         wl_config = self.sram_config.wordline_driver    #从总config类里提取wordline部分参数
393:         wldrv = WordlineDriverFactory(
394:             nmos_model=wl_config.nmos_model.value[0],
395:             pmos_model=wl_config.pmos_model.value[0],
396:             nand_pmos_width=wl_config.pmos_width.value[0],
397:             nand_nmos_width=wl_config.nmos_width.value[0],
398:             inv_pmos_width=wl_config.pmos_width.value[1],
399:             inv_nmos_width =wl_config.nmos_width.value[1],
400:             length=wl_config.length.value,
401:             num_cols=self.num_cols,
402:             w_rc=self.w_rc,
403:             sweep_wordlinedriver = self.sweep_wordlinrdriver,
404:             pmos_modle_choices = self.sram_config.senseamp.pmos_model.choices,
405:             nmos_modle_choices = self.sram_config.senseamp.nmos_model.choices,
406:             param_model_file =self.sim_path + '/param_sweep_models.data',
407:         ).create()
408:         circuit.subcircuit(wldrv)   #添加到主电路
409: 
410:         # Wordline control & drivers
411:         for row in range(self.num_rows):
412:             # 使用译码器输出作为使能信号
413:             decoder_enable = self.decoder_wl_nodes[row]
414:                 # Add pulse source for the target row 实例化字线驱动器
415:          # 添加字线驱动器
416:             circuit.X(
417:                 f'WL_DRV_{row}', wldrv.name,
418:                 self.power_node, self.gnd_node,
419:                 decoder_enable,    # 来自译码器的使能信号
420:                 'WL_EN',   # 内部使能（始终有效）
421:                 f'WL{row}',        # 输出到SRAM阵列
422:             )
423:             # else:
424:             #     # Tie idle wordlines to ground 非目标行将字线接地
425:             #     circuit.V(f'WL{row}_gnd', f'WL{row}', self.gnd_node, 0 @ u_V)
426:         return circuit
427: ",0e58e6fd3accd18c9c9bcb819984bdf14dc06b9403dda5378f707657493c6300,RAW_NETLIST_ENTRY,HIGH,True,False,A,row_pitch_aligned_wordline,horizontal_across_array_rows,True,horizontal_across_array_rows,False,
PINBIND_004_wordline_driver,WL_EN,replica_timing_distribution,CONTROL_LOGIC:wl_en->wordline_driver:B,/data1/qujh/work/external/OpenYield/sram_compiler/subcircuits/time_generate.py,640,657,"639:                'VDD', 'VSS', 'cs', 'clk_buf','gated_clk_buf')
640:         #字线使能，在clk的低电平
641:         wl_en=wl_pdrive()
642:         self.subcircuit(wl_en)
643:         self.X('wl_en',
644:                wl_en.NAME,
645:                'VDD', 'VSS', 'gated_clk_bar', 'wl_en')
646:         inv_wl_en_bar = Pinv(
647:             nmos_model=""NMOS_VTG"",
648:             pmos_model=""PMOS_VTG"",
649:             nmos_width=0.09e-6,
650:             pmos_width=0.27e-6,
651:             length=0.05e-6,
652:             num='_wl_en_bar'
653:         )
654:         self.subcircuit(inv_wl_en_bar)
655:         self.X('inv_wl_en_bar',
656:             inv_wl_en_bar.NAME,
657:             'VDD', 'VSS', 'wl_en', 'wl_en_bar')
658: ",b2a5613217041a000d8212754b0f20565cebbe2e88aaa156668e9d3ad5753c3f,RAW_NETLIST_ENTRY,HIGH,True,False,B,replica_timing_distribution,replica_chain_periphery_route,True,replica_chain_periphery_route,False,
PINBIND_005_bitcell_array,WL[i],row_pitch_aligned_wordline,wordline_driver:Z->bitcell_array:WL[i],/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,416,421,"415:          # 添加字线驱动器
416:             circuit.X(
417:                 f'WL_DRV_{row}', wldrv.name,
418:                 self.power_node, self.gnd_node,
419:                 decoder_enable,    # 来自译码器的使能信号
420:                 'WL_EN',   # 内部使能（始终有效）
421:                 f'WL{row}',        # 输出到SRAM阵列
422:             )",53bb8c15efbc776307edf058373f3f8b7d347add18ff499c1fdd782d0ab4cec2,RAW_NETLIST_ENTRY,HIGH,True,False,WL[i],row_pitch_aligned_wordline,horizontal_across_array_rows,True,horizontal_across_array_rows,False,
PINBIND_006_precharge,BL[i];BLB[i],column_pitch_aligned_bitline_bar,bitcell_array:BL[i]/BLB[i]->precharge:BL/BLB,/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,461,473,"460: 
461:         # Add precharge circuitry for all columns 为每列都添加预充电电路实例
462:         for col in range(self.num_cols):
463:             circuit.X(
464:                 f'{prch.name}_{col}',
465:                 prch.name,
466:                 self.power_node, 'PRE', f'BL{col}', f'BLB{col}'
467:             )
468:         # 新增一列，连接至 RBL 和 RBLB
469:         circuit.X(
470:             f'{prch.name}_RBL',
471:             prch.name,
472:             self.power_node, 'PRE', 'RBL', 'RBLB'
473:         )
474: ",4122a7fed8a14c26aa988a858cef5eb4a38b1c5566d8aed9d58dbd533225ace6,RAW_NETLIST_ENTRY,HIGH,True,False,BL/BLB,column_pitch_aligned_bitline_bar,vertical_along_array_columns,True,vertical_along_array_columns,False,
PINBIND_007_column_mux,BL[i];BLB[i],column_pitch_aligned_bitline_bar,precharge:BL/BLB->column_mux:BL[i]/BLB[i],/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,497,512,"496: 
497:             # Add Column Mux for all columns    为每组列添加多路复用器实例
498:             for col in range(self.num_cols // self.mux_in): #//表示整除，即需要几组多路选择器
499:                 circuit.X(
500:                     f'{cmux.name}_{col}',
501:                     cmux.name,
502:                     self.power_node, self.gnd_node,  # Power node and GND node
503:                     f'SA_IN{col}',  # SA inputs are Mux's outputs
504:                     f'SA_INB{col}',  # SA inputs are Mux's outputs
505:                     # SELect signal, high valid, #SEL = self.mux_in
506:                     *[f'SEL{i}' for i in range(self.mux_in)],
507:                     *[f'SELB{i}' for i in range(self.mux_in)],
508:                     # Inputs are BLs, #BLs  = self.mux_in
509:                     *[f'BL{i}' for i in range(col * self.mux_in, (col + 1) * self.mux_in)],
510:                     # Inputs are BLBs, #BLBs = self.mux_in
511:                     *[f'BLB{i}' for i in range(col * self.mux_in, (col + 1) * self.mux_in)],
512:                 )
513:                 # Set SEL signals   设置选择信号：目标列使用脉冲源，其他列接地",5c18a515281bb8fa03792200b43ae5adc25c33afee906a3bb5847e3b256d670e,RAW_NETLIST_ENTRY,HIGH,True,False,BL[i]/BLB[i],column_pitch_aligned_bitline_bar,vertical_along_array_columns,True,vertical_along_array_columns,False,
PINBIND_008_sense_amp,SA_IN[*];SA_INB[*],write_data_delivery,column_mux:SA_IN/SA_INB->sense_amp:IN/INB,/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,567,589,"566: 
567:         if self.choose_columnmux:
568:             # Add SA circuitry for all columns  #为每组多路选择器下接灵敏放大器
569:             for col in range(self.num_cols // self.mux_in):
570:                 circuit.X(
571:                     f'{sa.name}_{col}',
572:                     sa.name,
573:                     self.power_node, self.gnd_node,
574:                     's_en',  # SA Enable signal
575:                     f'SA_IN{col}', f'SA_INB{col}',  # Inputs
576:                     f'SA_Q{col}', f'SA_QB{col}',  # Outputs
577:                 )
578: 
579:         else:
580:             # 直接连BL和BLB
581:             for col in range(self.num_cols):
582:                 circuit.X(
583:                     f'{sa.name}_{col}',
584:                     sa.name,
585:                     self.power_node, self.gnd_node,
586:                     's_en',  # SA Enable signal
587:                     f'BL{col}', f'BLB{col}',  # Inputs
588:                     f'SA_Q{col}', f'SA_QB{col}',  # Outputs
589:                 )
590:         return circuit",7b9ee6bea7c36fb237d311fa4504918168c1fb078b7e504af07ad2177b9d86aa,RAW_NETLIST_ENTRY,HIGH,True,False,IN/INB,write_data_delivery,periphery_to_column_path,True,periphery_to_column_path,False,
PINBIND_009_sense_amp,BL[i];BLB[i],column_pitch_aligned_bitline_bar,bitcell_array:BL[i]/BLB[i]->sense_amp:IN/INB,/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,579,589,"578: 
579:         else:
580:             # 直接连BL和BLB
581:             for col in range(self.num_cols):
582:                 circuit.X(
583:                     f'{sa.name}_{col}',
584:                     sa.name,
585:                     self.power_node, self.gnd_node,
586:                     's_en',  # SA Enable signal
587:                     f'BL{col}', f'BLB{col}',  # Inputs
588:                     f'SA_Q{col}', f'SA_QB{col}',  # Outputs
589:                 )
590:         return circuit",d876e583321e04c7e38c3c31b05c842c236775f898bf194594138b7eac92390b,RAW_NETLIST_ENTRY,HIGH,True,False,IN/INB,column_pitch_aligned_bitline_bar,vertical_along_array_columns,True,vertical_along_array_columns,False,
PINBIND_010_SRAM_TOP,SA_Q[*];SA_QB[*],read_data_observation,sense_amp:Q/QB->SRAM_TOP:dout path,/data1/qujh/work/external/OpenYield/sram_compiler/testbenches/sram_6t_core_testbench.py,551,589,"550: 
551:         # Sense Amplifer
552:         sa = SenseAmpFactory(
553:             nmos_model=self.sram_config.senseamp.nmos_model.value,
554:             pmos_model=self.sram_config.senseamp.pmos_model.value,
555:             nmos_width=self.sram_config.senseamp.nmos_width.value,
556:             pmos_width=self.sram_config.senseamp.pmos_width.value,
557:             length=self.sram_config.senseamp.length.value,
558:             w_rc=self.w_rc,
559:             sweep_senseamp = self.sweep_senseamp,
560:             pmos_modle_choices = self.sram_config.senseamp.pmos_model.choices,
561:             nmos_modle_choices = self.sram_config.senseamp.nmos_model.choices,
562:             param_model_file =self.sim_path + '/param_sweep_models.data',
563:         ).create()
564:         circuit.subcircuit(sa)  #添加灵敏放大器实例到主电路
565:         self.sa_inst_prefix = f'X{sa.name}'
566: 
567:         if self.choose_columnmux:
568:             # Add SA circuitry for all columns  #为每组多路选择器下接灵敏放大器
569:             for col in range(self.num_cols // self.mux_in):
570:                 circuit.X(
571:                     f'{sa.name}_{col}',
572:                     sa.name,
573:                     self.power_node, self.gnd_node,
574:                     's_en',  # SA Enable signal
575:                     f'SA_IN{col}', f'SA_INB{col}',  # Inputs
576:                     f'SA_Q{col}', f'SA_QB{col}',  # Outputs
577:                 )
578: 
579:         else:
580:             # 直接连BL和BLB
581:             for col in range(self.num_cols):
582:                 circuit.X(
583:                     f'{sa.name}_{col}',
584:                     sa.name,
585:                     self.power_node, self.gnd_node,
586:                     's_en',  # SA Enable signal
587:                     f'BL{col}', f'BLB{col}',  # Inputs
588:                     f'SA_Q{col}', f'SA_QB{col}',  # Outputs
589:                 )
590:         return circuit",e4766489e1b7aa305b424a82173fde8c4e72b6d5378d19eb478c69424dd384c7,RAW_NETLIST_ENTRY,HIGH,True,False,dout path,read_data_observation,column_path_to_top_io,True,column_path_to_top_io,False,
