openyield_module,openyield_role,module_gds_path,gds_exists,top_cell_name,bbox_width,bbox_height,shape_count,layer_datatype_summary,pin_count,pin_names,pin_bbox_status,pin_layer_summary,pin_access_status,rail_status,vdd_gnd_rail_present,contract_pin_used,candidate_rail_metadata_used,generation_status,generation_strategy,limitations,not_DRC_clean_claimed,not_LVS_clean_claimed,matches_m10_module_trace,matches_m9_module_binding,golden_target_cell_or_region,golden_match_status
CONTROL_LOGIC,CONTROL_LOGIC,outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,True,CONTROL_LOGIC,6.105,4.235,8,1/0:55;10/0:101;11/0:98;12/0:15;13/0:7;2/0:8;239/0:13;3/0:8;4/0:28;5/0:27;6/0:13;9/0:76,11,A[*];GND;VDD;clk;cs;gated_clk;precharge_en;sense_en;we;wl_en;write_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_logic;control_glue,UNKNOWN_GOLDEN_REGION
DELAY_CHAIN,DELAY_CHAIN,outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,True,DELAY_CHAIN,3.29,2.585,4,11/0:36;2/0:4;239/0:8;3/0:4;6/0:8;9/0:8,5,GND;VDD;delay_ctl;delay_in;delay_out,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,composition_backed_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,gen_delay_inv chain,UNKNOWN_GOLDEN_REGION
DFF_ROW,DFF_ROW,outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,True,DFF_ROW,11.44,2.67,4,1/0:212;10/0:388;11/0:84;12/0:60;13/0:28;2/0:4;239/0:4;3/0:4;4/0:108;5/0:104;6/0:4;9/0:232,5,D[*];GND;Q[*];VDD;clk,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,dff array,UNKNOWN_GOLDEN_REGION
GATED_CLOCK_PATH,CLOCK_PATH,outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,True,GATED_CLOCK_PATH,2.6825,2.96,5,11/0:54;2/0:5;239/0:10;3/0:5;6/0:10;9/0:12,5,GND;VDD;clk;gate;gated_clk,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_glue,UNKNOWN_GOLDEN_REGION
PRECHARGE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,True,PRECHARGE_ENABLE_PATH,4.245,4.065,5,1/0:2;10/0:4;11/0:44;13/0:8;2/0:4;239/0:7;3/0:5;4/0:1;5/0:1;6/0:6;9/0:15,5,GND;VDD;clk;cs;precharge_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_glue,UNKNOWN_GOLDEN_REGION
SENSE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/SENSE_ENABLE_PATH/SENSE_ENABLE_PATH.gds,True,SENSE_ENABLE_PATH,3.4225,7.575,4,1/0:56;10/0:68;11/0:89;12/0:7;13/0:12;2/0:10;239/0:5;3/0:8;4/0:6;5/0:8;6/0:13;9/0:42,5,GND;VDD;clk;cs;sense_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_glue,UNKNOWN_GOLDEN_REGION
WORDLINE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,True,WORDLINE_ENABLE_PATH,3.8675,3.07,4,1/0:2;10/0:4;11/0:40;2/0:3;239/0:5;3/0:3;4/0:1;5/0:1;6/0:4;9/0:8,5,GND;VDD;clk;cs;wl_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_glue,UNKNOWN_GOLDEN_REGION
WRITE_ENABLE_PATH,ENABLE_PATH,outputs/openyield_module_gds/WRITE_ENABLE_PATH/WRITE_ENABLE_PATH.gds,True,WRITE_ENABLE_PATH,1.6625,6.76,4,1/0:64;10/0:40;11/0:93;12/0:19;13/0:29;2/0:11;239/0:7;3/0:11;4/0:6;5/0:6;6/0:14;9/0:60,5,GND;VDD;clk;we;write_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,control_glue,UNKNOWN_GOLDEN_REGION
bitcell_array,ARRAY_CORE,outputs/openyield_module_gds/bitcell_array/bitcell_array.gds,True,bitcell_array,3.58,6.26,16,1/0:736;10/0:304;11/0:1136;12/0:608;13/0:656;2/0:112;239/0:16;3/0:80;4/0:96;5/0:48;6/0:128;9/0:480,7,BL[*];BR[*];GND;Q[*];Q_bar[*];VDD;WL[*],POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:module_contract_pin_map,module_boundary_rails_exported,True,True,False,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",True,True,True,True,cell_1rw,UNKNOWN_GOLDEN_REGION
column_mux,COLUMN_MUX,outputs/openyield_module_gds/column_mux/column_mux.gds,True,column_mux,0.8175,1.88,1,11/0:7;13/0:14;2/0:1;239/0:1;9/0:2,10,D;G;GND;S;VDD;bl;bl_out;br;br_out;sel,POINT_ONLY_EXPORT,11/0;13/0;9/0,geometry_text_or_contract_point_export:gds_text_labels,hardmacro_wrapper_rail_metadata_exported,True,False,False,L3_GDS_GENERATED,hardmacro_wrapper_generator,,True,True,True,True,gen_col_mux_vdd_labeled,ALIAS_GOLDEN_CELL
decoder_gate_cells,ROW_DECODER,outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,True,decoder_gate_cells,5.2825,3.045,7,1/0:2;10/0:4;11/0:86;2/0:7;239/0:12;3/0:7;4/0:1;5/0:1;6/0:12;9/0:20,5,A[*];GND;VDD;dec_stage[*];enable,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION
dummy_array,ARRAY_DUMMY,outputs/openyield_module_gds/dummy_array/dummy_array.gds,True,dummy_array,3.58,6.26,16,1/0:736;10/0:304;11/0:1232;12/0:576;13/0:720;2/0:112;239/0:16;3/0:80;4/0:96;5/0:48;6/0:128;9/0:480,5,BL[*];BR[*];GND;VDD;WL[*],POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:module_contract_pin_map,module_boundary_rails_exported,True,True,False,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",True,True,True,True,dummy_cell_1rw,UNKNOWN_GOLDEN_REGION
precharge,COLUMN_PRECHARGE,outputs/openyield_module_gds/precharge/precharge.gds,True,precharge,0.785,1.42,1,11/0:3;13/0:8;239/0:1;3/0:1;9/0:5,5,VDD;bl;br;en_bar;precharge_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:module_contract_pin_map,hardmacro_wrapper_rail_metadata_exported,True,True,False,L3_GDS_GENERATED_WITH_CONTRACT_PINS,hardmacro_wrapper_generator,Boundary pins are exported through the L2/L3 contract instead of direct module-boundary geometry extraction. | precharge pin export remains contract-backed at the module wrapper boundary and needs L4/L5 verification.,True,True,True,True,gen_precharge,EXACT_GOLDEN_CELL
replica_array,ARRAY_REPLICA,outputs/openyield_module_gds/replica_array/replica_array.gds,True,replica_array,1.79,7.68,9,1/0:368;10/0:152;11/0:603;12/0:304;13/0:368;2/0:56;239/0:9;3/0:41;4/0:48;5/0:24;6/0:64;9/0:245,6,BL[*];BR[*];GND;RBL;VDD;WL[*],POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:module_contract_pin_map,module_boundary_rails_exported,True,True,False,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,"Array dimensions are deterministic L3 standalone templates, not final top-level SRAM array sizing.",True,True,True,True,replica_cell_1rw,UNKNOWN_GOLDEN_REGION
row_decoder,ROW_DECODER,outputs/openyield_module_gds/row_decoder/row_decoder.gds,True,row_decoder,4.245,3.13,6,1/0:4;10/0:8;11/0:64;2/0:6;239/0:8;3/0:6;4/0:2;5/0:2;6/0:8;9/0:16,5,A[*];GND;VDD;dec_out[*];enable,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION
sense_amp,SENSE_AMP,outputs/openyield_module_gds/sense_amp/sense_amp.gds,True,sense_amp,0.775,6.01,1,1/0:54;10/0:64;11/0:57;12/0:7;13/0:12;2/0:7;239/0:1;3/0:5;4/0:5;5/0:7;6/0:9;9/0:34,6,GND;VDD;bl;br;dout;en,POINT_ONLY_EXPORT,11/0;13/0,geometry_text_or_contract_point_export:gds_text_labels,hardmacro_wrapper_rail_metadata_exported,True,False,False,L3_GDS_GENERATED,hardmacro_wrapper_generator,,True,True,True,True,sense_amp,EXACT_GOLDEN_CELL
wordline_decoder,ROW_DECODER,outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,True,wordline_decoder,4.245,3.045,6,1/0:2;10/0:4;11/0:59;2/0:6;239/0:10;3/0:6;4/0:1;5/0:1;6/0:10;9/0:14,5,A[*];DEC_WL[*];GND;VDD;enable,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION
wordline_driver,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,True,wordline_driver,3.045,1.505,1,11/0:8;239/0:1,8,A;B;D;G;GND;S;VDD;Z,POINT_ONLY_EXPORT,11/0;9/0,geometry_text_or_contract_point_export:gds_text_labels,hardmacro_wrapper_rail_metadata_exported,True,False,False,L3_GDS_GENERATED,hardmacro_wrapper_generator,,True,True,True,True,gen_wl_driver,EXACT_GOLDEN_CELL
wordline_driver_gate_cells,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,wordline_driver_gate_cells,2.8975,2.96,5,11/0:72;2/0:5;239/0:10;3/0:5;6/0:10;9/0:16,5,DEC_WL[*];GND;VDD;WL_local[*];wl_en,POINT_ONLY_EXPORT,m1;m2,geometry_text_or_contract_point_export:composition_contract_and_base_leaf_pin_map,candidate_row_rail_metadata_exported,True,True,True,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,Candidate geometry packs row leaves tightly under L2 rules but does not claim final routing or signoff. | Boundary pins are semantic/contract exports at the module edge.,True,True,True,True,wordline_driver role instances,UNKNOWN_GOLDEN_REGION
write_driver,WRITE_DRIVER,outputs/openyield_module_gds/write_driver/write_driver.gds,True,write_driver,0.84,4.175,1,1/0:64;10/0:40;11/0:66;12/0:19;13/0:29;2/0:8;239/0:1;3/0:8;4/0:6;5/0:6;6/0:8;9/0:54,6,GND;VDD;bl;br;din;en,POINT_ONLY_EXPORT,11/0;13/0,geometry_text_or_contract_point_export:gds_text_labels,hardmacro_wrapper_rail_metadata_exported,True,False,False,L3_GDS_GENERATED,hardmacro_wrapper_generator,,True,True,True,True,write_driver,EXACT_GOLDEN_CELL
