openyield_module,pin_name,pin_layer,pin_source,pin_x,pin_y,module_bbox_width,module_bbox_height,rail_status,vdd_gnd_rail_present,contract_pin_used,candidate_rail_metadata_used
CONTROL_LOGIC,A[*],m2,composition_contract_and_base_leaf_pin_map,0.0,3.388,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,GND,m1,composition_contract_and_base_leaf_pin_map,4.07,0.0,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,VDD,m1,composition_contract_and_base_leaf_pin_map,2.035,0.0,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,clk,m1,composition_contract_and_base_leaf_pin_map,1.52625,4.235,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,cs,m1,composition_contract_and_base_leaf_pin_map,3.0525,4.235,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,gated_clk,m2,composition_contract_and_base_leaf_pin_map,6.105,3.529167,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,precharge_en,m2,composition_contract_and_base_leaf_pin_map,6.105,1.411667,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,sense_en,m2,composition_contract_and_base_leaf_pin_map,6.105,2.1175,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,we,m1,composition_contract_and_base_leaf_pin_map,4.57875,4.235,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,wl_en,m2,composition_contract_and_base_leaf_pin_map,6.105,0.705833,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
CONTROL_LOGIC,write_en,m2,composition_contract_and_base_leaf_pin_map,6.105,2.823333,6.105,4.235,candidate_row_rail_metadata_exported,True,True,True
DELAY_CHAIN,GND,m1,composition_contract_and_base_leaf_pin_map,2.193333,0.0,3.29,2.585,candidate_row_rail_metadata_exported,True,True,True
DELAY_CHAIN,VDD,m1,composition_contract_and_base_leaf_pin_map,1.096667,0.0,3.29,2.585,candidate_row_rail_metadata_exported,True,True,True
DELAY_CHAIN,delay_ctl,m1,composition_contract_and_base_leaf_pin_map,1.645,2.585,3.29,2.585,candidate_row_rail_metadata_exported,True,True,True
DELAY_CHAIN,delay_in,m2,composition_contract_and_base_leaf_pin_map,0.0,1.2925,3.29,2.585,candidate_row_rail_metadata_exported,True,True,True
DELAY_CHAIN,delay_out,m2,composition_contract_and_base_leaf_pin_map,3.29,1.2925,3.29,2.585,candidate_row_rail_metadata_exported,True,True,True
DFF_ROW,D[*],m2,composition_contract_and_base_leaf_pin_map,0.0,0.89,11.44,2.67,candidate_row_rail_metadata_exported,True,True,True
DFF_ROW,GND,m1,composition_contract_and_base_leaf_pin_map,7.626667,0.0,11.44,2.67,candidate_row_rail_metadata_exported,True,True,True
DFF_ROW,Q[*],m2,composition_contract_and_base_leaf_pin_map,11.44,1.335,11.44,2.67,candidate_row_rail_metadata_exported,True,True,True
DFF_ROW,VDD,m1,composition_contract_and_base_leaf_pin_map,3.813333,0.0,11.44,2.67,candidate_row_rail_metadata_exported,True,True,True
DFF_ROW,clk,m1,composition_contract_and_base_leaf_pin_map,5.72,2.67,11.44,2.67,candidate_row_rail_metadata_exported,True,True,True
GATED_CLOCK_PATH,GND,m1,composition_contract_and_base_leaf_pin_map,1.788333,0.0,2.6825,2.96,candidate_row_rail_metadata_exported,True,True,True
GATED_CLOCK_PATH,VDD,m1,composition_contract_and_base_leaf_pin_map,0.894167,0.0,2.6825,2.96,candidate_row_rail_metadata_exported,True,True,True
GATED_CLOCK_PATH,clk,m1,composition_contract_and_base_leaf_pin_map,0.894167,2.96,2.6825,2.96,candidate_row_rail_metadata_exported,True,True,True
