candidate_id,file_id,relative_path,category,is_key_entrypoint,is_config_file,matched_keywords,matched_keyword_count,capacity_keyword_count,variation_keyword_count,size_bytes,line_count
M11CFG0001,OYF0003,README.md,DOCUMENTATION,False,False,array;benchmark;bit;cols;config;netlist;num_cols;num_rows;parameter;rows;size;sram;testbench;yaml,14,5,3,11639,281
M11CFG0002,OYF0005,config.py,CONFIG_FILE,False,True,capacity;cols;config;data;num_cols;num_rows;parameter;rows;sram;testbench;yaml,11,5,3,18456,470
M11CFG0003,OYF0006,demo_run_a_testbench.py,KEY_ENTRYPOINT,True,False,array;bit;cols;config;data;num_cols;num_rows;parameter;rows;sample;size;sram;testbench;yaml,14,5,3,7325,144
M11CFG0004,OYF0007,environment.yml,CONFIG_FILE,False,True,config;data;yaml,3,0,0,3256,163
M11CFG0005,OYF0008,equivalent_modeling/main_sram.py,KEY_ENTRYPOINT,True,False,array;bit;cols;config;data;num_cols;num_rows;parameter;rows;size;sram;testbench;yaml,13,5,3,9691,184
M11CFG0006,OYF0013,main_estimation.py,KEY_ENTRYPOINT,True,False,array;bit;cols;data;num_cols;num_rows;parameter;rows;sample;sram;testbench,11,5,3,6091,112
M11CFG0007,OYF0014,main_opt.py,KEY_ENTRYPOINT,True,False,config;size;sram;yaml,4,0,0,3506,91
M11CFG0008,OYF0015,main_sram.py,KEY_ENTRYPOINT,True,False,array;bit;cols;config;data;num_cols;num_rows;parameter;rows;size;sram;testbench;yaml,13,5,3,6128,113
M11CFG0009,OYF0016,plot_data.py,SOURCE_FILE,False,False,array;data;parameter;size;sram;testbench,6,1,1,13701,397
M11CFG0010,OYF0017,readme_compiler.md,DOCUMENTATION,False,False,array;bit;cols;config;data;netlist;num_cols;num_rows;parameter;rows;sample;size;sram;testbench;yaml,15,5,3,18339,550
M11CFG0011,OYF0019,size_optimization/MOBO/README.md,DOCUMENTATION,False,False,data;sample;size,3,0,0,6713,239
M11CFG0012,OYF0020,size_optimization/MOBO/__init__.py,SOURCE_FILE,False,False,size,1,0,0,0,0
M11CFG0013,OYF0021,size_optimization/MOBO/acquisition.py,SOURCE_FILE,False,False,array;sample;size,3,1,1,3821,124
M11CFG0014,OYF0022,size_optimization/MOBO/bayesian_optimizer.py,SOURCE_FILE,False,False,array;sample;size,3,1,1,12339,297
M11CFG0015,OYF0023,size_optimization/MOBO/individual.py,SOURCE_FILE,False,False,size,1,0,0,749,22
M11CFG0016,OYF0024,size_optimization/MOBO/main.py,SOURCE_FILE,False,False,array;size,2,1,1,1228,48
M11CFG0017,OYF0025,size_optimization/MOBO/population.py,SOURCE_FILE,False,False,size,1,0,0,398,17
M11CFG0018,OYF0026,size_optimization/MOBO/problem.py,SOURCE_FILE,False,False,size,1,0,0,1557,38
M11CFG0019,OYF0027,size_optimization/NSGA-II/Readme.md,DOCUMENTATION,False,False,size,1,0,0,0,0
M11CFG0020,OYF0028,size_optimization/NSGA-II/__init__.py,SOURCE_FILE,False,False,size,1,0,0,0,0
M11CFG0021,OYF0029,size_optimization/NSGA-II/evolution.py,SOURCE_FILE,False,False,size,1,0,0,3612,72
M11CFG0022,OYF0030,size_optimization/NSGA-II/individual.py,SOURCE_FILE,False,False,size,1,0,0,749,22
M11CFG0023,OYF0031,size_optimization/NSGA-II/main.py,SOURCE_FILE,False,False,array;size,2,1,1,1054,46
M11CFG0024,OYF0032,size_optimization/NSGA-II/nsga2_utils.py,SOURCE_FILE,False,False,sample;size,2,0,0,6908,165
M11CFG0025,OYF0033,size_optimization/NSGA-II/population.py,SOURCE_FILE,False,False,size,1,0,0,398,17
M11CFG0026,OYF0034,size_optimization/NSGA-II/problem.py,SOURCE_FILE,False,False,size,1,0,0,1557,38
M11CFG0027,OYF0035,size_optimization/README.md,DOCUMENTATION,False,False,config;parameter;size;sram;yaml,5,0,0,2646,103
M11CFG0028,OYF0036,size_optimization/borl_model/actor_critic.py,SOURCE_FILE,False,False,sample;size,2,0,0,3966,112
M11CFG0029,OYF0037,size_optimization/borl_model/actor_net.py,SOURCE_FILE,False,False,config;sample;size,3,0,0,3012,86
M11CFG0030,OYF0038,size_optimization/borl_model/buffer.py,SOURCE_FILE,False,False,size,1,0,0,356,14
M11CFG0031,OYF0039,size_optimization/borl_model/critic_net.py,SOURCE_FILE,False,False,config;sample;size,3,0,0,1964,64
M11CFG0032,OYF0040,size_optimization/borl_model/ppo.py,SOURCE_FILE,False,False,data;parameter;size,3,0,0,4469,118
M11CFG0033,OYF0041,size_optimization/config_sram.yaml,CONFIG_FILE,False,True,bit;cols;config;num_cols;num_rows;parameter;rows;size;sram;testbench;yaml,11,4,2,6966,131
M11CFG0034,OYF0042,size_optimization/demo_cbo.py,OPTIMIZATION_OR_DEMO,False,False,array;bit;config;data;parameter;sample;size;sram;yaml,9,1,1,23314,563
M11CFG0035,OYF0043,size_optimization/demo_cmaes.py,OPTIMIZATION_OR_DEMO,False,False,config;parameter;size;sram;yaml,5,0,0,7510,224
M11CFG0036,OYF0044,size_optimization/demo_cpn.py,OPTIMIZATION_OR_DEMO,False,False,array;config;data;parameter;sample;size;sram;yaml,8,1,1,10104,300
M11CFG0037,OYF0045,size_optimization/demo_mobo.py,OPTIMIZATION_OR_DEMO,False,False,argparse;array;bit;cols;config;data;num_cols;num_rows;parameter;rows;sample;size;sram;yaml,14,5,3,19324,458
M11CFG0038,OYF0046,size_optimization/demo_moead.py,OPTIMIZATION_OR_DEMO,False,False,argparse;array;bit;capacity;cols;config;data;num_cols;num_rows;parameter;rows;size;sram;yaml,14,6,4,35543,807
