logical_module,candidate_cell_name,candidate_gds_path,power_names_expected,power_names_found,rail_geometry_present,rail_layer_known,edge_abutment_extractable,qualification_note
ADDR_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
AND2,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
AND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
DATA_DFF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
DFF,dff,,VDD|VSS,,False,False,False,candidate row-rail metadata only; not a final assembled rail proof
DFF_BUF,DFF_ROW,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
NMOS_VTG,,,VDD|VSS,,False,False,False,candidate row-rail metadata only; not a final assembled rail proof
PINV,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PINV1,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PINV2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PINV3,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PINV4,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PINV_wl_en_bar,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PMOS_VTG,,,VDD|VSS,,False,False,False,candidate row-rail metadata only; not a final assembled rail proof
PNAND2,wordline_driver_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
PNAND3,decoder_gate_cells,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
TIME,CONTROL_LOGIC,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
TRANSMISSION_GATE,,,VDD|VSS,,False,False,False,candidate row-rail metadata only; not a final assembled rail proof
delay_chain,DELAY_CHAIN,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
pdrive,GATED_CLOCK_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
pdrive2_for_pre,PRECHARGE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
wl_pdrive,WORDLINE_ENABLE_PATH,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,VDD|VSS,GND|VDD,True,True,True,candidate row-rail metadata only; not a final assembled rail proof
