logical_module,candidate_gds_path,generation_report_path,generator_manifest_path,generation_status,generation_strategy,source_trace_complete,parameter_trace_complete,source_trace_note
ADDR_DFF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,True,False,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top."
AND2,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,Candidate file represents a broader path/composite or the wrong primitive type.
AND3,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,Candidate file represents a broader path/composite or the wrong primitive type.
DATA_DFF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,True,False,"Qualified as a bounded hierarchical child candidate, not as a final CONTROL_LOGIC top."
DFF,,,,REFERENCE_ONLY,LAYOUTGEN_REFERENCE_ONLY,True,False,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
DFF_BUF,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/DFF_ROW.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DFF_ROW/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,control_composite_candidate_generator,True,False,"Candidate composite provides some geometry, but source-to-physical trace is incomplete for exact logical reuse."
NMOS_VTG,,,,,UNKNOWN,False,False,"SPICE device model name, not a placeable hardmacro."
PINV,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,True,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
PINV1,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV2,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV3,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV4,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,False,One fixed candidate GDS was mapped to multiple logically distinct size variants.
PINV_wl_en_bar,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,True,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
PMOS_VTG,,,,,UNKNOWN,False,False,"SPICE device model name, not a placeable hardmacro."
PNAND2,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generation_report.json,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/generator_manifest.json,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,True,True,"Safe only as a traced reference, not as a direct OpenYield-qualified reusable instance."
